Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Anus,IV,50-54,1,0.75,(0.65 to 0.84)
Female,Anus,IV,50-54,5,0.21,(0.07 to 0.38)
Male,Anus,IV,50-54,1,0.75,(0.66 to 0.86)
Male,Anus,IV,50-54,5,0.2,(0.07 to 0.4)
Female,Anus,IV,55-59,1,0.58,(0.45 to 0.66)
Female,Anus,IV,55-59,5,0.16,(0.05 to 0.25)
Male,Anus,IV,55-59,1,0.55,(0.44 to 0.67)
Male,Anus,IV,55-59,5,0.13,(0.05 to 0.25)
Female,Anus,IV,60-64,1,0.65,(0.53 to 0.75)
Female,Anus,IV,60-64,5,0.16,(0.07 to 0.29)
Male,Anus,IV,60-64,1,0.65,(0.55 to 0.75)
Male,Anus,IV,60-64,5,0.16,(0.07 to 0.31)
Female,Anus,IV,65-69,1,0.62,(0.5 to 0.75)
Female,Anus,IV,65-69,5,0.28,(0.16 to 0.42)
Male,Anus,IV,65-69,1,0.62,(0.49 to 0.73)
Male,Anus,IV,65-69,5,0.3,(0.16 to 0.45)
Female,Anus,IV,70-74,1,0.5,(0.38 to 0.62)
Female,Anus,IV,70-74,5,0.12,(0.04 to 0.27)
Male,Anus,IV,70-74,1,0.5,(0.39 to 0.62)
Male,Anus,IV,70-74,5,0.12,(0.04 to 0.27)
Female,Anus,IV,75-79,1,0.56,(0.44 to 0.67)
Female,Anus,IV,75-79,5,0.06,(0.01 to 0.19)
