Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Breast,IV,50-54,1,0.81,(0.78 to 0.83)
Female,Breast,IV,50-54,5,0.41,(0.36 to 0.45)
Male,Breast,IV,50-54,1,0.81,(0.78 to 0.83)
Male,Breast,IV,50-54,5,0.4,(0.36 to 0.45)
Female,Breast,IV,55-59,1,0.79,(0.76 to 0.81)
Female,Breast,IV,55-59,5,0.33,(0.29 to 0.38)
Male,Breast,IV,55-59,1,0.79,(0.76 to 0.81)
Male,Breast,IV,55-59,5,0.34,(0.28 to 0.39)
Female,Breast,IV,60-64,1,0.72,(0.68 to 0.74)
Female,Breast,IV,60-64,5,0.33,(0.29 to 0.37)
Male,Breast,IV,60-64,1,0.72,(0.69 to 0.75)
Male,Breast,IV,60-64,5,0.32,(0.28 to 0.36)
Female,Breast,IV,65-69,1,0.72,(0.69 to 0.75)
Female,Breast,IV,65-69,5,0.28,(0.23 to 0.32)
Male,Breast,IV,65-69,1,0.72,(0.69 to 0.75)
Male,Breast,IV,65-69,5,0.28,(0.24 to 0.32)
Female,Breast,IV,70-74,1,0.67,(0.64 to 0.69)
Female,Breast,IV,70-74,5,0.23,(0.2 to 0.27)
Male,Breast,IV,70-74,1,0.67,(0.64 to 0.69)
Male,Breast,IV,70-74,5,0.24,(0.2 to 0.28)
Female,Breast,IV,75-79,1,0.63,(0.6 to 0.66)
Female,Breast,IV,75-79,5,0.22,(0.18 to 0.25)
Male,Breast,IV,75-79,1,0.63,(0.6 to 0.65)
Male,Breast,IV,75-79,5,0.22,(0.19 to 0.25)
