Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Cervix,IV,50-54,1,0.7,(0.59 to 0.77)
Female,Cervix,IV,50-54,5,0.23,(0.12 to 0.34)
Female,Cervix,IV,55-59,1,0.58,(0.48 to 0.67)
Female,Cervix,IV,55-59,5,0.13,(0.05 to 0.27)
Female,Cervix,IV,60-64,1,0.59,(0.49 to 0.68)
Female,Cervix,IV,60-64,5,0.18,(0.1 to 0.27)
Female,Cervix,IV,65-69,1,0.46,(0.37 to 0.55)
Female,Cervix,IV,65-69,5,0.15,(0.06 to 0.25)
Female,Cervix,IV,70-74,1,0.41,(0.32 to 0.5)
Female,Cervix,IV,70-74,5,0.11,(0.05 to 0.2)
Female,Cervix,IV,75-79,1,0.44,(0.34 to 0.54)
Female,Cervix,IV,75-79,5,0.05,(0.01 to 0.14)
