Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Colon/Rectum,IV,50-54,1,0.65,(0.64 to 0.67)
Female,Colon/Rectum,IV,50-54,5,0.16,(0.15 to 0.18)
Male,Colon/Rectum,IV,50-54,1,0.65,(0.63 to 0.67)
Male,Colon/Rectum,IV,50-54,5,0.17,(0.14 to 0.19)
Female,Colon/Rectum,IV,55-59,1,0.62,(0.6 to 0.64)
Female,Colon/Rectum,IV,55-59,5,0.14,(0.13 to 0.16)
Male,Colon/Rectum,IV,55-59,1,0.62,(0.6 to 0.64)
Male,Colon/Rectum,IV,55-59,5,0.14,(0.12 to 0.16)
Female,Colon/Rectum,IV,60-64,1,0.59,(0.58 to 0.61)
Female,Colon/Rectum,IV,60-64,5,0.15,(0.13 to 0.17)
Male,Colon/Rectum,IV,60-64,1,0.59,(0.58 to 0.61)
Male,Colon/Rectum,IV,60-64,5,0.15,(0.13 to 0.17)
Female,Colon/Rectum,IV,65-69,1,0.54,(0.52 to 0.55)
Female,Colon/Rectum,IV,65-69,5,0.13,(0.12 to 0.14)
Male,Colon/Rectum,IV,65-69,1,0.54,(0.52 to 0.55)
Male,Colon/Rectum,IV,65-69,5,0.13,(0.12 to 0.14)
Female,Colon/Rectum,IV,70-74,1,0.48,(0.47 to 0.49)
Female,Colon/Rectum,IV,70-74,5,0.13,(0.12 to 0.14)
Male,Colon/Rectum,IV,70-74,1,0.48,(0.47 to 0.49)
Male,Colon/Rectum,IV,70-74,5,0.13,(0.12 to 0.14)
Female,Colon/Rectum,IV,75-79,1,0.4,(0.39 to 0.41)
Female,Colon/Rectum,IV,75-79,5,0.07,(0.06 to 0.08)
Male,Colon/Rectum,IV,75-79,1,0.4,(0.39 to 0.42)
Male,Colon/Rectum,IV,75-79,5,0.07,(0.06 to 0.08)
