Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Esophagus,IV,50-54,1,0.34,(0.3 to 0.37)
Female,Esophagus,IV,50-54,5,0.03,(0.01 to 0.05)
Male,Esophagus,IV,50-54,1,0.34,(0.3 to 0.38)
Male,Esophagus,IV,50-54,5,0.03,(0.01 to 0.05)
Female,Esophagus,IV,55-59,1,0.34,(0.32 to 0.37)
Female,Esophagus,IV,55-59,5,0.04,(0.02 to 0.06)
Male,Esophagus,IV,55-59,1,0.34,(0.32 to 0.37)
Male,Esophagus,IV,55-59,5,0.04,(0.02 to 0.06)
Female,Esophagus,IV,60-64,1,0.34,(0.31 to 0.36)
Female,Esophagus,IV,60-64,5,0.04,(0.02 to 0.05)
Male,Esophagus,IV,60-64,1,0.34,(0.31 to 0.36)
Male,Esophagus,IV,60-64,5,0.04,(0.02 to 0.06)
Female,Esophagus,IV,65-69,1,0.31,(0.29 to 0.34)
Female,Esophagus,IV,65-69,5,0.03,(0.02 to 0.04)
Male,Esophagus,IV,65-69,1,0.32,(0.29 to 0.34)
Male,Esophagus,IV,65-69,5,0.03,(0.02 to 0.05)
Female,Esophagus,IV,70-74,1,0.27,(0.25 to 0.29)
Female,Esophagus,IV,70-74,5,0.03,(0.02 to 0.05)
Male,Esophagus,IV,70-74,1,0.27,(0.25 to 0.29)
Male,Esophagus,IV,70-74,5,0.03,(0.02 to 0.05)
Female,Esophagus,IV,75-79,1,0.23,(0.21 to 0.26)
Female,Esophagus,IV,75-79,5,0.02,(0.01 to 0.03)
Male,Esophagus,IV,75-79,1,0.23,(0.21 to 0.26)
Male,Esophagus,IV,75-79,5,0.02,(0.01 to 0.03)
