Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Gallbladder,IV,50-54,1,0.34,(0.26 to 0.44)
Female,Gallbladder,IV,50-54,5,0.02,(0 to 0.08)
Male,Gallbladder,IV,50-54,1,0.35,(0.26 to 0.45)
Male,Gallbladder,IV,50-54,5,0.02,(0 to 0.09)
Female,Gallbladder,IV,55-59,1,0.28,(0.22 to 0.34)
Female,Gallbladder,IV,55-59,5,0.05,(0.02 to 0.1)
Male,Gallbladder,IV,55-59,1,0.28,(0.22 to 0.34)
Male,Gallbladder,IV,55-59,5,0.06,(0.03 to 0.1)
Female,Gallbladder,IV,60-64,1,0.32,(0.26 to 0.38)
Female,Gallbladder,IV,60-64,5,0.02,(0 to 0.04)
Male,Gallbladder,IV,60-64,1,0.32,(0.26 to 0.37)
Male,Gallbladder,IV,60-64,5,0.01,(0 to 0.04)
Female,Gallbladder,IV,65-69,1,0.26,(0.22 to 0.3)
Female,Gallbladder,IV,65-69,5,0.02,(0 to 0.05)
Male,Gallbladder,IV,65-69,1,0.26,(0.22 to 0.31)
Male,Gallbladder,IV,65-69,5,0.02,(0.01 to 0.05)
Female,Gallbladder,IV,70-74,1,0.22,(0.18 to 0.25)
Female,Gallbladder,IV,70-74,5,0.03,(0.01 to 0.05)
Male,Gallbladder,IV,70-74,1,0.22,(0.18 to 0.26)
Male,Gallbladder,IV,70-74,5,0.03,(0.01 to 0.05)
