Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Head and Neck,IV,50-54,1,0.85,(0.83 to 0.86)
Female,Head and Neck,IV,50-54,5,0.63,(0.61 to 0.65)
Male,Head and Neck,IV,50-54,1,0.85,(0.83 to 0.86)
Male,Head and Neck,IV,50-54,5,0.63,(0.6 to 0.65)
Female,Head and Neck,IV,55-59,1,0.84,(0.83 to 0.85)
Female,Head and Neck,IV,55-59,5,0.58,(0.55 to 0.6)
Male,Head and Neck,IV,55-59,1,0.84,(0.83 to 0.85)
Male,Head and Neck,IV,55-59,5,0.58,(0.55 to 0.59)
Female,Head and Neck,IV,60-64,1,0.79,(0.78 to 0.8)
Female,Head and Neck,IV,60-64,5,0.51,(0.49 to 0.54)
Male,Head and Neck,IV,60-64,1,0.79,(0.77 to 0.8)
Male,Head and Neck,IV,60-64,5,0.51,(0.49 to 0.54)
Female,Head and Neck,IV,65-69,1,0.75,(0.73 to 0.76)
Female,Head and Neck,IV,65-69,5,0.44,(0.42 to 0.46)
Male,Head and Neck,IV,65-69,1,0.75,(0.73 to 0.76)
Male,Head and Neck,IV,65-69,5,0.44,(0.42 to 0.46)
Female,Head and Neck,IV,70-74,1,0.67,(0.65 to 0.69)
Female,Head and Neck,IV,70-74,5,0.36,(0.33 to 0.38)
Male,Head and Neck,IV,70-74,1,0.67,(0.65 to 0.69)
Male,Head and Neck,IV,70-74,5,0.36,(0.33 to 0.39)
Female,Head and Neck,IV,75-79,1,0.64,(0.62 to 0.67)
Female,Head and Neck,IV,75-79,5,0.31,(0.27 to 0.35)
Male,Head and Neck,IV,75-79,1,0.64,(0.62 to 0.67)
Male,Head and Neck,IV,75-79,5,0.31,(0.27 to 0.34)
