Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Kidney,IV,50-54,1,0.57,(0.53 to 0.61)
Female,Kidney,IV,50-54,5,0.21,(0.17 to 0.25)
Male,Kidney,IV,50-54,1,0.57,(0.54 to 0.61)
Male,Kidney,IV,50-54,5,0.21,(0.17 to 0.25)
Female,Kidney,IV,55-59,1,0.53,(0.49 to 0.56)
Female,Kidney,IV,55-59,5,0.19,(0.14 to 0.22)
Male,Kidney,IV,55-59,1,0.53,(0.49 to 0.56)
Male,Kidney,IV,55-59,5,0.18,(0.14 to 0.22)
Female,Kidney,IV,60-64,1,0.52,(0.49 to 0.54)
Female,Kidney,IV,60-64,5,0.17,(0.14 to 0.2)
Male,Kidney,IV,60-64,1,0.51,(0.48 to 0.55)
Male,Kidney,IV,60-64,5,0.18,(0.15 to 0.21)
Female,Kidney,IV,65-69,1,0.47,(0.44 to 0.49)
Female,Kidney,IV,65-69,5,0.15,(0.12 to 0.18)
Male,Kidney,IV,65-69,1,0.47,(0.44 to 0.49)
Male,Kidney,IV,65-69,5,0.15,(0.13 to 0.18)
Female,Kidney,IV,70-74,1,0.42,(0.39 to 0.44)
Female,Kidney,IV,70-74,5,0.12,(0.1 to 0.15)
Male,Kidney,IV,70-74,1,0.42,(0.39 to 0.44)
Male,Kidney,IV,70-74,5,0.12,(0.1 to 0.15)
Female,Kidney,IV,75-79,1,0.37,(0.34 to 0.39)
Female,Kidney,IV,75-79,5,0.11,(0.09 to 0.14)
Male,Kidney,IV,75-79,1,0.37,(0.34 to 0.4)
Male,Kidney,IV,75-79,5,0.11,(0.08 to 0.14)
