Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Liver/Bile-duct,IV,50-54,1,0.32,(0.27 to 0.37)
Female,Liver/Bile-duct,IV,50-54,5,0.03,(0.01 to 0.07)
Male,Liver/Bile-duct,IV,50-54,1,0.32,(0.27 to 0.37)
Male,Liver/Bile-duct,IV,50-54,5,0.03,(0.01 to 0.07)
Female,Liver/Bile-duct,IV,55-59,1,0.28,(0.25 to 0.33)
Female,Liver/Bile-duct,IV,55-59,5,0.03,(0.01 to 0.07)
Male,Liver/Bile-duct,IV,55-59,1,0.28,(0.25 to 0.32)
Male,Liver/Bile-duct,IV,55-59,5,0.03,(0.01 to 0.07)
Female,Liver/Bile-duct,IV,60-64,1,0.27,(0.24 to 0.3)
Female,Liver/Bile-duct,IV,60-64,5,0.03,(0.01 to 0.05)
Male,Liver/Bile-duct,IV,60-64,1,0.27,(0.23 to 0.3)
Male,Liver/Bile-duct,IV,60-64,5,0.03,(0.01 to 0.05)
Female,Liver/Bile-duct,IV,65-69,1,0.27,(0.24 to 0.3)
Female,Liver/Bile-duct,IV,65-69,5,0.02,(0.01 to 0.04)
Male,Liver/Bile-duct,IV,65-69,1,0.27,(0.24 to 0.3)
Male,Liver/Bile-duct,IV,65-69,5,0.02,(0.01 to 0.04)
Female,Liver/Bile-duct,IV,70-74,1,0.2,(0.18 to 0.23)
Female,Liver/Bile-duct,IV,70-74,5,0.02,(0.01 to 0.05)
Male,Liver/Bile-duct,IV,70-74,1,0.2,(0.18 to 0.23)
Male,Liver/Bile-duct,IV,70-74,5,0.03,(0.01 to 0.05)
Female,Liver/Bile-duct,IV,75-79,1,0.19,(0.16 to 0.21)
Female,Liver/Bile-duct,IV,75-79,5,0.03,(0.01 to 0.04)
Male,Liver/Bile-duct,IV,75-79,1,0.19,(0.16 to 0.21)
Male,Liver/Bile-duct,IV,75-79,5,0.03,(0.01 to 0.04)
