Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Lung,IV,50-54,1,0.32,(0.3 to 0.34)
Female,Lung,IV,50-54,5,0.05,(0.04 to 0.06)
Male,Lung,IV,50-54,1,0.32,(0.3 to 0.33)
Male,Lung,IV,50-54,5,0.05,(0.04 to 0.06)
Female,Lung,IV,55-59,1,0.3,(0.28 to 0.31)
Female,Lung,IV,55-59,5,0.04,(0.04 to 0.05)
Male,Lung,IV,55-59,1,0.3,(0.28 to 0.31)
Male,Lung,IV,55-59,5,0.04,(0.04 to 0.05)
Female,Lung,IV,60-64,1,0.27,(0.26 to 0.28)
Female,Lung,IV,60-64,5,0.03,(0.03 to 0.04)
Male,Lung,IV,60-64,1,0.27,(0.26 to 0.28)
Male,Lung,IV,60-64,5,0.03,(0.03 to 0.04)
Female,Lung,IV,65-69,1,0.25,(0.24 to 0.25)
Female,Lung,IV,65-69,5,0.03,(0.02 to 0.03)
Male,Lung,IV,65-69,1,0.25,(0.24 to 0.25)
Male,Lung,IV,65-69,5,0.03,(0.02 to 0.03)
Female,Lung,IV,70-74,1,0.22,(0.21 to 0.23)
Female,Lung,IV,70-74,5,0.02,(0.02 to 0.03)
Male,Lung,IV,70-74,1,0.22,(0.21 to 0.23)
Male,Lung,IV,70-74,5,0.02,(0.02 to 0.03)
Female,Lung,IV,75-79,1,0.18,(0.17 to 0.19)
Female,Lung,IV,75-79,5,0.02,(0.01 to 0.02)
Male,Lung,IV,75-79,1,0.18,(0.17 to 0.19)
Male,Lung,IV,75-79,5,0.02,(0.02 to 0.02)
