Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Lymphoma,IV,50-54,1,0.87,(0.86 to 0.89)
Female,Lymphoma,IV,50-54,5,0.77,(0.74 to 0.79)
Male,Lymphoma,IV,50-54,1,0.87,(0.86 to 0.89)
Male,Lymphoma,IV,50-54,5,0.77,(0.75 to 0.8)
Female,Lymphoma,IV,55-59,1,0.86,(0.85 to 0.88)
Female,Lymphoma,IV,55-59,5,0.73,(0.7 to 0.75)
Male,Lymphoma,IV,55-59,1,0.86,(0.85 to 0.88)
Male,Lymphoma,IV,55-59,5,0.73,(0.7 to 0.75)
Female,Lymphoma,IV,60-64,1,0.86,(0.84 to 0.87)
Female,Lymphoma,IV,60-64,5,0.71,(0.69 to 0.73)
Male,Lymphoma,IV,60-64,1,0.85,(0.84 to 0.87)
Male,Lymphoma,IV,60-64,5,0.71,(0.68 to 0.73)
Female,Lymphoma,IV,65-69,1,0.83,(0.82 to 0.84)
Female,Lymphoma,IV,65-69,5,0.68,(0.66 to 0.7)
Male,Lymphoma,IV,65-69,1,0.83,(0.82 to 0.84)
Male,Lymphoma,IV,65-69,5,0.68,(0.66 to 0.7)
Female,Lymphoma,IV,70-74,1,0.79,(0.77 to 0.8)
Female,Lymphoma,IV,70-74,5,0.62,(0.6 to 0.64)
Male,Lymphoma,IV,70-74,1,0.79,(0.77 to 0.8)
Male,Lymphoma,IV,70-74,5,0.62,(0.6 to 0.64)
Female,Lymphoma,IV,75-79,1,0.73,(0.71 to 0.74)
Female,Lymphoma,IV,75-79,5,0.55,(0.53 to 0.57)
Male,Lymphoma,IV,75-79,1,0.73,(0.71 to 0.74)
Male,Lymphoma,IV,75-79,5,0.53,(0.52 to 0.55)
