Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Melanoma,IV,50-54,1,0.68,(0.58 to 0.76)
Female,Melanoma,IV,50-54,5,0.43,(0.3 to 0.55)
Male,Melanoma,IV,50-54,1,0.67,(0.59 to 0.76)
Male,Melanoma,IV,50-54,5,0.43,(0.29 to 0.54)
Female,Melanoma,IV,55-59,1,0.57,(0.5 to 0.66)
Female,Melanoma,IV,55-59,5,0.24,(0.15 to 0.33)
Male,Melanoma,IV,55-59,1,0.58,(0.5 to 0.65)
Male,Melanoma,IV,55-59,5,0.24,(0.15 to 0.33)
Female,Melanoma,IV,60-64,1,0.59,(0.52 to 0.67)
Female,Melanoma,IV,60-64,5,0.28,(0.2 to 0.37)
Male,Melanoma,IV,60-64,1,0.59,(0.51 to 0.68)
Male,Melanoma,IV,60-64,5,0.28,(0.2 to 0.39)
Female,Melanoma,IV,65-69,1,0.55,(0.49 to 0.61)
Female,Melanoma,IV,65-69,5,0.25,(0.17 to 0.32)
Male,Melanoma,IV,65-69,1,0.55,(0.48 to 0.62)
Male,Melanoma,IV,65-69,5,0.24,(0.16 to 0.32)
Male,Melanoma,IV,70-74,1,0.56,(0.5 to 0.63)
Male,Melanoma,IV,70-74,5,0.25,(0.18 to 0.32)
Female,Melanoma,IV,75-79,1,0.51,(0.43 to 0.58)
Female,Melanoma,IV,75-79,5,0.28,(0.18 to 0.36)
Male,Melanoma,IV,75-79,1,0.5,(0.43 to 0.57)
Male,Melanoma,IV,75-79,5,0.28,(0.18 to 0.35)
