Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Ovary,IV,50-54,1,0.79,(0.75 to 0.83)
Female,Ovary,IV,50-54,5,0.26,(0.2 to 0.33)
Female,Ovary,IV,55-59,1,0.75,(0.72 to 0.78)
Female,Ovary,IV,55-59,5,0.21,(0.16 to 0.28)
Female,Ovary,IV,60-64,1,0.72,(0.69 to 0.75)
Female,Ovary,IV,60-64,5,0.22,(0.18 to 0.27)
Female,Ovary,IV,65-69,1,0.67,(0.64 to 0.7)
Female,Ovary,IV,65-69,5,0.17,(0.13 to 0.21)
Female,Ovary,IV,70-74,1,0.59,(0.56 to 0.62)
Female,Ovary,IV,70-74,5,0.14,(0.1 to 0.18)
Female,Ovary,IV,75-79,1,0.51,(0.47 to 0.54)
Female,Ovary,IV,75-79,5,0.1,(0.07 to 0.13)
