Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Pancreas,IV,50-54,1,0.22,(0.2 to 0.25)
Female,Pancreas,IV,50-54,5,0.05,(0.03 to 0.07)
Male,Pancreas,IV,50-54,1,0.22,(0.2 to 0.25)
Male,Pancreas,IV,50-54,5,0.05,(0.03 to 0.07)
Female,Pancreas,IV,55-59,1,0.2,(0.18 to 0.22)
Female,Pancreas,IV,55-59,5,0.04,(0.02 to 0.05)
Male,Pancreas,IV,55-59,1,0.2,(0.18 to 0.22)
Male,Pancreas,IV,55-59,5,0.04,(0.02 to 0.05)
Female,Pancreas,IV,60-64,1,0.18,(0.16 to 0.19)
Female,Pancreas,IV,60-64,5,0.02,(0.01 to 0.03)
Male,Pancreas,IV,60-64,1,0.18,(0.16 to 0.2)
Male,Pancreas,IV,60-64,5,0.02,(0.01 to 0.03)
Female,Pancreas,IV,65-69,1,0.15,(0.14 to 0.17)
Female,Pancreas,IV,65-69,5,0.01,(0.01 to 0.02)
Male,Pancreas,IV,65-69,1,0.15,(0.14 to 0.17)
Male,Pancreas,IV,65-69,5,0.01,(0.01 to 0.02)
Female,Pancreas,IV,70-74,1,0.1,(0.09 to 0.12)
Female,Pancreas,IV,70-74,5,0.01,(0.01 to 0.02)
Male,Pancreas,IV,70-74,1,0.1,(0.09 to 0.12)
Male,Pancreas,IV,70-74,5,0.01,(0 to 0.02)
Female,Pancreas,IV,75-79,1,0.09,(0.08 to 0.1)
Female,Pancreas,IV,75-79,5,0.01,(0 to 0.01)
Male,Pancreas,IV,75-79,1,0.09,(0.08 to 0.1)
Male,Pancreas,IV,75-79,5,0.01,(0 to 0.01)
