Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Male,Prostate,IV,50-54,1,0.95,(0.93 to 0.96)
Male,Prostate,IV,50-54,5,0.56,(0.52 to 0.61)
Male,Prostate,IV,55-59,1,0.96,(0.95 to 0.96)
Male,Prostate,IV,55-59,5,0.54,(0.5 to 0.57)
Male,Prostate,IV,60-64,1,0.94,(0.94 to 0.95)
Male,Prostate,IV,60-64,5,0.58,(0.55 to 0.6)
Male,Prostate,IV,65-69,1,0.94,(0.93 to 0.94)
Male,Prostate,IV,65-69,5,0.57,(0.56 to 0.59)
Male,Prostate,IV,70-74,1,0.92,(0.92 to 0.93)
Male,Prostate,IV,70-74,5,0.54,(0.52 to 0.55)
Male,Prostate,IV,75-79,1,0.89,(0.88 to 0.9)
Male,Prostate,IV,75-79,5,0.49,(0.47 to 0.51)
