Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Sarcoma,IV,50-54,1,0.51,(0.43 to 0.6)
Female,Sarcoma,IV,50-54,5,0.18,(0.09 to 0.28)
Male,Sarcoma,IV,50-54,1,0.51,(0.41 to 0.59)
Male,Sarcoma,IV,50-54,5,0.17,(0.08 to 0.27)
Female,Sarcoma,IV,55-59,1,0.5,(0.42 to 0.58)
Female,Sarcoma,IV,55-59,5,0.06,(0.02 to 0.14)
Male,Sarcoma,IV,55-59,1,0.49,(0.41 to 0.58)
Male,Sarcoma,IV,55-59,5,0.06,(0.02 to 0.12)
Female,Sarcoma,IV,60-64,1,0.51,(0.43 to 0.6)
Female,Sarcoma,IV,60-64,5,0.02,(0 to 0.06)
Male,Sarcoma,IV,60-64,1,0.51,(0.44 to 0.59)
Male,Sarcoma,IV,60-64,5,0.02,(0 to 0.06)
Female,Sarcoma,IV,65-69,1,0.36,(0.28 to 0.44)
Female,Sarcoma,IV,65-69,5,0.06,(0.01 to 0.14)
Male,Sarcoma,IV,65-69,1,0.36,(0.28 to 0.44)
Male,Sarcoma,IV,65-69,5,0.06,(0.01 to 0.14)
Female,Sarcoma,IV,70-74,1,0.44,(0.37 to 0.52)
Female,Sarcoma,IV,70-74,5,0.03,(0.01 to 0.09)
Male,Sarcoma,IV,70-74,1,0.44,(0.36 to 0.53)
Male,Sarcoma,IV,70-74,5,0.04,(0.01 to 0.11)
Female,Sarcoma,IV,75-79,1,0.34,(0.26 to 0.42)
Female,Sarcoma,IV,75-79,5,0.07,(0.02 to 0.17)
Male,Sarcoma,IV,75-79,1,0.34,(0.26 to 0.43)
Male,Sarcoma,IV,75-79,5,0.07,(0.02 to 0.16)
