Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Stomach,IV,50-54,1,0.35,(0.31 to 0.39)
Female,Stomach,IV,50-54,5,0.04,(0.02 to 0.07)
Male,Stomach,IV,50-54,1,0.35,(0.31 to 0.39)
Male,Stomach,IV,50-54,5,0.04,(0.02 to 0.07)
Female,Stomach,IV,55-59,1,0.32,(0.29 to 0.36)
Female,Stomach,IV,55-59,5,0.06,(0.04 to 0.1)
Male,Stomach,IV,55-59,1,0.33,(0.29 to 0.36)
Male,Stomach,IV,55-59,5,0.07,(0.04 to 0.09)
Female,Stomach,IV,60-64,1,0.3,(0.27 to 0.33)
Female,Stomach,IV,60-64,5,0.04,(0.02 to 0.06)
Male,Stomach,IV,60-64,1,0.3,(0.27 to 0.33)
Male,Stomach,IV,60-64,5,0.04,(0.02 to 0.06)
Female,Stomach,IV,65-69,1,0.32,(0.29 to 0.35)
Female,Stomach,IV,65-69,5,0.03,(0.02 to 0.05)
Male,Stomach,IV,65-69,1,0.32,(0.29 to 0.34)
Male,Stomach,IV,65-69,5,0.04,(0.02 to 0.05)
Female,Stomach,IV,70-74,1,0.26,(0.24 to 0.29)
Female,Stomach,IV,70-74,5,0.04,(0.03 to 0.05)
Male,Stomach,IV,70-74,1,0.26,(0.24 to 0.29)
Male,Stomach,IV,70-74,5,0.04,(0.03 to 0.06)
Female,Stomach,IV,75-79,1,0.23,(0.21 to 0.25)
Female,Stomach,IV,75-79,5,0.02,(0.01 to 0.04)
Male,Stomach,IV,75-79,1,0.23,(0.21 to 0.25)
Male,Stomach,IV,75-79,5,0.02,(0.01 to 0.04)
