Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Thyroid,IV,50-54,1,0.9,(0.84 to 0.94)
Female,Thyroid,IV,50-54,5,0.81,(0.73 to 0.87)
Male,Thyroid,IV,50-54,1,0.9,(0.84 to 0.94)
Male,Thyroid,IV,50-54,5,0.81,(0.73 to 0.87)
Female,Thyroid,IV,55-59,1,0.83,(0.76 to 0.88)
Female,Thyroid,IV,55-59,5,0.7,(0.59 to 0.79)
Male,Thyroid,IV,55-59,1,0.83,(0.77 to 0.88)
Male,Thyroid,IV,55-59,5,0.7,(0.61 to 0.78)
Female,Thyroid,IV,60-64,1,0.75,(0.69 to 0.81)
Female,Thyroid,IV,60-64,5,0.53,(0.4 to 0.63)
Male,Thyroid,IV,60-64,1,0.75,(0.69 to 0.81)
Male,Thyroid,IV,60-64,5,0.54,(0.41 to 0.64)
Female,Thyroid,IV,65-69,1,0.69,(0.63 to 0.74)
Female,Thyroid,IV,65-69,5,0.54,(0.46 to 0.61)
Male,Thyroid,IV,65-69,1,0.69,(0.63 to 0.74)
Male,Thyroid,IV,65-69,5,0.54,(0.47 to 0.61)
Female,Thyroid,IV,70-74,1,0.6,(0.53 to 0.67)
Female,Thyroid,IV,70-74,5,0.33,(0.26 to 0.41)
Male,Thyroid,IV,70-74,1,0.6,(0.53 to 0.66)
Male,Thyroid,IV,70-74,5,0.33,(0.25 to 0.41)
Female,Thyroid,IV,75-79,1,0.55,(0.49 to 0.61)
Female,Thyroid,IV,75-79,5,0.37,(0.3 to 0.45)
Male,Thyroid,IV,75-79,1,0.55,(0.48 to 0.62)
Male,Thyroid,IV,75-79,5,0.37,(0.3 to 0.44)
