Sex,NCRAS_Draw,Stage,Age,t,median,CrI
Female,Urothelial Tract,IV,50-54,1,0.61,(0.48 to 0.73)
Female,Urothelial Tract,IV,50-54,5,0.09,(0.02 to 0.26)
Male,Urothelial Tract,IV,50-54,1,0.61,(0.47 to 0.73)
Male,Urothelial Tract,IV,50-54,5,0.09,(0.02 to 0.33)
Female,Urothelial Tract,IV,55-59,1,0.56,(0.45 to 0.66)
Female,Urothelial Tract,IV,55-59,5,0.25,(0.14 to 0.38)
Male,Urothelial Tract,IV,55-59,1,0.55,(0.43 to 0.68)
Male,Urothelial Tract,IV,55-59,5,0.25,(0.14 to 0.39)
Female,Urothelial Tract,IV,60-64,1,0.42,(0.35 to 0.51)
Female,Urothelial Tract,IV,60-64,5,0.07,(0.02 to 0.14)
Male,Urothelial Tract,IV,60-64,1,0.43,(0.34 to 0.51)
Male,Urothelial Tract,IV,60-64,5,0.07,(0.02 to 0.15)
Female,Urothelial Tract,IV,65-69,1,0.48,(0.42 to 0.54)
Female,Urothelial Tract,IV,65-69,5,0.16,(0.1 to 0.23)
Male,Urothelial Tract,IV,65-69,1,0.48,(0.41 to 0.54)
Male,Urothelial Tract,IV,65-69,5,0.16,(0.1 to 0.24)
Female,Urothelial Tract,IV,70-74,1,0.4,(0.36 to 0.46)
Female,Urothelial Tract,IV,70-74,5,0.11,(0.07 to 0.17)
Male,Urothelial Tract,IV,70-74,1,0.41,(0.36 to 0.47)
Male,Urothelial Tract,IV,70-74,5,0.12,(0.07 to 0.17)
Female,Urothelial Tract,IV,75-79,1,0.36,(0.31 to 0.42)
Female,Urothelial Tract,IV,75-79,5,0.05,(0.01 to 0.1)
Male,Urothelial Tract,IV,75-79,1,0.36,(0.32 to 0.41)
Male,Urothelial Tract,IV,75-79,5,0.05,(0.02 to 0.1)
