characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.all.I.60-64.1.negative,rmst,37,22.02 (21.52 to 22.31),22.02,21.52 to 22.31,21.52,22.31,(21.52 to 22.31)
Female.all.I.60-64.1.positive,rmst,37,22 (21.51 to 22.33),22,21.51 to 22.33,21.51,22.33,(21.51 to 22.33)
Female.all.II.60-64.1.negative,rmst,37,17.08 (16.21 to 17.85),17.08,16.21 to 17.85,16.21,17.85,(16.21 to 17.85)
Female.all.II.60-64.1.positive,rmst,37,17.08 (16.26 to 17.87),17.08,16.26 to 17.87,16.26,17.87,(16.26 to 17.87)
Female.all.III.60-64.1.negative,rmst,37,8.87 (8.33 to 9.52),8.87,8.33 to 9.52,8.33,9.52,(8.33 to 9.52)
Female.all.III.60-64.1.positive,rmst,37,8.92 (8.38 to 9.55),8.92,8.38 to 9.55,8.38,9.55,(8.38 to 9.55)
Female.all.IV.60-64.1.negative,rmst,37,3.55 (3.29 to 3.9),3.55,3.29 to 3.9,3.29,3.9,(3.29 to 3.9)
Female.all.IV.60-64.1.positive,rmst,37,3.56 (3.29 to 3.86),3.56,3.29 to 3.86,3.29,3.86,(3.29 to 3.86)
Male.all.I.60-64.1.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.all.I.60-64.1.positive,rmst,37,20.32 (20.3 to 20.32),20.32,20.3 to 20.32,20.3,20.32,(20.3 to 20.32)
Male.all.II.60-64.1.negative,rmst,37,18.18 (17.55 to 18.77),18.18,17.55 to 18.77,17.55,18.77,(17.55 to 18.77)
Male.all.II.60-64.1.positive,rmst,37,18.18 (17.52 to 18.79),18.18,17.52 to 18.79,17.52,18.79,(17.52 to 18.79)
Male.all.III.60-64.1.negative,rmst,37,12.55 (11.86 to 13.18),12.55,11.86 to 13.18,11.86,13.18,(11.86 to 13.18)
Male.all.III.60-64.1.positive,rmst,37,12.55 (11.78 to 13.1),12.55,11.78 to 13.1,11.78,13.1,(11.78 to 13.1)
Male.all.IV.60-64.1.negative,rmst,37,4.12 (3.82 to 4.41),4.12,3.82 to 4.41,3.82,4.41,(3.82 to 4.41)
Male.all.IV.60-64.1.positive,rmst,37,4.15 (3.86 to 4.45),4.15,3.86 to 4.45,3.86,4.45,(3.86 to 4.45)
