characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male.all.I.75-79.1.negative,rmst,22,9.58 (9.54 to 9.59),9.58,9.54 to 9.59,9.54,9.59,(9.54 to 9.59)
Male.all.I.75-79.1.positive,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.all.I.75-79.1.5.negative,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.all.I.75-79.1.5.positive,rmst,22,9.55 (9.5 to 9.59),9.55,9.5 to 9.59,9.5,9.59,(9.5 to 9.59)
Male.all.I.75-79.3.negative,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.all.I.75-79.3.positive,rmst,22,9.05 (9.01 to 9.09),9.05,9.01 to 9.09,9.01,9.09,(9.01 to 9.09)
Male.all.II.75-79.1.negative,rmst,22,8.97 (8.93 to 9.01),8.97,8.93 to 9.01,8.93,9.01,(8.93 to 9.01)
Male.all.II.75-79.1.positive,rmst,22,8.97 (8.94 to 9.01),8.97,8.94 to 9.01,8.94,9.01,(8.94 to 9.01)
Male.all.II.75-79.1.5.negative,rmst,22,9.24 (9.2 to 9.28),9.24,9.2 to 9.28,9.2,9.28,(9.2 to 9.28)
Male.all.II.75-79.1.5.positive,rmst,22,8.76 (8.71 to 8.8),8.76,8.71 to 8.8,8.71,8.8,(8.71 to 8.8)
Male.all.II.75-79.3.negative,rmst,22,9.55 (9.53 to 9.56),9.55,9.53 to 9.56,9.53,9.56,(9.53 to 9.56)
Male.all.II.75-79.3.positive,rmst,22,8.24 (8.18 to 8.3),8.24,8.18 to 8.3,8.18,8.3,(8.18 to 8.3)
Male.all.III.75-79.1.negative,rmst,22,7.1 (7.04 to 7.17),7.1,7.04 to 7.17,7.04,7.17,(7.04 to 7.17)
Male.all.III.75-79.1.positive,rmst,22,7.1 (7.04 to 7.16),7.1,7.04 to 7.16,7.04,7.16,(7.04 to 7.16)
Male.all.III.75-79.1.5.negative,rmst,22,8 (7.95 to 8.06),8,7.95 to 8.06,7.95,8.06,(7.95 to 8.06)
Male.all.III.75-79.1.5.positive,rmst,22,6.92 (6.86 to 6.99),6.92,6.86 to 6.99,6.86,6.99,(6.86 to 6.99)
Male.all.III.75-79.3.negative,rmst,22,8.98 (8.94 to 9.03),8.98,8.94 to 9.03,8.94,9.03,(8.94 to 9.03)
Male.all.III.75-79.3.positive,rmst,22,6.59 (6.52 to 6.66),6.59,6.52 to 6.66,6.52,6.66,(6.52 to 6.66)
