characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Anus.I.50-54.1.negative,rmst,47,31.61 (18.71 to 31.64),31.61,18.71 to 31.64,18.71,31.64,(18.71 to 31.64)
Male.Anus.I.50-54.1.negative,rmst,47,28.8 (21.16 to 28.8),28.8,21.16 to 28.8,21.16,28.8,(21.16 to 28.8)
Female.Anus.II.50-54.1.negative,rmst,47,20.99 (11.55 to 29.1),20.99,11.55 to 29.1,11.55,29.1,(11.55 to 29.1)
Male.Anus.II.50-54.1.negative,rmst,47,20.76 (11.87 to 27.34),20.76,11.87 to 27.34,11.87,27.34,(11.87 to 27.34)
Female.Anus.III.50-54.1.negative,rmst,47,17.5 (11.08 to 25.4),17.5,11.08 to 25.4,11.08,25.4,(11.08 to 25.4)
Male.Anus.III.50-54.1.negative,rmst,47,16.68 (10.39 to 23.43),16.68,10.39 to 23.43,10.39,23.43,(10.39 to 23.43)
Female.Anus.IV.50-54.1.negative,rmst,47,3.23 (2.31 to 6.16),3.23,2.31 to 6.16,2.31,6.16,(2.31 to 6.16)
Male.Anus.IV.50-54.1.negative,rmst,47,3.27 (2.24 to 5.92),3.27,2.24 to 5.92,2.24,5.92,(2.24 to 5.92)
Female.Anus.I.55-59.1.negative,rmst,42,27.11 (22.94 to 27.11),27.11,22.94 to 27.11,22.94,27.11,(22.94 to 27.11)
Male.Anus.I.55-59.1.negative,rmst,42,24.46 (23.06 to 24.46),24.46,23.06 to 24.46,23.06,24.46,(23.06 to 24.46)
Female.Anus.II.55-59.1.negative,rmst,42,23 (17.46 to 25.31),23,17.46 to 25.31,17.46,25.31,(17.46 to 25.31)
Male.Anus.II.55-59.1.negative,rmst,42,21.37 (16.74 to 23.24),21.37,16.74 to 23.24,16.74,23.24,(16.74 to 23.24)
Female.Anus.III.55-59.1.negative,rmst,42,15.02 (10 to 20.49),15.02,10 to 20.49,10,20.49,(10 to 20.49)
Male.Anus.III.55-59.1.negative,rmst,42,14.91 (9.6 to 19.52),14.91,9.6 to 19.52,9.6,19.52,(9.6 to 19.52)
Female.Anus.IV.55-59.1.negative,rmst,42,2.33 (1.49 to 5.11),2.33,1.49 to 5.11,1.49,5.11,(1.49 to 5.11)
Male.Anus.IV.55-59.1.negative,rmst,42,2.29 (1.52 to 4.75),2.29,1.52 to 4.75,1.52,4.75,(1.52 to 4.75)
Female.Anus.I.60-64.1.negative,rmst,37,22.74 (21.06 to 22.74),22.74,21.06 to 22.74,21.06,22.74,(21.06 to 22.74)
Male.Anus.I.60-64.1.negative,rmst,37,20.32 (19.59 to 20.32),20.32,19.59 to 20.32,19.59,20.32,(19.59 to 20.32)
Female.Anus.II.60-64.1.negative,rmst,37,19.99 (15.44 to 22.47),19.99,15.44 to 22.47,15.44,22.47,(15.44 to 22.47)
Male.Anus.II.60-64.1.negative,rmst,37,19.99 (15.58 to 20.32),19.99,15.58 to 20.32,15.58,20.32,(15.58 to 20.32)
Female.Anus.III.60-64.1.negative,rmst,37,15.91 (11.63 to 18.31),15.91,11.63 to 18.31,11.63,18.31,(11.63 to 18.31)
Male.Anus.III.60-64.1.negative,rmst,37,15.15 (10.97 to 16.72),15.15,10.97 to 16.72,10.97,16.72,(10.97 to 16.72)
