characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Bladder.I.50-54.1.negative,rmst,47,23.5 (14.17 to 29.4),23.5,14.17 to 29.4,14.17,29.4,(14.17 to 29.4)
Male.Bladder.I.50-54.1.negative,rmst,47,23.24 (13.97 to 27.3),23.24,13.97 to 27.3,13.97,27.3,(13.97 to 27.3)
Female.Bladder.II.50-54.1.negative,rmst,47,9.29 (6.34 to 15.34),9.29,6.34 to 15.34,6.34,15.34,(6.34 to 15.34)
Male.Bladder.II.50-54.1.negative,rmst,47,8.94 (6.26 to 14.89),8.94,6.26 to 14.89,6.26,14.89,(6.26 to 14.89)
Female.Bladder.III.50-54.1.negative,rmst,47,7.46 (4.39 to 15.67),7.46,4.39 to 15.67,4.39,15.67,(4.39 to 15.67)
Male.Bladder.III.50-54.1.negative,rmst,47,7.31 (4.35 to 14.04),7.31,4.35 to 14.04,4.35,14.04,(4.35 to 14.04)
Female.Bladder.IV.50-54.1.negative,rmst,47,5.88 (3.21 to 9.47),5.88,3.21 to 9.47,3.21,9.47,(3.21 to 9.47)
Male.Bladder.IV.50-54.1.negative,rmst,47,5.68 (3.36 to 9.08),5.68,3.36 to 9.08,3.36,9.08,(3.36 to 9.08)
Female.Bladder.I.55-59.1.negative,rmst,42,21.12 (16.7 to 24.09),21.12,16.7 to 24.09,16.7,24.09,(16.7 to 24.09)
Male.Bladder.I.55-59.1.negative,rmst,42,20.21 (16.71 to 22.67),20.21,16.71 to 22.67,16.71,22.67,(16.71 to 22.67)
Female.Bladder.II.55-59.1.negative,rmst,42,11.07 (7.75 to 15.01),11.07,7.75 to 15.01,7.75,15.01,(7.75 to 15.01)
Male.Bladder.II.55-59.1.negative,rmst,42,10.92 (7.77 to 14.98),10.92,7.77 to 14.98,7.77,14.98,(7.77 to 14.98)
Female.Bladder.III.55-59.1.negative,rmst,42,12.32 (7.54 to 17.97),12.32,7.54 to 17.97,7.54,17.97,(7.54 to 17.97)
Male.Bladder.III.55-59.1.negative,rmst,42,12.01 (7.11 to 16.35),12.01,7.11 to 16.35,7.11,16.35,(7.11 to 16.35)
Female.Bladder.IV.55-59.1.negative,rmst,42,2.39 (1.67 to 4.29),2.39,1.67 to 4.29,1.67,4.29,(1.67 to 4.29)
Male.Bladder.IV.55-59.1.negative,rmst,42,2.34 (1.67 to 4.05),2.34,1.67 to 4.05,1.67,4.05,(1.67 to 4.05)
Female.Bladder.I.60-64.1.negative,rmst,37,18.12 (14.67 to 20.95),18.12,14.67 to 20.95,14.67,20.95,(14.67 to 20.95)
Male.Bladder.I.60-64.1.negative,rmst,37,18.04 (14.79 to 19.75),18.04,14.79 to 19.75,14.79,19.75,(14.79 to 19.75)
Female.Bladder.II.60-64.1.negative,rmst,37,10.55 (8.07 to 13.26),10.55,8.07 to 13.26,8.07,13.26,(8.07 to 13.26)
Male.Bladder.II.60-64.1.negative,rmst,37,10.12 (7.79 to 12.54),10.12,7.79 to 12.54,7.79,12.54,(7.79 to 12.54)
Female.Bladder.III.60-64.1.negative,rmst,37,7 (4.88 to 10.27),7,4.88 to 10.27,4.88,10.27,(4.88 to 10.27)
Male.Bladder.III.60-64.1.negative,rmst,37,6.92 (4.78 to 10.04),6.92,4.78 to 10.04,4.78,10.04,(4.78 to 10.04)
Female.Bladder.IV.60-64.1.negative,rmst,37,2.7 (1.84 to 4.35),2.7,1.84 to 4.35,1.84,4.35,(1.84 to 4.35)
Male.Bladder.IV.60-64.1.negative,rmst,37,2.76 (1.84 to 4.32),2.76,1.84 to 4.32,1.84,4.32,(1.84 to 4.32)
Female.Bladder.I.65-69.1.negative,rmst,32,16.61 (15.1 to 17.24),16.61,15.1 to 17.24,15.1,17.24,(15.1 to 17.24)
Male.Bladder.I.65-69.1.negative,rmst,32,15.34 (14.48 to 15.78),15.34,14.48 to 15.78,14.48,15.78,(14.48 to 15.78)
Female.Bladder.II.65-69.1.negative,rmst,32,9.52 (7.67 to 11.45),9.52,7.67 to 11.45,7.67,11.45,(7.67 to 11.45)
Male.Bladder.II.65-69.1.negative,rmst,32,9.16 (7.68 to 10.62),9.16,7.68 to 10.62,7.68,10.62,(7.68 to 10.62)
Female.Bladder.III.65-69.1.negative,rmst,32,9.08 (6.29 to 11.36),9.08,6.29 to 11.36,6.29,11.36,(6.29 to 11.36)
Male.Bladder.III.65-69.1.negative,rmst,32,8.62 (6.27 to 10.61),8.62,6.27 to 10.61,6.27,10.61,(6.27 to 10.61)
Female.Bladder.IV.65-69.1.negative,rmst,32,3.17 (2.29 to 4.24),3.17,2.29 to 4.24,2.29,4.24,(2.29 to 4.24)
Male.Bladder.IV.65-69.1.negative,rmst,32,3.12 (2.29 to 4.01),3.12,2.29 to 4.01,2.29,4.01,(2.29 to 4.01)
Female.Bladder.I.70-74.1.negative,rmst,27,12.99 (11.81 to 13.65),12.99,11.81 to 13.65,11.81,13.65,(11.81 to 13.65)
Male.Bladder.I.70-74.1.negative,rmst,27,12.23 (11.57 to 12.54),12.23,11.57 to 12.54,11.57,12.54,(11.57 to 12.54)
Female.Bladder.II.70-74.1.negative,rmst,27,8.14 (6.9 to 9.3),8.14,6.9 to 9.3,6.9,9.3,(6.9 to 9.3)
Male.Bladder.II.70-74.1.negative,rmst,27,8.06 (6.84 to 8.73),8.06,6.84 to 8.73,6.84,8.73,(6.84 to 8.73)
Female.Bladder.III.70-74.1.negative,rmst,27,7.59 (5.99 to 8.53),7.59,5.99 to 8.53,5.99,8.53,(5.99 to 8.53)
Male.Bladder.III.70-74.1.negative,rmst,27,7 (5.86 to 7.84),7,5.86 to 7.84,5.86,7.84,(5.86 to 7.84)
Female.Bladder.IV.70-74.1.negative,rmst,27,2.06 (1.69 to 2.69),2.06,1.69 to 2.69,1.69,2.69,(1.69 to 2.69)
Male.Bladder.IV.70-74.1.negative,rmst,27,2.05 (1.66 to 2.66),2.05,1.66 to 2.66,1.66,2.66,(1.66 to 2.66)
