characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Cervix.I.50-54.1.negative,rmst,47,30.68 (27.39 to 31.38),30.68,27.39 to 31.38,27.39,31.38,(27.39 to 31.38)
Female.Cervix.II.50-54.1.negative,rmst,47,14.05 (8.5 to 22.27),14.05,8.5 to 22.27,8.5,22.27,(8.5 to 22.27)
Female.Cervix.III.50-54.1.negative,rmst,47,5.9 (3.6 to 12.64),5.9,3.6 to 12.64,3.6,12.64,(3.6 to 12.64)
Female.Cervix.IV.50-54.1.negative,rmst,47,3.6 (2.4 to 7.51),3.6,2.4 to 7.51,2.4,7.51,(2.4 to 7.51)
Female.Cervix.I.55-59.1.negative,rmst,42,27.11 (26.33 to 27.11),27.11,26.33 to 27.11,26.33,27.11,(26.33 to 27.11)
Female.Cervix.II.55-59.1.negative,rmst,42,15.3 (10.14 to 21.4),15.3,10.14 to 21.4,10.14,21.4,(10.14 to 21.4)
Female.Cervix.III.55-59.1.negative,rmst,42,7.41 (4.39 to 14.62),7.41,4.39 to 14.62,4.39,14.62,(4.39 to 14.62)
Female.Cervix.IV.55-59.1.negative,rmst,42,2.43 (1.62 to 5.13),2.43,1.62 to 5.13,1.62,5.13,(1.62 to 5.13)
Female.Cervix.I.60-64.1.negative,rmst,37,21.29 (13.55 to 22.37),21.29,13.55 to 22.37,13.55,22.37,(13.55 to 22.37)
Female.Cervix.II.60-64.1.negative,rmst,37,14.58 (9.28 to 19.26),14.58,9.28 to 19.26,9.28,19.26,(9.28 to 19.26)
Female.Cervix.III.60-64.1.negative,rmst,37,5.95 (3.92 to 9.84),5.95,3.92 to 9.84,3.92,9.84,(3.92 to 9.84)
Female.Cervix.IV.60-64.1.negative,rmst,37,2.74 (1.99 to 5.03),2.74,1.99 to 5.03,1.99,5.03,(1.99 to 5.03)
Female.Cervix.I.65-69.1.negative,rmst,32,17.13 (13.69 to 18.57),17.13,13.69 to 18.57,13.69,18.57,(13.69 to 18.57)
Female.Cervix.II.65-69.1.negative,rmst,32,14.23 (10.47 to 16.16),14.23,10.47 to 16.16,10.47,16.16,(10.47 to 16.16)
Female.Cervix.III.65-69.1.negative,rmst,32,6.01 (3.71 to 10.36),6.01,3.71 to 10.36,3.71,10.36,(3.71 to 10.36)
Female.Cervix.IV.65-69.1.negative,rmst,32,2.45 (1.56 to 4.83),2.45,1.56 to 4.83,1.56,4.83,(1.56 to 4.83)
Female.Cervix.I.70-74.1.negative,rmst,27,14.6 (14.37 to 14.6),14.6,14.37 to 14.6,14.37,14.6,(14.37 to 14.6)
Female.Cervix.II.70-74.1.negative,rmst,27,5.63 (4.01 to 9.1),5.63,4.01 to 9.1,4.01,9.1,(4.01 to 9.1)
Female.Cervix.III.70-74.1.negative,rmst,27,3.79 (2.68 to 5.95),3.79,2.68 to 5.95,2.68,5.95,(2.68 to 5.95)
Female.Cervix.IV.70-74.1.negative,rmst,27,2.01 (1.27 to 3.59),2.01,1.27 to 3.59,1.27,3.59,(1.27 to 3.59)
Female.Cervix.I.75-79.1.negative,rmst,22,9.78 (7.84 to 10.99),9.78,7.84 to 10.99,7.84,10.99,(7.84 to 10.99)
Female.Cervix.II.75-79.1.negative,rmst,22,8.63 (6.24 to 9.89),8.63,6.24 to 9.89,6.24,9.89,(6.24 to 9.89)
Female.Cervix.III.75-79.1.negative,rmst,22,2.69 (1.75 to 4.72),2.69,1.75 to 4.72,1.75,4.72,(1.75 to 4.72)
Female.Cervix.IV.75-79.1.negative,rmst,22,1.48 (1.12 to 2.18),1.48,1.12 to 2.18,1.12,2.18,(1.12 to 2.18)
Female.Cervix.I.50-54.1.5.negative,rmst,47,31 (28.29 to 31.64),31,28.29 to 31.64,28.29,31.64,(28.29 to 31.64)
Female.Cervix.II.50-54.1.5.negative,rmst,47,18.6 (11.86 to 26),18.6,11.86 to 26,11.86,26,(11.86 to 26)
Female.Cervix.III.50-54.1.5.negative,rmst,47,7.03 (4.12 to 14.49),7.03,4.12 to 14.49,4.12,14.49,(4.12 to 14.49)
Female.Cervix.IV.50-54.1.5.negative,rmst,47,5.53 (3.43 to 12.26),5.53,3.43 to 12.26,3.43,12.26,(3.43 to 12.26)
Female.Cervix.I.55-59.1.5.negative,rmst,42,27.11 (25.64 to 27.11),27.11,25.64 to 27.11,25.64,27.11,(25.64 to 27.11)
Female.Cervix.II.55-59.1.5.negative,rmst,42,17.86 (10.5 to 23.99),17.86,10.5 to 23.99,10.5,23.99,(10.5 to 23.99)
Female.Cervix.III.55-59.1.5.negative,rmst,42,10.05 (5.6 to 18.07),10.05,5.6 to 18.07,5.6,18.07,(5.6 to 18.07)
Female.Cervix.IV.55-59.1.5.negative,rmst,42,3.86 (2.27 to 9.08),3.86,2.27 to 9.08,2.27,9.08,(2.27 to 9.08)
Female.Cervix.I.60-64.1.5.negative,rmst,37,21.49 (14.9 to 22.74),21.49,14.9 to 22.74,14.9,22.74,(14.9 to 22.74)
Female.Cervix.II.60-64.1.5.negative,rmst,37,17.86 (11.91 to 21.61),17.86,11.91 to 21.61,11.91,21.61,(11.91 to 21.61)
Female.Cervix.III.60-64.1.5.negative,rmst,37,9.09 (5.2 to 14.97),9.09,5.2 to 14.97,5.2,14.97,(5.2 to 14.97)
Female.Cervix.IV.60-64.1.5.negative,rmst,37,5.34 (3.2 to 9.71),5.34,3.2 to 9.71,3.2,9.71,(3.2 to 9.71)
Female.Cervix.I.65-69.1.5.negative,rmst,32,18.45 (14.87 to 18.57),18.45,14.87 to 18.57,14.87,18.57,(14.87 to 18.57)
Female.Cervix.II.65-69.1.5.negative,rmst,32,15.25 (11.27 to 17.23),15.25,11.27 to 17.23,11.27,17.23,(11.27 to 17.23)
Female.Cervix.III.65-69.1.5.negative,rmst,32,8.74 (4.96 to 13.59),8.74,4.96 to 13.59,4.96,13.59,(4.96 to 13.59)
Female.Cervix.IV.65-69.1.5.negative,rmst,32,4.04 (2.32 to 7.83),4.04,2.32 to 7.83,2.32,7.83,(2.32 to 7.83)
Female.Cervix.I.70-74.1.5.negative,rmst,27,14.6 (14.17 to 14.6),14.6,14.17 to 14.6,14.17,14.6,(14.17 to 14.6)
Female.Cervix.II.70-74.1.5.negative,rmst,27,9.09 (5.38 to 12.84),9.09,5.38 to 12.84,5.38,12.84,(5.38 to 12.84)
Female.Cervix.III.70-74.1.5.negative,rmst,27,5.35 (3.47 to 9.21),5.35,3.47 to 9.21,3.47,9.21,(3.47 to 9.21)
Female.Cervix.IV.70-74.1.5.negative,rmst,27,3.77 (2.13 to 5.85),3.77,2.13 to 5.85,2.13,5.85,(2.13 to 5.85)
Female.Cervix.I.75-79.1.5.negative,rmst,22,10.34 (8.83 to 11),10.34,8.83 to 11,8.83,11,(8.83 to 11)
Female.Cervix.II.75-79.1.5.negative,rmst,22,10.03 (8.22 to 11),10.03,8.22 to 11,8.22,11,(8.22 to 11)
Female.Cervix.III.75-79.1.5.negative,rmst,22,3.87 (2.24 to 6.45),3.87,2.24 to 6.45,2.24,6.45,(2.24 to 6.45)
Female.Cervix.IV.75-79.1.5.negative,rmst,22,2.22 (1.63 to 3.27),2.22,1.63 to 3.27,1.63,3.27,(1.63 to 3.27)
Female.Cervix.I.50-54.3.negative,rmst,47,31.64 (30.77 to 31.64),31.64,30.77 to 31.64,30.77,31.64,(30.77 to 31.64)
Female.Cervix.II.50-54.3.negative,rmst,47,25.19 (17.35 to 30.21),25.19,17.35 to 30.21,17.35,30.21,(17.35 to 30.21)
Female.Cervix.III.50-54.3.negative,rmst,47,15.11 (6.86 to 25.72),15.11,6.86 to 25.72,6.86,25.72,(6.86 to 25.72)
Female.Cervix.IV.50-54.3.negative,rmst,47,9.65 (5.73 to 20.22),9.65,5.73 to 20.22,5.73,20.22,(5.73 to 20.22)
Female.Cervix.I.55-59.3.negative,rmst,42,27.11 (26.9 to 27.11),27.11,26.9 to 27.11,26.9,27.11,(26.9 to 27.11)
Female.Cervix.II.55-59.3.negative,rmst,42,23.56 (16.64 to 27.11),23.56,16.64 to 27.11,16.64,27.11,(16.64 to 27.11)
Female.Cervix.III.55-59.3.negative,rmst,42,18.43 (9.94 to 24.89),18.43,9.94 to 24.89,9.94,24.89,(9.94 to 24.89)
Female.Cervix.IV.55-59.3.negative,rmst,42,6.64 (3.57 to 14.92),6.64,3.57 to 14.92,3.57,14.92,(3.57 to 14.92)
Female.Cervix.I.60-64.3.negative,rmst,37,22.74 (21.16 to 22.74),22.74,21.16 to 22.74,21.16,22.74,(21.16 to 22.74)
Female.Cervix.II.60-64.3.negative,rmst,37,22.74 (18.27 to 22.74),22.74,18.27 to 22.74,18.27,22.74,(18.27 to 22.74)
Female.Cervix.III.60-64.3.negative,rmst,37,14.72 (8 to 21.26),14.72,8 to 21.26,8,21.26,(8 to 21.26)
Female.Cervix.IV.60-64.3.negative,rmst,37,9.86 (5.47 to 15.75),9.86,5.47 to 15.75,5.47,15.75,(5.47 to 15.75)
Female.Cervix.I.65-69.3.negative,rmst,32,18.57 (17.9 to 18.57),18.57,17.9 to 18.57,17.9,18.57,(17.9 to 18.57)
Female.Cervix.II.65-69.3.negative,rmst,32,18.56 (15.95 to 18.57),18.56,15.95 to 18.57,15.95,18.57,(15.95 to 18.57)
Female.Cervix.III.65-69.3.negative,rmst,32,13.85 (8.16 to 17.59),13.85,8.16 to 17.59,8.16,17.59,(8.16 to 17.59)
Female.Cervix.IV.65-69.3.negative,rmst,32,7.27 (3.93 to 13.02),7.27,3.93 to 13.02,3.93,13.02,(3.93 to 13.02)
Female.Cervix.I.70-74.3.negative,rmst,27,14.6 (14.24 to 14.6),14.6,14.24 to 14.6,14.24,14.6,(14.24 to 14.6)
Female.Cervix.II.70-74.3.negative,rmst,27,14.6 (11.21 to 14.6),14.6,11.21 to 14.6,11.21,14.6,(11.21 to 14.6)
Female.Cervix.III.70-74.3.negative,rmst,27,11 (6.24 to 14.6),11,6.24 to 14.6,6.24,14.6,(6.24 to 14.6)
Female.Cervix.IV.70-74.3.negative,rmst,27,6.02 (3.36 to 9.47),6.02,3.36 to 9.47,3.36,9.47,(3.36 to 9.47)
Female.Cervix.I.75-79.3.negative,rmst,22,11 (10.09 to 11),11,10.09 to 11,10.09,11,(10.09 to 11)
Female.Cervix.II.75-79.3.negative,rmst,22,11 (10.57 to 11),11,10.57 to 11,10.57,11,(10.57 to 11)
Female.Cervix.III.75-79.3.negative,rmst,22,8.92 (4.52 to 11),8.92,4.52 to 11,4.52,11,(4.52 to 11)
Female.Cervix.IV.75-79.3.negative,rmst,22,4.44 (3.06 to 7.14),4.44,3.06 to 7.14,3.06,7.14,(3.06 to 7.14)
Female.Cervix.I.50-54.1.positive,rmst,47,30.67 (28.19 to 31.4),30.67,28.19 to 31.4,28.19,31.4,(28.19 to 31.4)
Female.Cervix.II.50-54.1.positive,rmst,47,13.95 (8.07 to 22.86),13.95,8.07 to 22.86,8.07,22.86,(8.07 to 22.86)
Female.Cervix.III.50-54.1.positive,rmst,47,5.82 (3.62 to 12.78),5.82,3.62 to 12.78,3.62,12.78,(3.62 to 12.78)
Female.Cervix.IV.50-54.1.positive,rmst,47,3.6 (2.37 to 7.59),3.6,2.37 to 7.59,2.37,7.59,(2.37 to 7.59)
Female.Cervix.I.55-59.1.positive,rmst,42,27.11 (25.53 to 27.11),27.11,25.53 to 27.11,25.53,27.11,(25.53 to 27.11)
Female.Cervix.II.55-59.1.positive,rmst,42,15.61 (9.47 to 21.83),15.61,9.47 to 21.83,9.47,21.83,(9.47 to 21.83)
Female.Cervix.III.55-59.1.positive,rmst,42,7.37 (4.41 to 14.39),7.37,4.41 to 14.39,4.41,14.39,(4.41 to 14.39)
Female.Cervix.IV.55-59.1.positive,rmst,42,2.36 (1.61 to 4.67),2.36,1.61 to 4.67,1.61,4.67,(1.61 to 4.67)
Female.Cervix.I.60-64.1.positive,rmst,37,21.32 (13.62 to 22.38),21.32,13.62 to 22.38,13.62,22.38,(13.62 to 22.38)
Female.Cervix.II.60-64.1.positive,rmst,37,14.61 (9.5 to 19.35),14.61,9.5 to 19.35,9.5,19.35,(9.5 to 19.35)
Female.Cervix.III.60-64.1.positive,rmst,37,5.97 (3.82 to 10.08),5.97,3.82 to 10.08,3.82,10.08,(3.82 to 10.08)
Female.Cervix.IV.60-64.1.positive,rmst,37,2.81 (1.92 to 5.08),2.81,1.92 to 5.08,1.92,5.08,(1.92 to 5.08)
Female.Cervix.I.65-69.1.positive,rmst,32,17.19 (13.76 to 18.57),17.19,13.76 to 18.57,13.76,18.57,(13.76 to 18.57)
Female.Cervix.II.65-69.1.positive,rmst,32,14.34 (10.45 to 16.12),14.34,10.45 to 16.12,10.45,16.12,(10.45 to 16.12)
Female.Cervix.III.65-69.1.positive,rmst,32,5.96 (3.63 to 10.34),5.96,3.63 to 10.34,3.63,10.34,(3.63 to 10.34)
Female.Cervix.IV.65-69.1.positive,rmst,32,2.44 (1.46 to 4.77),2.44,1.46 to 4.77,1.46,4.77,(1.46 to 4.77)
Female.Cervix.I.70-74.1.positive,rmst,27,14.6 (14.32 to 14.6),14.6,14.32 to 14.6,14.32,14.6,(14.32 to 14.6)
Female.Cervix.II.70-74.1.positive,rmst,27,5.71 (4.02 to 9.03),5.71,4.02 to 9.03,4.02,9.03,(4.02 to 9.03)
Female.Cervix.III.70-74.1.positive,rmst,27,3.78 (2.68 to 5.71),3.78,2.68 to 5.71,2.68,5.71,(2.68 to 5.71)
Female.Cervix.IV.70-74.1.positive,rmst,27,1.98 (1.24 to 3.57),1.98,1.24 to 3.57,1.24,3.57,(1.24 to 3.57)
Female.Cervix.I.75-79.1.positive,rmst,22,9.86 (7.83 to 11),9.86,7.83 to 11,7.83,11,(7.83 to 11)
Female.Cervix.II.75-79.1.positive,rmst,22,8.62 (6.29 to 10),8.62,6.29 to 10,6.29,10,(6.29 to 10)
Female.Cervix.III.75-79.1.positive,rmst,22,2.72 (1.7 to 4.8),2.72,1.7 to 4.8,1.7,4.8,(1.7 to 4.8)
Female.Cervix.IV.75-79.1.positive,rmst,22,1.48 (1.12 to 2.21),1.48,1.12 to 2.21,1.12,2.21,(1.12 to 2.21)
Female.Cervix.I.50-54.1.5.positive,rmst,47,30.42 (27.21 to 31.27),30.42,27.21 to 31.27,27.21,31.27,(27.21 to 31.27)
Female.Cervix.II.50-54.1.5.positive,rmst,47,14.2 (8.5 to 21.68),14.2,8.5 to 21.68,8.5,21.68,(8.5 to 21.68)
Female.Cervix.III.50-54.1.5.positive,rmst,47,5.78 (3.62 to 12.97),5.78,3.62 to 12.97,3.62,12.97,(3.62 to 12.97)
Female.Cervix.IV.50-54.1.5.positive,rmst,47,3.59 (2.41 to 7.27),3.59,2.41 to 7.27,2.41,7.27,(2.41 to 7.27)
Female.Cervix.I.55-59.1.5.positive,rmst,42,27.1 (24.82 to 27.11),27.1,24.82 to 27.11,24.82,27.11,(24.82 to 27.11)
Female.Cervix.II.55-59.1.5.positive,rmst,42,15.31 (9.79 to 21.61),15.31,9.79 to 21.61,9.79,21.61,(9.79 to 21.61)
Female.Cervix.III.55-59.1.5.positive,rmst,42,7.47 (4.1 to 14.35),7.47,4.1 to 14.35,4.1,14.35,(4.1 to 14.35)
Female.Cervix.IV.55-59.1.5.positive,rmst,42,2.38 (1.59 to 5.4),2.38,1.59 to 5.4,1.59,5.4,(1.59 to 5.4)
Female.Cervix.I.60-64.1.5.positive,rmst,37,17.37 (10.9 to 22.07),17.37,10.9 to 22.07,10.9,22.07,(10.9 to 22.07)
Female.Cervix.II.60-64.1.5.positive,rmst,37,14.5 (9.98 to 19.25),14.5,9.98 to 19.25,9.98,19.25,(9.98 to 19.25)
Female.Cervix.III.60-64.1.5.positive,rmst,37,5.97 (3.91 to 9.9),5.97,3.91 to 9.9,3.91,9.9,(3.91 to 9.9)
Female.Cervix.IV.60-64.1.5.positive,rmst,37,2.82 (2.01 to 4.94),2.82,2.01 to 4.94,2.01,4.94,(2.01 to 4.94)
Female.Cervix.I.65-69.1.5.positive,rmst,32,16.77 (13.76 to 18.14),16.77,13.76 to 18.14,13.76,18.14,(13.76 to 18.14)
Female.Cervix.II.65-69.1.5.positive,rmst,32,14.42 (10.73 to 16.35),14.42,10.73 to 16.35,10.73,16.35,(10.73 to 16.35)
Female.Cervix.III.65-69.1.5.positive,rmst,32,5.98 (3.67 to 10.11),5.98,3.67 to 10.11,3.67,10.11,(3.67 to 10.11)
Female.Cervix.IV.65-69.1.5.positive,rmst,32,2.47 (1.53 to 4.91),2.47,1.53 to 4.91,1.53,4.91,(1.53 to 4.91)
Female.Cervix.I.70-74.1.5.positive,rmst,27,14.6 (14.33 to 14.6),14.6,14.33 to 14.6,14.33,14.6,(14.33 to 14.6)
Female.Cervix.II.70-74.1.5.positive,rmst,27,5.73 (4.05 to 8.87),5.73,4.05 to 8.87,4.05,8.87,(4.05 to 8.87)
Female.Cervix.III.70-74.1.5.positive,rmst,27,3.83 (2.7 to 6.29),3.83,2.7 to 6.29,2.7,6.29,(2.7 to 6.29)
Female.Cervix.IV.70-74.1.5.positive,rmst,27,1.97 (1.26 to 3.55),1.97,1.26 to 3.55,1.26,3.55,(1.26 to 3.55)
Female.Cervix.I.75-79.1.5.positive,rmst,22,9.6 (7.42 to 10.56),9.6,7.42 to 10.56,7.42,10.56,(7.42 to 10.56)
Female.Cervix.II.75-79.1.5.positive,rmst,22,8.76 (6.48 to 9.96),8.76,6.48 to 9.96,6.48,9.96,(6.48 to 9.96)
Female.Cervix.III.75-79.1.5.positive,rmst,22,2.7 (1.75 to 5.19),2.7,1.75 to 5.19,1.75,5.19,(1.75 to 5.19)
Female.Cervix.IV.75-79.1.5.positive,rmst,22,1.49 (1.11 to 2.1),1.49,1.11 to 2.1,1.11,2.1,(1.11 to 2.1)
Female.Cervix.I.50-54.3.positive,rmst,47,30.15 (27.46 to 31.03),30.15,27.46 to 31.03,27.46,31.03,(27.46 to 31.03)
Female.Cervix.II.50-54.3.positive,rmst,47,14.26 (8.49 to 22.27),14.26,8.49 to 22.27,8.49,22.27,(8.49 to 22.27)
Female.Cervix.III.50-54.3.positive,rmst,47,5.67 (3.44 to 12.54),5.67,3.44 to 12.54,3.44,12.54,(3.44 to 12.54)
Female.Cervix.IV.50-54.3.positive,rmst,47,3.64 (2.42 to 8.51),3.64,2.42 to 8.51,2.42,8.51,(2.42 to 8.51)
Female.Cervix.I.55-59.3.positive,rmst,42,26.72 (23.9 to 27.11),26.72,23.9 to 27.11,23.9,27.11,(23.9 to 27.11)
Female.Cervix.II.55-59.3.positive,rmst,42,15.28 (10.02 to 21.57),15.28,10.02 to 21.57,10.02,21.57,(10.02 to 21.57)
Female.Cervix.III.55-59.3.positive,rmst,42,7.39 (4.24 to 14.52),7.39,4.24 to 14.52,4.24,14.52,(4.24 to 14.52)
Female.Cervix.IV.55-59.3.positive,rmst,42,2.41 (1.6 to 4.63),2.41,1.6 to 4.63,1.6,4.63,(1.6 to 4.63)
Female.Cervix.I.60-64.3.positive,rmst,37,15.88 (8.44 to 21.78),15.88,8.44 to 21.78,8.44,21.78,(8.44 to 21.78)
Female.Cervix.II.60-64.3.positive,rmst,37,14.56 (9.29 to 19.34),14.56,9.29 to 19.34,9.29,19.34,(9.29 to 19.34)
Female.Cervix.III.60-64.3.positive,rmst,37,5.92 (3.83 to 9.95),5.92,3.83 to 9.95,3.83,9.95,(3.83 to 9.95)
Female.Cervix.IV.60-64.3.positive,rmst,37,2.8 (1.93 to 4.99),2.8,1.93 to 4.99,1.93,4.99,(1.93 to 4.99)
Female.Cervix.I.65-69.3.positive,rmst,32,15.73 (11.54 to 17.64),15.73,11.54 to 17.64,11.54,17.64,(11.54 to 17.64)
Female.Cervix.II.65-69.3.positive,rmst,32,14.47 (10.6 to 16.28),14.47,10.6 to 16.28,10.6,16.28,(10.6 to 16.28)
Female.Cervix.III.65-69.3.positive,rmst,32,6.06 (3.72 to 10.36),6.06,3.72 to 10.36,3.72,10.36,(3.72 to 10.36)
Female.Cervix.IV.65-69.3.positive,rmst,32,2.53 (1.54 to 4.85),2.53,1.54 to 4.85,1.54,4.85,(1.54 to 4.85)
Female.Cervix.I.70-74.3.positive,rmst,27,14.6 (14.34 to 14.6),14.6,14.34 to 14.6,14.34,14.6,(14.34 to 14.6)
Female.Cervix.II.70-74.3.positive,rmst,27,5.64 (3.97 to 9),5.64,3.97 to 9,3.97,9,(3.97 to 9)
Female.Cervix.III.70-74.3.positive,rmst,27,3.78 (2.72 to 5.82),3.78,2.72 to 5.82,2.72,5.82,(2.72 to 5.82)
Female.Cervix.IV.70-74.3.positive,rmst,27,1.96 (1.23 to 3.33),1.96,1.23 to 3.33,1.23,3.33,(1.23 to 3.33)
Female.Cervix.I.75-79.3.positive,rmst,22,9.33 (7.51 to 10.35),9.33,7.51 to 10.35,7.51,10.35,(7.51 to 10.35)
Female.Cervix.II.75-79.3.positive,rmst,22,8.68 (6.31 to 10.05),8.68,6.31 to 10.05,6.31,10.05,(6.31 to 10.05)
Female.Cervix.III.75-79.3.positive,rmst,22,2.7 (1.79 to 4.75),2.7,1.79 to 4.75,1.79,4.75,(1.79 to 4.75)
Female.Cervix.IV.75-79.3.positive,rmst,22,1.47 (1.13 to 2.13),1.47,1.13 to 2.13,1.13,2.13,(1.13 to 2.13)
