characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Colon/Rectum.I.50-54.1.negative,rmst,47,30.79 (27.89 to 31.42),30.79,27.89 to 31.42,27.89,31.42,(27.89 to 31.42)
Male.Colon/Rectum.I.50-54.1.negative,rmst,47,28.52 (26.78 to 28.8),28.52,26.78 to 28.8,26.78,28.8,(26.78 to 28.8)
Female.Colon/Rectum.II.50-54.1.negative,rmst,47,22.3 (17.92 to 25.9),22.3,17.92 to 25.9,17.92,25.9,(17.92 to 25.9)
Male.Colon/Rectum.II.50-54.1.negative,rmst,47,21.36 (17.42 to 24.85),21.36,17.42 to 24.85,17.42,24.85,(17.42 to 24.85)
Female.Colon/Rectum.III.50-54.1.negative,rmst,47,17.52 (14.71 to 20.67),17.52,14.71 to 20.67,14.71,20.67,(14.71 to 20.67)
Male.Colon/Rectum.III.50-54.1.negative,rmst,47,17.11 (14.29 to 19.71),17.11,14.29 to 19.71,14.29,19.71,(14.29 to 19.71)
Female.Colon/Rectum.IV.50-54.1.negative,rmst,47,3.05 (2.56 to 4.02),3.05,2.56 to 4.02,2.56,4.02,(2.56 to 4.02)
Male.Colon/Rectum.IV.50-54.1.negative,rmst,47,3.03 (2.57 to 3.89),3.03,2.57 to 3.89,2.57,3.89,(2.57 to 3.89)
Female.Colon/Rectum.I.55-59.1.negative,rmst,42,27.11 (23.09 to 27.11),27.11,23.09 to 27.11,23.09,27.11,(23.09 to 27.11)
Male.Colon/Rectum.I.55-59.1.negative,rmst,42,24.46 (24.35 to 24.46),24.46,24.35 to 24.46,24.35,24.46,(24.35 to 24.46)
Female.Colon/Rectum.II.55-59.1.negative,rmst,42,21.43 (19.16 to 23.66),21.43,19.16 to 23.66,19.16,23.66,(19.16 to 23.66)
Male.Colon/Rectum.II.55-59.1.negative,rmst,42,20.45 (18.14 to 22.53),20.45,18.14 to 22.53,18.14,22.53,(18.14 to 22.53)
Female.Colon/Rectum.III.55-59.1.negative,rmst,42,14.7 (12.5 to 16.95),14.7,12.5 to 16.95,12.5,16.95,(12.5 to 16.95)
Male.Colon/Rectum.III.55-59.1.negative,rmst,42,14.29 (12.67 to 16.38),14.29,12.67 to 16.38,12.67,16.38,(12.67 to 16.38)
Female.Colon/Rectum.IV.55-59.1.negative,rmst,42,2.44 (2.25 to 2.73),2.44,2.25 to 2.73,2.25,2.73,(2.25 to 2.73)
Male.Colon/Rectum.IV.55-59.1.negative,rmst,42,2.43 (2.24 to 2.75),2.43,2.24 to 2.75,2.24,2.75,(2.24 to 2.75)
Female.Colon/Rectum.I.60-64.1.negative,rmst,37,22.74 (22.61 to 22.74),22.74,22.61 to 22.74,22.61,22.74,(22.61 to 22.74)
Male.Colon/Rectum.I.60-64.1.negative,rmst,37,20.32 (20.29 to 20.32),20.32,20.29 to 20.32,20.29,20.32,(20.29 to 20.32)
