characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Esophagus.I.50-54.1.negative,rmst,47,18.22 (10.32 to 27.1),18.22,10.32 to 27.1,10.32,27.1,(10.32 to 27.1)
Male.Esophagus.I.50-54.1.negative,rmst,47,17.27 (10.02 to 24.14),17.27,10.02 to 24.14,10.02,24.14,(10.02 to 24.14)
Female.Esophagus.II.50-54.1.negative,rmst,47,8.55 (4.87 to 15.19),8.55,4.87 to 15.19,4.87,15.19,(4.87 to 15.19)
Male.Esophagus.II.50-54.1.negative,rmst,47,8.26 (5.18 to 14.44),8.26,5.18 to 14.44,5.18,14.44,(5.18 to 14.44)
Female.Esophagus.III.50-54.1.negative,rmst,47,4.09 (3.08 to 6.42),4.09,3.08 to 6.42,3.08,6.42,(3.08 to 6.42)
Male.Esophagus.III.50-54.1.negative,rmst,47,3.98 (3.11 to 6.61),3.98,3.11 to 6.61,3.11,6.61,(3.11 to 6.61)
Female.Esophagus.IV.50-54.1.negative,rmst,47,1.22 (0.95 to 1.99),1.22,0.95 to 1.99,0.95,1.99,(0.95 to 1.99)
Male.Esophagus.IV.50-54.1.negative,rmst,47,1.22 (0.94 to 1.96),1.22,0.94 to 1.96,0.94,1.96,(0.94 to 1.96)
Female.Esophagus.I.55-59.1.negative,rmst,42,11 (8.17 to 15.46),11,8.17 to 15.46,8.17,15.46,(8.17 to 15.46)
Male.Esophagus.I.55-59.1.negative,rmst,42,10.8 (7.99 to 15.7),10.8,7.99 to 15.7,7.99,15.7,(7.99 to 15.7)
Female.Esophagus.II.55-59.1.negative,rmst,42,7.38 (5.35 to 10.82),7.38,5.35 to 10.82,5.35,10.82,(5.35 to 10.82)
Male.Esophagus.II.55-59.1.negative,rmst,42,7.3 (5.2 to 10.75),7.3,5.2 to 10.75,5.2,10.75,(5.2 to 10.75)
Female.Esophagus.III.55-59.1.negative,rmst,42,3.9 (2.95 to 6.02),3.9,2.95 to 6.02,2.95,6.02,(2.95 to 6.02)
Male.Esophagus.III.55-59.1.negative,rmst,42,3.88 (3 to 5.58),3.88,3 to 5.58,3,5.58,(3 to 5.58)
Female.Esophagus.IV.55-59.1.negative,rmst,42,1.17 (0.98 to 1.63),1.17,0.98 to 1.63,0.98,1.63,(0.98 to 1.63)
Male.Esophagus.IV.55-59.1.negative,rmst,42,1.16 (0.99 to 1.52),1.16,0.99 to 1.52,0.99,1.52,(0.99 to 1.52)
Female.Esophagus.I.60-64.1.negative,rmst,37,9.98 (7.62 to 13.05),9.98,7.62 to 13.05,7.62,13.05,(7.62 to 13.05)
Male.Esophagus.I.60-64.1.negative,rmst,37,9.73 (7.34 to 12.77),9.73,7.34 to 12.77,7.34,12.77,(7.34 to 12.77)
Female.Esophagus.II.60-64.1.negative,rmst,37,7.72 (5.48 to 10.77),7.72,5.48 to 10.77,5.48,10.77,(5.48 to 10.77)
Male.Esophagus.II.60-64.1.negative,rmst,37,7.52 (5.28 to 10.42),7.52,5.28 to 10.42,5.28,10.42,(5.28 to 10.42)
Female.Esophagus.III.60-64.1.negative,rmst,37,4.04 (3.15 to 5.52),4.04,3.15 to 5.52,3.15,5.52,(3.15 to 5.52)
Male.Esophagus.III.60-64.1.negative,rmst,37,4.01 (3.15 to 5.37),4.01,3.15 to 5.37,3.15,5.37,(3.15 to 5.37)
Female.Esophagus.IV.60-64.1.negative,rmst,37,1.3 (1.02 to 1.87),1.3,1.02 to 1.87,1.02,1.87,(1.02 to 1.87)
Male.Esophagus.IV.60-64.1.negative,rmst,37,1.28 (1.03 to 1.8),1.28,1.03 to 1.8,1.03,1.8,(1.03 to 1.8)
Female.Esophagus.I.65-69.1.negative,rmst,32,9.03 (6.84 to 11.33),9.03,6.84 to 11.33,6.84,11.33,(6.84 to 11.33)
Male.Esophagus.I.65-69.1.negative,rmst,32,8.78 (6.48 to 11.26),8.78,6.48 to 11.26,6.48,11.26,(6.48 to 11.26)
Female.Esophagus.II.65-69.1.negative,rmst,32,5.81 (4.57 to 7.63),5.81,4.57 to 7.63,4.57,7.63,(4.57 to 7.63)
Male.Esophagus.II.65-69.1.negative,rmst,32,5.81 (4.53 to 7.32),5.81,4.53 to 7.32,4.53,7.32,(4.53 to 7.32)
Female.Esophagus.III.65-69.1.negative,rmst,32,4.72 (3.62 to 5.75),4.72,3.62 to 5.75,3.62,5.75,(3.62 to 5.75)
Male.Esophagus.III.65-69.1.negative,rmst,32,4.54 (3.46 to 5.37),4.54,3.46 to 5.37,3.46,5.37,(3.46 to 5.37)
Female.Esophagus.IV.65-69.1.negative,rmst,32,1.19 (0.92 to 1.53),1.19,0.92 to 1.53,0.92,1.53,(0.92 to 1.53)
Male.Esophagus.IV.65-69.1.negative,rmst,32,1.2 (0.94 to 1.47),1.2,0.94 to 1.47,0.94,1.47,(0.94 to 1.47)
Female.Esophagus.I.70-74.1.negative,rmst,27,8.42 (6.6 to 10.16),8.42,6.6 to 10.16,6.6,10.16,(6.6 to 10.16)
Male.Esophagus.I.70-74.1.negative,rmst,27,8.05 (6.2 to 9.16),8.05,6.2 to 9.16,6.2,9.16,(6.2 to 9.16)
Female.Esophagus.II.70-74.1.negative,rmst,27,5.26 (4.31 to 6.66),5.26,4.31 to 6.66,4.31,6.66,(4.31 to 6.66)
Male.Esophagus.II.70-74.1.negative,rmst,27,5.31 (4.26 to 6.43),5.31,4.26 to 6.43,4.26,6.43,(4.26 to 6.43)
Female.Esophagus.III.70-74.1.negative,rmst,27,3.08 (2.61 to 3.77),3.08,2.61 to 3.77,2.61,3.77,(2.61 to 3.77)
