characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Gallbladder.I.50-54.1.negative,rmst,47,12.06 (5.48 to 24.29),12.06,5.48 to 24.29,5.48,24.29,(5.48 to 24.29)
Male.Gallbladder.I.50-54.1.negative,rmst,47,12.33 (5.35 to 23.32),12.33,5.35 to 23.32,5.35,23.32,(5.35 to 23.32)
Female.Gallbladder.II.50-54.1.negative,rmst,47,5.88 (3.51 to 15.2),5.88,3.51 to 15.2,3.51,15.2,(3.51 to 15.2)
Male.Gallbladder.II.50-54.1.negative,rmst,47,5.7 (3.33 to 14.05),5.7,3.33 to 14.05,3.33,14.05,(3.33 to 14.05)
Female.Gallbladder.III.50-54.1.negative,rmst,47,3.08 (2.21 to 5.28),3.08,2.21 to 5.28,2.21,5.28,(2.21 to 5.28)
Male.Gallbladder.III.50-54.1.negative,rmst,47,3.09 (2.21 to 5.63),3.09,2.21 to 5.63,2.21,5.63,(2.21 to 5.63)
Female.Gallbladder.IV.50-54.1.negative,rmst,47,1.01 (0.78 to 1.63),1.01,0.78 to 1.63,0.78,1.63,(0.78 to 1.63)
Male.Gallbladder.IV.50-54.1.negative,rmst,47,1.01 (0.79 to 1.57),1.01,0.79 to 1.57,0.79,1.57,(0.79 to 1.57)
Female.Gallbladder.I.55-59.1.negative,rmst,42,9.35 (4.41 to 19.59),9.35,4.41 to 19.59,4.41,19.59,(4.41 to 19.59)
Male.Gallbladder.I.55-59.1.negative,rmst,42,9.27 (4.25 to 18.62),9.27,4.25 to 18.62,4.25,18.62,(4.25 to 18.62)
Female.Gallbladder.II.55-59.1.negative,rmst,42,5.6 (3.93 to 9.32),5.6,3.93 to 9.32,3.93,9.32,(3.93 to 9.32)
Male.Gallbladder.II.55-59.1.negative,rmst,42,5.66 (3.8 to 9.34),5.66,3.8 to 9.34,3.8,9.34,(3.8 to 9.34)
Female.Gallbladder.III.55-59.1.negative,rmst,42,3.3 (2.15 to 6.99),3.3,2.15 to 6.99,2.15,6.99,(2.15 to 6.99)
Male.Gallbladder.III.55-59.1.negative,rmst,42,3.28 (2.24 to 7.03),3.28,2.24 to 7.03,2.24,7.03,(2.24 to 7.03)
Female.Gallbladder.IV.55-59.1.negative,rmst,42,1.21 (0.85 to 2.16),1.21,0.85 to 2.16,0.85,2.16,(0.85 to 2.16)
Male.Gallbladder.IV.55-59.1.negative,rmst,42,1.22 (0.85 to 2.15),1.22,0.85 to 2.15,0.85,2.15,(0.85 to 2.15)
Female.Gallbladder.I.60-64.1.negative,rmst,37,14.38 (8.32 to 19.59),14.38,8.32 to 19.59,8.32,19.59,(8.32 to 19.59)
