characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Head and Neck.I.50-54.1.negative,rmst,47,19.25 (13.19 to 24.96),19.25,13.19 to 24.96,13.19,24.96,(13.19 to 24.96)
Male.Head and Neck.I.50-54.1.negative,rmst,47,18.34 (13.15 to 23.64),18.34,13.15 to 23.64,13.15,23.64,(13.15 to 23.64)
Female.Head and Neck.II.50-54.1.negative,rmst,47,25.5 (19.68 to 28.44),25.5,19.68 to 28.44,19.68,28.44,(19.68 to 28.44)
Male.Head and Neck.II.50-54.1.negative,rmst,47,23.73 (18.9 to 26.09),23.73,18.9 to 26.09,18.9,26.09,(18.9 to 26.09)
Female.Head and Neck.III.50-54.1.negative,rmst,47,15.18 (11.33 to 19.8),15.18,11.33 to 19.8,11.33,19.8,(11.33 to 19.8)
Male.Head and Neck.III.50-54.1.negative,rmst,47,14.82 (11.31 to 19.31),14.82,11.31 to 19.31,11.31,19.31,(11.31 to 19.31)
Female.Head and Neck.IV.50-54.1.negative,rmst,47,14.56 (11.66 to 17.24),14.56,11.66 to 17.24,11.66,17.24,(11.66 to 17.24)
Male.Head and Neck.IV.50-54.1.negative,rmst,47,13.93 (11.34 to 16.74),13.93,11.34 to 16.74,11.34,16.74,(11.34 to 16.74)
Female.Head and Neck.I.55-59.1.negative,rmst,42,19.13 (14.47 to 25.15),19.13,14.47 to 25.15,14.47,25.15,(14.47 to 25.15)
Male.Head and Neck.I.55-59.1.negative,rmst,42,20.22 (15.21 to 23.24),20.22,15.21 to 23.24,15.21,23.24,(15.21 to 23.24)
Female.Head and Neck.II.55-59.1.negative,rmst,42,15.08 (11.15 to 19.13),15.08,11.15 to 19.13,11.15,19.13,(11.15 to 19.13)
Male.Head and Neck.II.55-59.1.negative,rmst,42,14.66 (10.84 to 18.52),14.66,10.84 to 18.52,10.84,18.52,(10.84 to 18.52)
Female.Head and Neck.III.55-59.1.negative,rmst,42,13.7 (10.34 to 17.76),13.7,10.34 to 17.76,10.34,17.76,(10.34 to 17.76)
