characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Kidney.I.50-54.1.negative,rmst,47,29.76 (26.78 to 31.37),29.76,26.78 to 31.37,26.78,31.37,(26.78 to 31.37)
Male.Kidney.I.50-54.1.negative,rmst,47,28.8 (26.52 to 28.8),28.8,26.52 to 28.8,26.52,28.8,(26.52 to 28.8)
Female.Kidney.II.50-54.1.negative,rmst,47,25.59 (16.16 to 30.52),25.59,16.16 to 30.52,16.16,30.52,(16.16 to 30.52)
Male.Kidney.II.50-54.1.negative,rmst,47,25.37 (16.92 to 28.73),25.37,16.92 to 28.73,16.92,28.73,(16.92 to 28.73)
Female.Kidney.III.50-54.1.negative,rmst,47,17.58 (12.97 to 22.24),17.58,12.97 to 22.24,12.97,22.24,(12.97 to 22.24)
Male.Kidney.III.50-54.1.negative,rmst,47,16.97 (12.42 to 21.38),16.97,12.42 to 21.38,12.42,21.38,(12.42 to 21.38)
Female.Kidney.IV.50-54.1.negative,rmst,47,3.86 (2.74 to 6.34),3.86,2.74 to 6.34,2.74,6.34,(2.74 to 6.34)
Male.Kidney.IV.50-54.1.negative,rmst,47,3.88 (2.71 to 6.17),3.88,2.71 to 6.17,2.71,6.17,(2.71 to 6.17)
Female.Kidney.I.55-59.1.negative,rmst,42,26.72 (22.92 to 27.11),26.72,22.92 to 27.11,22.92,27.11,(22.92 to 27.11)
Male.Kidney.I.55-59.1.negative,rmst,42,24.46 (23.93 to 24.46),24.46,23.93 to 24.46,23.93,24.46,(23.93 to 24.46)
Female.Kidney.II.55-59.1.negative,rmst,42,25.55 (20.67 to 27.11),25.55,20.67 to 27.11,20.67,27.11,(20.67 to 27.11)
Male.Kidney.II.55-59.1.negative,rmst,42,24.38 (21.3 to 24.46),24.38,21.3 to 24.46,21.3,24.46,(21.3 to 24.46)
Female.Kidney.III.55-59.1.negative,rmst,42,15.92 (13.03 to 19.67),15.92,13.03 to 19.67,13.03,19.67,(13.03 to 19.67)
Male.Kidney.III.55-59.1.negative,rmst,42,15.29 (12.56 to 18.85),15.29,12.56 to 18.85,12.56,18.85,(12.56 to 18.85)
Female.Kidney.IV.55-59.1.negative,rmst,42,2.75 (2.23 to 4.03),2.75,2.23 to 4.03,2.23,4.03,(2.23 to 4.03)
Male.Kidney.IV.55-59.1.negative,rmst,42,2.75 (2.23 to 4.19),2.75,2.23 to 4.19,2.23,4.19,(2.23 to 4.19)
Female.Kidney.I.60-64.1.negative,rmst,37,22.08 (20.04 to 22.74),22.08,20.04 to 22.74,20.04,22.74,(20.04 to 22.74)
Male.Kidney.I.60-64.1.negative,rmst,37,20.32 (20.13 to 20.32),20.32,20.13 to 20.32,20.13,20.32,(20.13 to 20.32)
Female.Kidney.II.60-64.1.negative,rmst,37,20.57 (17.48 to 22.31),20.57,17.48 to 22.31,17.48,22.31,(17.48 to 22.31)
Male.Kidney.II.60-64.1.negative,rmst,37,20.15 (17.59 to 20.32),20.15,17.59 to 20.32,17.59,20.32,(17.59 to 20.32)
Female.Kidney.III.60-64.1.negative,rmst,37,15.99 (13.11 to 18.9),15.99,13.11 to 18.9,13.11,18.9,(13.11 to 18.9)
Male.Kidney.III.60-64.1.negative,rmst,37,15.41 (12.79 to 17.67),15.41,12.79 to 17.67,12.79,17.67,(12.79 to 17.67)
Female.Kidney.IV.60-64.1.negative,rmst,37,2.57 (2.17 to 3.27),2.57,2.17 to 3.27,2.17,3.27,(2.17 to 3.27)
Male.Kidney.IV.60-64.1.negative,rmst,37,2.56 (2.19 to 3.2),2.56,2.19 to 3.2,2.19,3.2,(2.19 to 3.2)
Female.Kidney.I.65-69.1.negative,rmst,32,18.28 (17.46 to 18.52),18.28,17.46 to 18.52,17.46,18.52,(17.46 to 18.52)
Male.Kidney.I.65-69.1.negative,rmst,32,16.43 (16.33 to 16.43),16.43,16.33 to 16.43,16.33,16.43,(16.33 to 16.43)
Female.Kidney.II.65-69.1.negative,rmst,32,16.43 (13.67 to 17.49),16.43,13.67 to 17.49,13.67,17.49,(13.67 to 17.49)
Male.Kidney.II.65-69.1.negative,rmst,32,15.19 (13.5 to 15.88),15.19,13.5 to 15.88,13.5,15.88,(13.5 to 15.88)
Female.Kidney.III.65-69.1.negative,rmst,32,13.2 (11.49 to 14.88),13.2,11.49 to 14.88,11.49,14.88,(11.49 to 14.88)
Male.Kidney.III.65-69.1.negative,rmst,32,12.74 (11.27 to 14.22),12.74,11.27 to 14.22,11.27,14.22,(11.27 to 14.22)
Female.Kidney.IV.65-69.1.negative,rmst,32,2.43 (1.98 to 3.19),2.43,1.98 to 3.19,1.98,3.19,(1.98 to 3.19)
Male.Kidney.IV.65-69.1.negative,rmst,32,2.39 (1.99 to 3.16),2.39,1.99 to 3.16,1.99,3.16,(1.99 to 3.16)
Female.Kidney.I.70-74.1.negative,rmst,27,14.6 (14.33 to 14.6),14.6,14.33 to 14.6,14.33,14.6,(14.33 to 14.6)
Male.Kidney.I.70-74.1.negative,rmst,27,12.8 (12.78 to 12.8),12.8,12.78 to 12.8,12.78,12.8,(12.78 to 12.8)
Female.Kidney.II.70-74.1.negative,rmst,27,13.53 (11.67 to 14.14),13.53,11.67 to 14.14,11.67,14.14,(11.67 to 14.14)
Male.Kidney.II.70-74.1.negative,rmst,27,12.28 (11.22 to 12.62),12.28,11.22 to 12.62,11.22,12.62,(11.22 to 12.62)
Female.Kidney.III.70-74.1.negative,rmst,27,11.75 (10.04 to 12.93),11.75,10.04 to 12.93,10.04,12.93,(10.04 to 12.93)
Male.Kidney.III.70-74.1.negative,rmst,27,11.36 (10.03 to 12.05),11.36,10.03 to 12.05,10.03,12.05,(10.03 to 12.05)
Female.Kidney.IV.70-74.1.negative,rmst,27,2.09 (1.7 to 2.85),2.09,1.7 to 2.85,1.7,2.85,(1.7 to 2.85)
Male.Kidney.IV.70-74.1.negative,rmst,27,2.14 (1.66 to 2.8),2.14,1.66 to 2.8,1.66,2.8,(1.66 to 2.8)
Female.Kidney.I.75-79.1.negative,rmst,22,10.93 (10.79 to 11),10.93,10.79 to 11,10.79,11,(10.79 to 11)
Male.Kidney.I.75-79.1.negative,rmst,22,9.59 (9.55 to 9.59),9.59,9.55 to 9.59,9.55,9.59,(9.55 to 9.59)
Female.Kidney.II.75-79.1.negative,rmst,22,9.85 (8.41 to 10.64),9.85,8.41 to 10.64,8.41,10.64,(8.41 to 10.64)
Male.Kidney.II.75-79.1.negative,rmst,22,9.01 (8.51 to 9.59),9.01,8.51 to 9.59,8.51,9.59,(8.51 to 9.59)
Female.Kidney.III.75-79.1.negative,rmst,22,9.82 (8.84 to 10.27),9.82,8.84 to 10.27,8.84,10.27,(8.84 to 10.27)
Male.Kidney.III.75-79.1.negative,rmst,22,9.08 (8.6 to 9.28),9.08,8.6 to 9.28,8.6,9.28,(8.6 to 9.28)
Female.Kidney.IV.75-79.1.negative,rmst,22,1.69 (1.47 to 2.01),1.69,1.47 to 2.01,1.47,2.01,(1.47 to 2.01)
Male.Kidney.IV.75-79.1.negative,rmst,22,1.67 (1.45 to 2.06),1.67,1.45 to 2.06,1.45,2.06,(1.45 to 2.06)
Female.Kidney.I.50-54.1.5.negative,rmst,47,29.33 (25.57 to 31.31),29.33,25.57 to 31.31,25.57,31.31,(25.57 to 31.31)
Male.Kidney.I.50-54.1.5.negative,rmst,47,28.8 (26.18 to 28.8),28.8,26.18 to 28.8,26.18,28.8,(26.18 to 28.8)
Female.Kidney.II.50-54.1.5.negative,rmst,47,26.04 (16.3 to 30.67),26.04,16.3 to 30.67,16.3,30.67,(16.3 to 30.67)
Male.Kidney.II.50-54.1.5.negative,rmst,47,25.75 (17.11 to 28.8),25.75,17.11 to 28.8,17.11,28.8,(17.11 to 28.8)
Female.Kidney.III.50-54.1.5.negative,rmst,47,18.08 (12.7 to 22.37),18.08,12.7 to 22.37,12.7,22.37,(12.7 to 22.37)
Male.Kidney.III.50-54.1.5.negative,rmst,47,17.32 (12.79 to 21.56),17.32,12.79 to 21.56,12.79,21.56,(12.79 to 21.56)
Female.Kidney.IV.50-54.1.5.negative,rmst,47,4.93 (3.34 to 8.29),4.93,3.34 to 8.29,3.34,8.29,(3.34 to 8.29)
Male.Kidney.IV.50-54.1.5.negative,rmst,47,4.85 (3.42 to 8),4.85,3.42 to 8,3.42,8,(3.42 to 8)
Female.Kidney.I.55-59.1.5.negative,rmst,42,26.82 (22.89 to 27.11),26.82,22.89 to 27.11,22.89,27.11,(22.89 to 27.11)
Male.Kidney.I.55-59.1.5.negative,rmst,42,24.46 (23.55 to 24.46),24.46,23.55 to 24.46,23.55,24.46,(23.55 to 24.46)
Female.Kidney.II.55-59.1.5.negative,rmst,42,26.51 (22.83 to 27.11),26.51,22.83 to 27.11,22.83,27.11,(22.83 to 27.11)
Male.Kidney.II.55-59.1.5.negative,rmst,42,24.46 (22.98 to 24.46),24.46,22.98 to 24.46,22.98,24.46,(22.98 to 24.46)
Female.Kidney.III.55-59.1.5.negative,rmst,42,16.72 (13.67 to 21.13),16.72,13.67 to 21.13,13.67,21.13,(13.67 to 21.13)
Male.Kidney.III.55-59.1.5.negative,rmst,42,16.08 (13.15 to 19.49),16.08,13.15 to 19.49,13.15,19.49,(13.15 to 19.49)
Female.Kidney.IV.55-59.1.5.negative,rmst,42,3.53 (2.75 to 5.71),3.53,2.75 to 5.71,2.75,5.71,(2.75 to 5.71)
Male.Kidney.IV.55-59.1.5.negative,rmst,42,3.5 (2.79 to 5.23),3.5,2.79 to 5.23,2.79,5.23,(2.79 to 5.23)
Female.Kidney.I.60-64.1.5.negative,rmst,37,22.07 (19.95 to 22.67),22.07,19.95 to 22.67,19.95,22.67,(19.95 to 22.67)
Male.Kidney.I.60-64.1.5.negative,rmst,37,20.32 (19.91 to 20.32),20.32,19.91 to 20.32,19.91,20.32,(19.91 to 20.32)
Female.Kidney.II.60-64.1.5.negative,rmst,37,21.76 (17.48 to 22.74),21.76,17.48 to 22.74,17.48,22.74,(17.48 to 22.74)
Male.Kidney.II.60-64.1.5.negative,rmst,37,20.31 (18.01 to 20.32),20.31,18.01 to 20.32,18.01,20.32,(18.01 to 20.32)
Female.Kidney.III.60-64.1.5.negative,rmst,37,16.33 (13.19 to 18.9),16.33,13.19 to 18.9,13.19,18.9,(13.19 to 18.9)
Male.Kidney.III.60-64.1.5.negative,rmst,37,15.79 (13.2 to 17.92),15.79,13.2 to 17.92,13.2,17.92,(13.2 to 17.92)
Female.Kidney.IV.60-64.1.5.negative,rmst,37,3.39 (2.77 to 4.68),3.39,2.77 to 4.68,2.77,4.68,(2.77 to 4.68)
Male.Kidney.IV.60-64.1.5.negative,rmst,37,3.38 (2.76 to 4.59),3.38,2.76 to 4.59,2.76,4.59,(2.76 to 4.59)
Female.Kidney.I.65-69.1.5.negative,rmst,32,18.34 (17.54 to 18.57),18.34,17.54 to 18.57,17.54,18.57,(17.54 to 18.57)
Male.Kidney.I.65-69.1.5.negative,rmst,32,16.43 (16.35 to 16.43),16.43,16.35 to 16.43,16.35,16.43,(16.35 to 16.43)
Female.Kidney.II.65-69.1.5.negative,rmst,32,16.59 (14.03 to 17.74),16.59,14.03 to 17.74,14.03,17.74,(14.03 to 17.74)
Male.Kidney.II.65-69.1.5.negative,rmst,32,15.38 (13.57 to 16.01),15.38,13.57 to 16.01,13.57,16.01,(13.57 to 16.01)
Female.Kidney.III.65-69.1.5.negative,rmst,32,13.43 (11.37 to 15.07),13.43,11.37 to 15.07,11.37,15.07,(11.37 to 15.07)
Male.Kidney.III.65-69.1.5.negative,rmst,32,12.94 (11.14 to 14.46),12.94,11.14 to 14.46,11.14,14.46,(11.14 to 14.46)
Female.Kidney.IV.65-69.1.5.negative,rmst,32,3.36 (2.63 to 4.47),3.36,2.63 to 4.47,2.63,4.47,(2.63 to 4.47)
Male.Kidney.IV.65-69.1.5.negative,rmst,32,3.32 (2.65 to 4.48),3.32,2.65 to 4.48,2.65,4.48,(2.65 to 4.48)
