characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Liver/Bile-duct.I.50-54.1.negative,rmst,47,8.36 (5.44 to 13.96),8.36,5.44 to 13.96,5.44,13.96,(5.44 to 13.96)
Male.Liver/Bile-duct.I.50-54.1.negative,rmst,47,8.31 (5.26 to 13.74),8.31,5.26 to 13.74,5.26,13.74,(5.26 to 13.74)
Female.Liver/Bile-duct.II.50-54.1.negative,rmst,47,4.2 (3.05 to 6.82),4.2,3.05 to 6.82,3.05,6.82,(3.05 to 6.82)
Male.Liver/Bile-duct.II.50-54.1.negative,rmst,47,4.04 (3 to 6.36),4.04,3 to 6.36,3,6.36,(3 to 6.36)
Female.Liver/Bile-duct.III.50-54.1.negative,rmst,47,1.81 (1.18 to 3.89),1.81,1.18 to 3.89,1.18,3.89,(1.18 to 3.89)
Male.Liver/Bile-duct.III.50-54.1.negative,rmst,47,1.78 (1.16 to 4.45),1.78,1.16 to 4.45,1.16,4.45,(1.16 to 4.45)
Female.Liver/Bile-duct.IV.50-54.1.negative,rmst,47,1.02 (0.84 to 1.57),1.02,0.84 to 1.57,0.84,1.57,(0.84 to 1.57)
Male.Liver/Bile-duct.IV.50-54.1.negative,rmst,47,1.01 (0.84 to 1.53),1.01,0.84 to 1.53,0.84,1.53,(0.84 to 1.53)
Female.Liver/Bile-duct.I.55-59.1.negative,rmst,42,6.89 (4.85 to 10.46),6.89,4.85 to 10.46,4.85,10.46,(4.85 to 10.46)
Male.Liver/Bile-duct.I.55-59.1.negative,rmst,42,6.89 (4.84 to 10.35),6.89,4.84 to 10.35,4.84,10.35,(4.84 to 10.35)
Female.Liver/Bile-duct.II.55-59.1.negative,rmst,42,6.16 (4.15 to 11.12),6.16,4.15 to 11.12,4.15,11.12,(4.15 to 11.12)
Male.Liver/Bile-duct.II.55-59.1.negative,rmst,42,6 (4.11 to 10.82),6,4.11 to 10.82,4.11,10.82,(4.11 to 10.82)
Female.Liver/Bile-duct.III.55-59.1.negative,rmst,42,2.48 (1.81 to 5),2.48,1.81 to 5,1.81,5,(1.81 to 5)
Male.Liver/Bile-duct.III.55-59.1.negative,rmst,42,2.52 (1.76 to 5.07),2.52,1.76 to 5.07,1.76,5.07,(1.76 to 5.07)
Female.Liver/Bile-duct.IV.55-59.1.negative,rmst,42,1 (0.84 to 1.73),1,0.84 to 1.73,0.84,1.73,(0.84 to 1.73)
Male.Liver/Bile-duct.IV.55-59.1.negative,rmst,42,1.02 (0.83 to 1.96),1.02,0.83 to 1.96,0.83,1.96,(0.83 to 1.96)
Female.Liver/Bile-duct.I.60-64.1.negative,rmst,37,6.14 (4.33 to 9.82),6.14,4.33 to 9.82,4.33,9.82,(4.33 to 9.82)
Male.Liver/Bile-duct.I.60-64.1.negative,rmst,37,6.14 (4.39 to 9.53),6.14,4.39 to 9.53,4.39,9.53,(4.39 to 9.53)
Female.Liver/Bile-duct.II.60-64.1.negative,rmst,37,4.92 (3.74 to 7.38),4.92,3.74 to 7.38,3.74,7.38,(3.74 to 7.38)
Male.Liver/Bile-duct.II.60-64.1.negative,rmst,37,4.98 (3.69 to 7.25),4.98,3.69 to 7.25,3.69,7.25,(3.69 to 7.25)
Female.Liver/Bile-duct.III.60-64.1.negative,rmst,37,2.66 (1.85 to 5.4),2.66,1.85 to 5.4,1.85,5.4,(1.85 to 5.4)
Male.Liver/Bile-duct.III.60-64.1.negative,rmst,37,2.7 (1.85 to 5.06),2.7,1.85 to 5.06,1.85,5.06,(1.85 to 5.06)
Female.Liver/Bile-duct.IV.60-64.1.negative,rmst,37,0.95 (0.79 to 1.53),0.95,0.79 to 1.53,0.79,1.53,(0.79 to 1.53)
Male.Liver/Bile-duct.IV.60-64.1.negative,rmst,37,0.98 (0.79 to 1.6),0.98,0.79 to 1.6,0.79,1.6,(0.79 to 1.6)
Female.Liver/Bile-duct.I.65-69.1.negative,rmst,32,6.94 (5.11 to 9.88),6.94,5.11 to 9.88,5.11,9.88,(5.11 to 9.88)
Male.Liver/Bile-duct.I.65-69.1.negative,rmst,32,6.82 (5.21 to 9.27),6.82,5.21 to 9.27,5.21,9.27,(5.21 to 9.27)
Female.Liver/Bile-duct.II.65-69.1.negative,rmst,32,4.23 (3.29 to 6.31),4.23,3.29 to 6.31,3.29,6.31,(3.29 to 6.31)
Male.Liver/Bile-duct.II.65-69.1.negative,rmst,32,4.21 (3.36 to 6.27),4.21,3.36 to 6.27,3.36,6.27,(3.36 to 6.27)
Female.Liver/Bile-duct.III.65-69.1.negative,rmst,32,1.97 (1.48 to 3.14),1.97,1.48 to 3.14,1.48,3.14,(1.48 to 3.14)
Male.Liver/Bile-duct.III.65-69.1.negative,rmst,32,1.97 (1.45 to 3.08),1.97,1.45 to 3.08,1.45,3.08,(1.45 to 3.08)
Female.Liver/Bile-duct.IV.65-69.1.negative,rmst,32,0.86 (0.74 to 1.3),0.86,0.74 to 1.3,0.74,1.3,(0.74 to 1.3)
Male.Liver/Bile-duct.IV.65-69.1.negative,rmst,32,0.85 (0.74 to 1.23),0.85,0.74 to 1.23,0.74,1.23,(0.74 to 1.23)
