characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Lung.I.50-54.1.negative,rmst,47,16.53 (12.34 to 22.08),16.53,12.34 to 22.08,12.34,22.08,(12.34 to 22.08)
Male.Lung.I.50-54.1.negative,rmst,47,16.18 (12.63 to 20.44),16.18,12.63 to 20.44,12.63,20.44,(12.63 to 20.44)
Female.Lung.II.50-54.1.negative,rmst,47,7.44 (5.56 to 11.15),7.44,5.56 to 11.15,5.56,11.15,(5.56 to 11.15)
Male.Lung.II.50-54.1.negative,rmst,47,7.47 (5.5 to 11.18),7.47,5.5 to 11.18,5.5,11.18,(5.5 to 11.18)
Female.Lung.III.50-54.1.negative,rmst,47,3.78 (3.06 to 5.2),3.78,3.06 to 5.2,3.06,5.2,(3.06 to 5.2)
Male.Lung.III.50-54.1.negative,rmst,47,3.82 (3.04 to 5.34),3.82,3.04 to 5.34,3.04,5.34,(3.04 to 5.34)
Female.Lung.IV.50-54.1.negative,rmst,47,1.51 (1.23 to 2.07),1.51,1.23 to 2.07,1.23,2.07,(1.23 to 2.07)
Male.Lung.IV.50-54.1.negative,rmst,47,1.53 (1.22 to 2.07),1.53,1.22 to 2.07,1.22,2.07,(1.22 to 2.07)
Female.Lung.I.55-59.1.negative,rmst,42,11.87 (9.78 to 14.03),11.87,9.78 to 14.03,9.78,14.03,(9.78 to 14.03)
Male.Lung.I.55-59.1.negative,rmst,42,11.67 (9.77 to 13.79),11.67,9.77 to 13.79,9.77,13.79,(9.77 to 13.79)
Female.Lung.II.55-59.1.negative,rmst,42,9.34 (6.67 to 13.1),9.34,6.67 to 13.1,6.67,13.1,(6.67 to 13.1)
Male.Lung.II.55-59.1.negative,rmst,42,9.27 (6.73 to 13.14),9.27,6.73 to 13.14,6.73,13.14,(6.73 to 13.14)
Female.Lung.III.55-59.1.negative,rmst,42,2.96 (2.55 to 3.57),2.96,2.55 to 3.57,2.55,3.57,(2.55 to 3.57)
Male.Lung.III.55-59.1.negative,rmst,42,2.93 (2.58 to 3.49),2.93,2.58 to 3.49,2.58,3.49,(2.58 to 3.49)
Female.Lung.IV.55-59.1.negative,rmst,42,1.08 (1 to 1.3),1.08,1 to 1.3,1,1.3,(1 to 1.3)
Male.Lung.IV.55-59.1.negative,rmst,42,1.08 (1 to 1.3),1.08,1 to 1.3,1,1.3,(1 to 1.3)
Female.Lung.I.60-64.1.negative,rmst,37,11.57 (9.76 to 13.64),11.57,9.76 to 13.64,9.76,13.64,(9.76 to 13.64)
Male.Lung.I.60-64.1.negative,rmst,37,11.17 (9.69 to 12.87),11.17,9.69 to 12.87,9.69,12.87,(9.69 to 12.87)
Female.Lung.II.60-64.1.negative,rmst,37,7.43 (6.07 to 9.38),7.43,6.07 to 9.38,6.07,9.38,(6.07 to 9.38)
Male.Lung.II.60-64.1.negative,rmst,37,7.31 (6 to 9.19),7.31,6 to 9.19,6,9.19,(6 to 9.19)
Female.Lung.III.60-64.1.negative,rmst,37,3.04 (2.64 to 3.67),3.04,2.64 to 3.67,2.64,3.67,(2.64 to 3.67)
Male.Lung.III.60-64.1.negative,rmst,37,3.02 (2.68 to 3.54),3.02,2.68 to 3.54,2.68,3.54,(2.68 to 3.54)
Female.Lung.IV.60-64.1.negative,rmst,37,1.07 (0.94 to 1.27),1.07,0.94 to 1.27,0.94,1.27,(0.94 to 1.27)
Male.Lung.IV.60-64.1.negative,rmst,37,1.06 (0.95 to 1.28),1.06,0.95 to 1.28,0.95,1.28,(0.95 to 1.28)
Female.Lung.I.65-69.1.negative,rmst,32,10.36 (9.31 to 11.57),10.36,9.31 to 11.57,9.31,11.57,(9.31 to 11.57)
Male.Lung.I.65-69.1.negative,rmst,32,10.03 (8.95 to 11.12),10.03,8.95 to 11.12,8.95,11.12,(8.95 to 11.12)
Female.Lung.II.65-69.1.negative,rmst,32,5.42 (4.74 to 6.32),5.42,4.74 to 6.32,4.74,6.32,(4.74 to 6.32)
Male.Lung.II.65-69.1.negative,rmst,32,5.38 (4.65 to 6.35),5.38,4.65 to 6.35,4.65,6.35,(4.65 to 6.35)
Female.Lung.III.65-69.1.negative,rmst,32,2.51 (2.26 to 2.83),2.51,2.26 to 2.83,2.26,2.83,(2.26 to 2.83)
Male.Lung.III.65-69.1.negative,rmst,32,2.49 (2.27 to 2.8),2.49,2.27 to 2.8,2.27,2.8,(2.27 to 2.8)
Female.Lung.IV.65-69.1.negative,rmst,32,0.89 (0.83 to 1.01),0.89,0.83 to 1.01,0.83,1.01,(0.83 to 1.01)
Male.Lung.IV.65-69.1.negative,rmst,32,0.89 (0.83 to 1),0.89,0.83 to 1,0.83,1,(0.83 to 1)
Female.Lung.I.70-74.1.negative,rmst,27,8.2 (7.46 to 9.09),8.2,7.46 to 9.09,7.46,9.09,(7.46 to 9.09)
Male.Lung.I.70-74.1.negative,rmst,27,8.09 (7.33 to 8.85),8.09,7.33 to 8.85,7.33,8.85,(7.33 to 8.85)
Female.Lung.II.70-74.1.negative,rmst,27,4.69 (4.04 to 5.56),4.69,4.04 to 5.56,4.04,5.56,(4.04 to 5.56)
Male.Lung.II.70-74.1.negative,rmst,27,4.62 (3.91 to 5.39),4.62,3.91 to 5.39,3.91,5.39,(3.91 to 5.39)
Female.Lung.III.70-74.1.negative,rmst,27,2.12 (1.94 to 2.37),2.12,1.94 to 2.37,1.94,2.37,(1.94 to 2.37)
Male.Lung.III.70-74.1.negative,rmst,27,2.09 (1.94 to 2.34),2.09,1.94 to 2.34,1.94,2.34,(1.94 to 2.34)
Female.Lung.IV.70-74.1.negative,rmst,27,0.81 (0.75 to 0.9),0.81,0.75 to 0.9,0.75,0.9,(0.75 to 0.9)
Male.Lung.IV.70-74.1.negative,rmst,27,0.81 (0.75 to 0.89),0.81,0.75 to 0.89,0.75,0.89,(0.75 to 0.89)
Female.Lung.I.75-79.1.negative,rmst,22,6.45 (5.87 to 7.05),6.45,5.87 to 7.05,5.87,7.05,(5.87 to 7.05)
Male.Lung.I.75-79.1.negative,rmst,22,6.36 (5.78 to 6.86),6.36,5.78 to 6.86,5.78,6.86,(5.78 to 6.86)
Female.Lung.II.75-79.1.negative,rmst,22,3.81 (3.34 to 4.45),3.81,3.34 to 4.45,3.34,4.45,(3.34 to 4.45)
Male.Lung.II.75-79.1.negative,rmst,22,3.84 (3.35 to 4.47),3.84,3.35 to 4.47,3.35,4.47,(3.35 to 4.47)
Female.Lung.III.75-79.1.negative,rmst,22,1.88 (1.69 to 2.22),1.88,1.69 to 2.22,1.69,2.22,(1.69 to 2.22)
Male.Lung.III.75-79.1.negative,rmst,22,1.87 (1.7 to 2.12),1.87,1.7 to 2.12,1.7,2.12,(1.7 to 2.12)
Female.Lung.IV.75-79.1.negative,rmst,22,0.7 (0.65 to 0.78),0.7,0.65 to 0.78,0.65,0.78,(0.65 to 0.78)
Male.Lung.IV.75-79.1.negative,rmst,22,0.72 (0.65 to 0.77),0.72,0.65 to 0.77,0.65,0.77,(0.65 to 0.77)
Female.Lung.I.50-54.1.5.negative,rmst,47,17.46 (13.26 to 22.22),17.46,13.26 to 22.22,13.26,22.22,(13.26 to 22.22)
Male.Lung.I.50-54.1.5.negative,rmst,47,16.88 (13.24 to 21.49),16.88,13.24 to 21.49,13.24,21.49,(13.24 to 21.49)
Female.Lung.II.50-54.1.5.negative,rmst,47,9.79 (7.07 to 14.84),9.79,7.07 to 14.84,7.07,14.84,(7.07 to 14.84)
Male.Lung.II.50-54.1.5.negative,rmst,47,9.8 (6.76 to 14.59),9.8,6.76 to 14.59,6.76,14.59,(6.76 to 14.59)
Female.Lung.III.50-54.1.5.negative,rmst,47,6.2 (4.58 to 9.16),6.2,4.58 to 9.16,4.58,9.16,(4.58 to 9.16)
Male.Lung.III.50-54.1.5.negative,rmst,47,6.07 (4.59 to 8.65),6.07,4.59 to 8.65,4.59,8.65,(4.59 to 8.65)
Female.Lung.IV.50-54.1.5.negative,rmst,47,3.11 (2.21 to 4.7),3.11,2.21 to 4.7,2.21,4.7,(2.21 to 4.7)
Male.Lung.IV.50-54.1.5.negative,rmst,47,3.06 (2.15 to 4.54),3.06,2.15 to 4.54,2.15,4.54,(2.15 to 4.54)
Female.Lung.I.55-59.1.5.negative,rmst,42,12.72 (10.58 to 15),12.72,10.58 to 15,10.58,15,(10.58 to 15)
Male.Lung.I.55-59.1.5.negative,rmst,42,12.44 (10.43 to 14.57),12.44,10.43 to 14.57,10.43,14.57,(10.43 to 14.57)
Female.Lung.II.55-59.1.5.negative,rmst,42,12.23 (9.15 to 16.95),12.23,9.15 to 16.95,9.15,16.95,(9.15 to 16.95)
Male.Lung.II.55-59.1.5.negative,rmst,42,11.91 (8.68 to 16.21),11.91,8.68 to 16.21,8.68,16.21,(8.68 to 16.21)
Female.Lung.III.55-59.1.5.negative,rmst,42,4.63 (3.79 to 6.03),4.63,3.79 to 6.03,3.79,6.03,(3.79 to 6.03)
