characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Lymphoma.I.50-54.1.negative,rmst,47,29.51 (27.19 to 30.32),29.51,27.19 to 30.32,27.19,30.32,(27.19 to 30.32)
Male.Lymphoma.I.50-54.1.negative,rmst,47,27.11 (25.61 to 27.76),27.11,25.61 to 27.76,25.61,27.76,(25.61 to 27.76)
Female.Lymphoma.II.50-54.1.negative,rmst,47,26.67 (22.34 to 29.74),26.67,22.34 to 29.74,22.34,29.74,(22.34 to 29.74)
Male.Lymphoma.II.50-54.1.negative,rmst,47,25.43 (21.07 to 27.44),25.43,21.07 to 27.44,21.07,27.44,(21.07 to 27.44)
Female.Lymphoma.III.50-54.1.negative,rmst,47,25.34 (20.84 to 28.4),25.34,20.84 to 28.4,20.84,28.4,(20.84 to 28.4)
Male.Lymphoma.III.50-54.1.negative,rmst,47,24.02 (19.73 to 26.11),24.02,19.73 to 26.11,19.73,26.11,(19.73 to 26.11)
Female.Lymphoma.IV.50-54.1.negative,rmst,47,22.05 (18.35 to 25.16),22.05,18.35 to 25.16,18.35,25.16,(18.35 to 25.16)
Male.Lymphoma.IV.50-54.1.negative,rmst,47,21.01 (17.43 to 23.34),21.01,17.43 to 23.34,17.43,23.34,(17.43 to 23.34)
Female.Lymphoma.I.55-59.1.negative,rmst,42,23.36 (20.19 to 25.51),23.36,20.19 to 25.51,20.19,25.51,(20.19 to 25.51)
Male.Lymphoma.I.55-59.1.negative,rmst,42,22.06 (19.15 to 23.4),22.06,19.15 to 23.4,19.15,23.4,(19.15 to 23.4)
Female.Lymphoma.II.55-59.1.negative,rmst,42,23.88 (19.91 to 25.72),23.88,19.91 to 25.72,19.91,25.72,(19.91 to 25.72)
Male.Lymphoma.II.55-59.1.negative,rmst,42,22.38 (19.37 to 23.54),22.38,19.37 to 23.54,19.37,23.54,(19.37 to 23.54)
Female.Lymphoma.III.55-59.1.negative,rmst,42,19.6 (16.05 to 22.9),19.6,16.05 to 22.9,16.05,22.9,(16.05 to 22.9)
Male.Lymphoma.III.55-59.1.negative,rmst,42,18.94 (15.7 to 21.66),18.94,15.7 to 21.66,15.7,21.66,(15.7 to 21.66)
Female.Lymphoma.IV.55-59.1.negative,rmst,42,17.7 (14.87 to 20.35),17.7,14.87 to 20.35,14.87,20.35,(14.87 to 20.35)
Male.Lymphoma.IV.55-59.1.negative,rmst,42,16.94 (14.6 to 18.92),16.94,14.6 to 18.92,14.6,18.92,(14.6 to 18.92)
Female.Lymphoma.I.60-64.1.negative,rmst,37,20.76 (17.81 to 21.67),20.76,17.81 to 21.67,17.81,21.67,(17.81 to 21.67)
Male.Lymphoma.I.60-64.1.negative,rmst,37,19.19 (17.45 to 19.61),19.19,17.45 to 19.61,17.45,19.61,(17.45 to 19.61)
Female.Lymphoma.II.60-64.1.negative,rmst,37,19.6 (16.78 to 20.87),19.6,16.78 to 20.87,16.78,20.87,(16.78 to 20.87)
Male.Lymphoma.II.60-64.1.negative,rmst,37,18.15 (16.06 to 18.98),18.15,16.06 to 18.98,16.06,18.98,(16.06 to 18.98)
Female.Lymphoma.III.60-64.1.negative,rmst,37,14.53 (11.6 to 17.21),14.53,11.6 to 17.21,11.6,17.21,(11.6 to 17.21)
Male.Lymphoma.III.60-64.1.negative,rmst,37,14.05 (11.41 to 16.52),14.05,11.41 to 16.52,11.41,16.52,(11.41 to 16.52)
Female.Lymphoma.IV.60-64.1.negative,rmst,37,14.4 (12.29 to 16.65),14.4,12.29 to 16.65,12.29,16.65,(12.29 to 16.65)
Male.Lymphoma.IV.60-64.1.negative,rmst,37,13.89 (11.89 to 15.68),13.89,11.89 to 15.68,11.89,15.68,(11.89 to 15.68)
Female.Lymphoma.I.65-69.1.negative,rmst,32,17.16 (15.57 to 17.6),17.16,15.57 to 17.6,15.57,17.6,(15.57 to 17.6)
Male.Lymphoma.I.65-69.1.negative,rmst,32,15.51 (14.75 to 15.79),15.51,14.75 to 15.79,14.75,15.79,(14.75 to 15.79)
Female.Lymphoma.II.65-69.1.negative,rmst,32,16.12 (13.51 to 17.06),16.12,13.51 to 17.06,13.51,17.06,(13.51 to 17.06)
Male.Lymphoma.II.65-69.1.negative,rmst,32,14.91 (13.13 to 15.34),14.91,13.13 to 15.34,13.13,15.34,(13.13 to 15.34)
Female.Lymphoma.III.65-69.1.negative,rmst,32,12.44 (10.67 to 14.26),12.44,10.67 to 14.26,10.67,14.26,(10.67 to 14.26)
Male.Lymphoma.III.65-69.1.negative,rmst,32,12.17 (10.6 to 13.6),12.17,10.6 to 13.6,10.6,13.6,(10.6 to 13.6)
Female.Lymphoma.IV.65-69.1.negative,rmst,32,12.03 (10.65 to 13.42),12.03,10.65 to 13.42,10.65,13.42,(10.65 to 13.42)
Male.Lymphoma.IV.65-69.1.negative,rmst,32,11.67 (10.31 to 12.73),11.67,10.31 to 12.73,10.31,12.73,(10.31 to 12.73)
Female.Lymphoma.I.70-74.1.negative,rmst,27,12.22 (10.25 to 13.65),12.22,10.25 to 13.65,10.25,13.65,(10.25 to 13.65)
Male.Lymphoma.I.70-74.1.negative,rmst,27,12.12 (10.62 to 12.4),12.12,10.62 to 12.4,10.62,12.4,(10.62 to 12.4)
Female.Lymphoma.II.70-74.1.negative,rmst,27,12.58 (11.58 to 12.99),12.58,11.58 to 12.99,11.58,12.99,(11.58 to 12.99)
Male.Lymphoma.II.70-74.1.negative,rmst,27,11.29 (10.69 to 11.66),11.29,10.69 to 11.66,10.69,11.66,(10.69 to 11.66)
Female.Lymphoma.III.70-74.1.negative,rmst,27,10.93 (9.32 to 11.8),10.93,9.32 to 11.8,9.32,11.8,(9.32 to 11.8)
