characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Melanoma.I.50-54.1.negative,rmst,47,31.64 (31.59 to 31.64),31.64,31.59 to 31.64,31.59,31.64,(31.59 to 31.64)
Male.Melanoma.I.50-54.1.negative,rmst,47,28.8 (28.78 to 28.8),28.8,28.78 to 28.8,28.78,28.8,(28.78 to 28.8)
Female.Melanoma.II.50-54.1.negative,rmst,47,17.93 (11.72 to 25.36),17.93,11.72 to 25.36,11.72,25.36,(11.72 to 25.36)
Male.Melanoma.II.50-54.1.negative,rmst,47,17.56 (11.94 to 24.3),17.56,11.94 to 24.3,11.94,24.3,(11.94 to 24.3)
Female.Melanoma.III.50-54.1.negative,rmst,47,17.45 (11.4 to 24.26),17.45,11.4 to 24.26,11.4,24.26,(11.4 to 24.26)
Male.Melanoma.III.50-54.1.negative,rmst,47,17.4 (11.77 to 22.66),17.4,11.77 to 22.66,11.77,22.66,(11.77 to 22.66)
Female.Melanoma.IV.50-54.1.negative,rmst,47,8.52 (4.43 to 15.9),8.52,4.43 to 15.9,4.43,15.9,(4.43 to 15.9)
Male.Melanoma.IV.50-54.1.negative,rmst,47,8.33 (4.4 to 14.94),8.33,4.4 to 14.94,4.4,14.94,(4.4 to 14.94)
Female.Melanoma.I.55-59.1.negative,rmst,42,27.11 (27.09 to 27.11),27.11,27.09 to 27.11,27.09,27.11,(27.09 to 27.11)
Male.Melanoma.I.55-59.1.negative,rmst,42,24.46 (24.44 to 24.46),24.46,24.44 to 24.46,24.44,24.46,(24.44 to 24.46)
Female.Melanoma.II.55-59.1.negative,rmst,42,14.58 (10.29 to 20.49),14.58,10.29 to 20.49,10.29,20.49,(10.29 to 20.49)
Male.Melanoma.II.55-59.1.negative,rmst,42,13.9 (9.39 to 19.6),13.9,9.39 to 19.6,9.39,19.6,(9.39 to 19.6)
Female.Melanoma.III.55-59.1.negative,rmst,42,13.71 (9.72 to 18.76),13.71,9.72 to 18.76,9.72,18.76,(9.72 to 18.76)
Male.Melanoma.III.55-59.1.negative,rmst,42,13.43 (9.82 to 17.52),13.43,9.82 to 17.52,9.82,17.52,(9.82 to 17.52)
Female.Melanoma.IV.55-59.1.negative,rmst,42,4 (2.41 to 7.68),4,2.41 to 7.68,2.41,7.68,(2.41 to 7.68)
Male.Melanoma.IV.55-59.1.negative,rmst,42,3.98 (2.39 to 7.49),3.98,2.39 to 7.49,2.39,7.49,(2.39 to 7.49)
Female.Melanoma.I.60-64.1.negative,rmst,37,22.74 (22.73 to 22.74),22.74,22.73 to 22.74,22.73,22.74,(22.73 to 22.74)
Male.Melanoma.I.60-64.1.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Female.Melanoma.II.60-64.1.negative,rmst,37,17.46 (13.25 to 19.97),17.46,13.25 to 19.97,13.25,19.97,(13.25 to 19.97)
Male.Melanoma.II.60-64.1.negative,rmst,37,16.89 (12.8 to 18.33),16.89,12.8 to 18.33,12.8,18.33,(12.8 to 18.33)
Female.Melanoma.III.60-64.1.negative,rmst,37,13.14 (9.15 to 17.05),13.14,9.15 to 17.05,9.15,17.05,(9.15 to 17.05)
Male.Melanoma.III.60-64.1.negative,rmst,37,13.05 (9.22 to 16.19),13.05,9.22 to 16.19,9.22,16.19,(9.22 to 16.19)
Female.Melanoma.IV.60-64.1.negative,rmst,37,4.58 (2.95 to 7.53),4.58,2.95 to 7.53,2.95,7.53,(2.95 to 7.53)
Male.Melanoma.IV.60-64.1.negative,rmst,37,4.6 (2.94 to 7.48),4.6,2.94 to 7.48,2.94,7.48,(2.94 to 7.48)
Female.Melanoma.I.65-69.1.negative,rmst,32,18.57 (18.56 to 18.57),18.57,18.56 to 18.57,18.56,18.57,(18.56 to 18.57)
Male.Melanoma.I.65-69.1.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Female.Melanoma.II.65-69.1.negative,rmst,32,13.24 (11.12 to 15.3),13.24,11.12 to 15.3,11.12,15.3,(11.12 to 15.3)
Male.Melanoma.II.65-69.1.negative,rmst,32,13.05 (10.99 to 15.27),13.05,10.99 to 15.27,10.99,15.27,(10.99 to 15.27)
