characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Ovary.I.50-54.1.negative,rmst,47,25.09 (20.95 to 28.59),25.09,20.95 to 28.59,20.95,28.59,(20.95 to 28.59)
Female.Ovary.II.50-54.1.negative,rmst,47,12.98 (7.65 to 20.42),12.98,7.65 to 20.42,7.65,20.42,(7.65 to 20.42)
Female.Ovary.III.50-54.1.negative,rmst,47,6.51 (5.1 to 8.65),6.51,5.1 to 8.65,5.1,8.65,(5.1 to 8.65)
Female.Ovary.IV.50-54.1.negative,rmst,47,3.94 (3.19 to 6.18),3.94,3.19 to 6.18,3.19,6.18,(3.19 to 6.18)
Female.Ovary.I.55-59.1.negative,rmst,42,26.21 (23.83 to 26.82),26.21,23.83 to 26.82,23.83,26.82,(23.83 to 26.82)
Female.Ovary.II.55-59.1.negative,rmst,42,14.91 (10.52 to 19.97),14.91,10.52 to 19.97,10.52,19.97,(10.52 to 19.97)
Female.Ovary.III.55-59.1.negative,rmst,42,5.04 (4.21 to 6.25),5.04,4.21 to 6.25,4.21,6.25,(4.21 to 6.25)
Female.Ovary.IV.55-59.1.negative,rmst,42,3.31 (2.82 to 4.25),3.31,2.82 to 4.25,2.82,4.25,(2.82 to 4.25)
Female.Ovary.I.60-64.1.negative,rmst,37,22.72 (21.37 to 22.74),22.72,21.37 to 22.74,21.37,22.74,(21.37 to 22.74)
Female.Ovary.II.60-64.1.negative,rmst,37,16.92 (12.86 to 20.35),16.92,12.86 to 20.35,12.86,20.35,(12.86 to 20.35)
Female.Ovary.III.60-64.1.negative,rmst,37,4.31 (3.9 to 4.97),4.31,3.9 to 4.97,3.9,4.97,(3.9 to 4.97)
Female.Ovary.IV.60-64.1.negative,rmst,37,3.56 (2.9 to 4.78),3.56,2.9 to 4.78,2.9,4.78,(2.9 to 4.78)
Female.Ovary.I.65-69.1.negative,rmst,32,18.57 (18.17 to 18.57),18.57,18.17 to 18.57,18.17,18.57,(18.17 to 18.57)
Female.Ovary.II.65-69.1.negative,rmst,32,10.03 (6.88 to 13.75),10.03,6.88 to 13.75,6.88,13.75,(6.88 to 13.75)
Female.Ovary.III.65-69.1.negative,rmst,32,4.41 (3.87 to 5.13),4.41,3.87 to 5.13,3.87,5.13,(3.87 to 5.13)
Female.Ovary.IV.65-69.1.negative,rmst,32,2.71 (2.36 to 3.37),2.71,2.36 to 3.37,2.36,3.37,(2.36 to 3.37)
Female.Ovary.I.70-74.1.negative,rmst,27,14.6 (14.54 to 14.6),14.6,14.54 to 14.6,14.54,14.6,(14.54 to 14.6)
Female.Ovary.II.70-74.1.negative,rmst,27,11.81 (9.36 to 13.51),11.81,9.36 to 13.51,9.36,13.51,(9.36 to 13.51)
Female.Ovary.III.70-74.1.negative,rmst,27,3.44 (3.13 to 3.96),3.44,3.13 to 3.96,3.13,3.96,(3.13 to 3.96)
Female.Ovary.IV.70-74.1.negative,rmst,27,2.29 (2 to 2.98),2.29,2 to 2.98,2,2.98,(2 to 2.98)
Female.Ovary.I.75-79.1.negative,rmst,22,11 (10.78 to 11),11,10.78 to 11,10.78,11,(10.78 to 11)
Female.Ovary.II.75-79.1.negative,rmst,22,7.47 (5.24 to 9.01),7.47,5.24 to 9.01,5.24,9.01,(5.24 to 9.01)
Female.Ovary.III.75-79.1.negative,rmst,22,2.91 (2.58 to 3.4),2.91,2.58 to 3.4,2.58,3.4,(2.58 to 3.4)
Female.Ovary.IV.75-79.1.negative,rmst,22,2.09 (1.67 to 2.6),2.09,1.67 to 2.6,1.67,2.6,(1.67 to 2.6)
Female.Ovary.I.50-54.1.5.negative,rmst,47,26.49 (22.27 to 29.37),26.49,22.27 to 29.37,22.27,29.37,(22.27 to 29.37)
Female.Ovary.II.50-54.1.5.negative,rmst,47,16.27 (8.79 to 23.33),16.27,8.79 to 23.33,8.79,23.33,(8.79 to 23.33)
Female.Ovary.III.50-54.1.5.negative,rmst,47,8.98 (6.64 to 12.49),8.98,6.64 to 12.49,6.64,12.49,(6.64 to 12.49)
Female.Ovary.IV.50-54.1.5.negative,rmst,47,5.66 (4.12 to 9.91),5.66,4.12 to 9.91,4.12,9.91,(4.12 to 9.91)
Female.Ovary.I.55-59.1.5.negative,rmst,42,26.69 (25.97 to 27.11),26.69,25.97 to 27.11,25.97,27.11,(25.97 to 27.11)
Female.Ovary.II.55-59.1.5.negative,rmst,42,18.08 (11.71 to 23.36),18.08,11.71 to 23.36,11.71,23.36,(11.71 to 23.36)
Female.Ovary.III.55-59.1.5.negative,rmst,42,6.94 (5.49 to 9.15),6.94,5.49 to 9.15,5.49,9.15,(5.49 to 9.15)
Female.Ovary.IV.55-59.1.5.negative,rmst,42,4.79 (3.83 to 6.79),4.79,3.83 to 6.79,3.83,6.79,(3.83 to 6.79)
Female.Ovary.I.60-64.1.5.negative,rmst,37,22.74 (22.07 to 22.74),22.74,22.07 to 22.74,22.07,22.74,(22.07 to 22.74)
Female.Ovary.II.60-64.1.5.negative,rmst,37,18.51 (14.24 to 21.86),18.51,14.24 to 21.86,14.24,21.86,(14.24 to 21.86)
Female.Ovary.III.60-64.1.5.negative,rmst,37,5.88 (5.02 to 7.09),5.88,5.02 to 7.09,5.02,7.09,(5.02 to 7.09)
Female.Ovary.IV.60-64.1.5.negative,rmst,37,5.65 (4.3 to 7.72),5.65,4.3 to 7.72,4.3,7.72,(4.3 to 7.72)
Female.Ovary.I.65-69.1.5.negative,rmst,32,18.57 (18.4 to 18.57),18.57,18.4 to 18.57,18.4,18.57,(18.4 to 18.57)
Female.Ovary.II.65-69.1.5.negative,rmst,32,12.27 (7.81 to 16.1),12.27,7.81 to 16.1,7.81,16.1,(7.81 to 16.1)
Female.Ovary.III.65-69.1.5.negative,rmst,32,6.15 (5.22 to 7.56),6.15,5.22 to 7.56,5.22,7.56,(5.22 to 7.56)
Female.Ovary.IV.65-69.1.5.negative,rmst,32,3.96 (3.26 to 5.47),3.96,3.26 to 5.47,3.26,5.47,(3.26 to 5.47)
Female.Ovary.I.70-74.1.5.negative,rmst,27,14.6 (14.55 to 14.6),14.6,14.55 to 14.6,14.55,14.6,(14.55 to 14.6)
Female.Ovary.II.70-74.1.5.negative,rmst,27,13.71 (10.57 to 14.6),13.71,10.57 to 14.6,10.57,14.6,(10.57 to 14.6)
Female.Ovary.III.70-74.1.5.negative,rmst,27,4.68 (4.07 to 5.71),4.68,4.07 to 5.71,4.07,5.71,(4.07 to 5.71)
Female.Ovary.IV.70-74.1.5.negative,rmst,27,3.14 (2.95 to 3.97),3.14,2.95 to 3.97,2.95,3.97,(2.95 to 3.97)
Female.Ovary.I.75-79.1.5.negative,rmst,22,11 (10.89 to 11),11,10.89 to 11,10.89,11,(10.89 to 11)
Female.Ovary.II.75-79.1.5.negative,rmst,22,8.54 (6.38 to 10.14),8.54,6.38 to 10.14,6.38,10.14,(6.38 to 10.14)
Female.Ovary.III.75-79.1.5.negative,rmst,22,4.04 (3.55 to 5),4.04,3.55 to 5,3.55,5,(3.55 to 5)
Female.Ovary.IV.75-79.1.5.negative,rmst,22,3.44 (2.59 to 4.17),3.44,2.59 to 4.17,2.59,4.17,(2.59 to 4.17)
Female.Ovary.I.50-54.3.negative,rmst,47,29.98 (26.45 to 31.61),29.98,26.45 to 31.61,26.45,31.61,(26.45 to 31.61)
Female.Ovary.II.50-54.3.negative,rmst,47,23.19 (12.57 to 29.92),23.19,12.57 to 29.92,12.57,29.92,(12.57 to 29.92)
Female.Ovary.III.50-54.3.negative,rmst,47,15.36 (10.62 to 20.09),15.36,10.62 to 20.09,10.62,20.09,(10.62 to 20.09)
Female.Ovary.IV.50-54.3.negative,rmst,47,10.34 (7.07 to 16.75),10.34,7.07 to 16.75,7.07,16.75,(7.07 to 16.75)
Female.Ovary.I.55-59.3.negative,rmst,42,27.11 (26.77 to 27.11),27.11,26.77 to 27.11,26.77,27.11,(26.77 to 27.11)
Female.Ovary.II.55-59.3.negative,rmst,42,23.86 (16.05 to 27.11),23.86,16.05 to 27.11,16.05,27.11,(16.05 to 27.11)
Female.Ovary.III.55-59.3.negative,rmst,42,11.31 (8.65 to 15.02),11.31,8.65 to 15.02,8.65,15.02,(8.65 to 15.02)
Female.Ovary.IV.55-59.3.negative,rmst,42,8.95 (6.32 to 13.77),8.95,6.32 to 13.77,6.32,13.77,(6.32 to 13.77)
Female.Ovary.I.60-64.3.negative,rmst,37,22.74 (22.67 to 22.74),22.74,22.67 to 22.74,22.67,22.74,(22.67 to 22.74)
Female.Ovary.II.60-64.3.negative,rmst,37,22.74 (19.46 to 22.74),22.74,19.46 to 22.74,19.46,22.74,(19.46 to 22.74)
Female.Ovary.III.60-64.3.negative,rmst,37,9.66 (7.6 to 12.3),9.66,7.6 to 12.3,7.6,12.3,(7.6 to 12.3)
Female.Ovary.IV.60-64.3.negative,rmst,37,9.6 (6.77 to 13.4),9.6,6.77 to 13.4,6.77,13.4,(6.77 to 13.4)
