characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Pancreas.I.50-54.1.negative,rmst,47,11.46 (6.21 to 20.66),11.46,6.21 to 20.66,6.21,20.66,(6.21 to 20.66)
Male.Pancreas.I.50-54.1.negative,rmst,47,11.48 (6.51 to 19.41),11.48,6.51 to 19.41,6.51,19.41,(6.51 to 19.41)
Female.Pancreas.II.50-54.1.negative,rmst,47,3.72 (2.8 to 5.79),3.72,2.8 to 5.79,2.8,5.79,(2.8 to 5.79)
Male.Pancreas.II.50-54.1.negative,rmst,47,3.72 (2.8 to 5.71),3.72,2.8 to 5.71,2.8,5.71,(2.8 to 5.71)
Female.Pancreas.III.50-54.1.negative,rmst,47,2.23 (1.7 to 4.12),2.23,1.7 to 4.12,1.7,4.12,(1.7 to 4.12)
Male.Pancreas.III.50-54.1.negative,rmst,47,2.23 (1.72 to 4.5),2.23,1.72 to 4.5,1.72,4.5,(1.72 to 4.5)
Female.Pancreas.IV.50-54.1.negative,rmst,47,1.12 (0.85 to 2.05),1.12,0.85 to 2.05,0.85,2.05,(0.85 to 2.05)
Male.Pancreas.IV.50-54.1.negative,rmst,47,1.11 (0.84 to 2.03),1.11,0.84 to 2.03,0.84,2.03,(0.84 to 2.03)
Female.Pancreas.I.55-59.1.negative,rmst,42,8.09 (4.49 to 14.95),8.09,4.49 to 14.95,4.49,14.95,(4.49 to 14.95)
Male.Pancreas.I.55-59.1.negative,rmst,42,8.34 (4.52 to 14.6),8.34,4.52 to 14.6,4.52,14.6,(4.52 to 14.6)
Female.Pancreas.II.55-59.1.negative,rmst,42,3.36 (2.6 to 5.57),3.36,2.6 to 5.57,2.6,5.57,(2.6 to 5.57)
Male.Pancreas.II.55-59.1.negative,rmst,42,3.34 (2.59 to 5.24),3.34,2.59 to 5.24,2.59,5.24,(2.59 to 5.24)
Female.Pancreas.III.55-59.1.negative,rmst,42,2.06 (1.58 to 3.46),2.06,1.58 to 3.46,1.58,3.46,(1.58 to 3.46)
Male.Pancreas.III.55-59.1.negative,rmst,42,2.15 (1.62 to 3.54),2.15,1.62 to 3.54,1.62,3.54,(1.62 to 3.54)
Female.Pancreas.IV.55-59.1.negative,rmst,42,1.08 (0.75 to 1.74),1.08,0.75 to 1.74,0.75,1.74,(0.75 to 1.74)
Male.Pancreas.IV.55-59.1.negative,rmst,42,1.11 (0.76 to 1.66),1.11,0.76 to 1.66,0.76,1.66,(0.76 to 1.66)
Female.Pancreas.I.60-64.1.negative,rmst,37,5.94 (3.63 to 9.57),5.94,3.63 to 9.57,3.63,9.57,(3.63 to 9.57)
Male.Pancreas.I.60-64.1.negative,rmst,37,5.77 (3.7 to 8.9),5.77,3.7 to 8.9,3.7,8.9,(3.7 to 8.9)
Female.Pancreas.II.60-64.1.negative,rmst,37,3.41 (2.61 to 4.88),3.41,2.61 to 4.88,2.61,4.88,(2.61 to 4.88)
Male.Pancreas.II.60-64.1.negative,rmst,37,3.49 (2.65 to 5.03),3.49,2.65 to 5.03,2.65,5.03,(2.65 to 5.03)
Female.Pancreas.III.60-64.1.negative,rmst,37,1.45 (1.26 to 2.04),1.45,1.26 to 2.04,1.26,2.04,(1.26 to 2.04)
Male.Pancreas.III.60-64.1.negative,rmst,37,1.42 (1.25 to 1.88),1.42,1.25 to 1.88,1.25,1.88,(1.25 to 1.88)
Female.Pancreas.IV.60-64.1.negative,rmst,37,0.69 (0.61 to 0.89),0.69,0.61 to 0.89,0.61,0.89,(0.61 to 0.89)
Male.Pancreas.IV.60-64.1.negative,rmst,37,0.69 (0.61 to 0.92),0.69,0.61 to 0.92,0.61,0.92,(0.61 to 0.92)
Female.Pancreas.I.65-69.1.negative,rmst,32,5.92 (3.81 to 8.35),5.92,3.81 to 8.35,3.81,8.35,(3.81 to 8.35)
Male.Pancreas.I.65-69.1.negative,rmst,32,5.74 (3.79 to 7.55),5.74,3.79 to 7.55,3.79,7.55,(3.79 to 7.55)
Female.Pancreas.II.65-69.1.negative,rmst,32,3.3 (2.68 to 4.47),3.3,2.68 to 4.47,2.68,4.47,(2.68 to 4.47)
Male.Pancreas.II.65-69.1.negative,rmst,32,3.32 (2.61 to 4.33),3.32,2.61 to 4.33,2.61,4.33,(2.61 to 4.33)
Female.Pancreas.III.65-69.1.negative,rmst,32,1.54 (1.29 to 2.23),1.54,1.29 to 2.23,1.29,2.23,(1.29 to 2.23)
Male.Pancreas.III.65-69.1.negative,rmst,32,1.55 (1.3 to 2.32),1.55,1.3 to 2.32,1.3,2.32,(1.3 to 2.32)
Female.Pancreas.IV.65-69.1.negative,rmst,32,0.58 (0.53 to 0.74),0.58,0.53 to 0.74,0.53,0.74,(0.53 to 0.74)
Male.Pancreas.IV.65-69.1.negative,rmst,32,0.58 (0.53 to 0.72),0.58,0.53 to 0.72,0.53,0.72,(0.53 to 0.72)
Female.Pancreas.I.70-74.1.negative,rmst,27,4.32 (3.09 to 5.49),4.32,3.09 to 5.49,3.09,5.49,(3.09 to 5.49)
Male.Pancreas.I.70-74.1.negative,rmst,27,4.1 (2.99 to 5.08),4.1,2.99 to 5.08,2.99,5.08,(2.99 to 5.08)
Female.Pancreas.II.70-74.1.negative,rmst,27,2.64 (2.23 to 3.38),2.64,2.23 to 3.38,2.23,3.38,(2.23 to 3.38)
Male.Pancreas.II.70-74.1.negative,rmst,27,2.62 (2.23 to 3.22),2.62,2.23 to 3.22,2.23,3.22,(2.23 to 3.22)
Female.Pancreas.III.70-74.1.negative,rmst,27,1.47 (1.18 to 2.07),1.47,1.18 to 2.07,1.18,2.07,(1.18 to 2.07)
Male.Pancreas.III.70-74.1.negative,rmst,27,1.47 (1.16 to 1.95),1.47,1.16 to 1.95,1.16,1.95,(1.16 to 1.95)
Female.Pancreas.IV.70-74.1.negative,rmst,27,0.5 (0.44 to 0.65),0.5,0.44 to 0.65,0.44,0.65,(0.44 to 0.65)
Male.Pancreas.IV.70-74.1.negative,rmst,27,0.5 (0.44 to 0.64),0.5,0.44 to 0.64,0.44,0.64,(0.44 to 0.64)
Female.Pancreas.I.75-79.1.negative,rmst,22,2.78 (1.96 to 3.63),2.78,1.96 to 3.63,1.96,3.63,(1.96 to 3.63)
Male.Pancreas.I.75-79.1.negative,rmst,22,2.63 (1.99 to 3.23),2.63,1.99 to 3.23,1.99,3.23,(1.99 to 3.23)
Female.Pancreas.II.75-79.1.negative,rmst,22,2.68 (2.09 to 3.34),2.68,2.09 to 3.34,2.09,3.34,(2.09 to 3.34)
Male.Pancreas.II.75-79.1.negative,rmst,22,2.66 (2.13 to 3.23),2.66,2.13 to 3.23,2.13,3.23,(2.13 to 3.23)
Female.Pancreas.III.75-79.1.negative,rmst,22,1.28 (1.01 to 1.78),1.28,1.01 to 1.78,1.01,1.78,(1.01 to 1.78)
Male.Pancreas.III.75-79.1.negative,rmst,22,1.27 (1.02 to 1.72),1.27,1.02 to 1.72,1.02,1.72,(1.02 to 1.72)
Female.Pancreas.IV.75-79.1.negative,rmst,22,0.45 (0.39 to 0.53),0.45,0.39 to 0.53,0.39,0.53,(0.39 to 0.53)
Male.Pancreas.IV.75-79.1.negative,rmst,22,0.45 (0.39 to 0.51),0.45,0.39 to 0.51,0.39,0.51,(0.39 to 0.51)
Female.Pancreas.I.50-54.1.5.negative,rmst,47,14.5 (8.08 to 23.15),14.5,8.08 to 23.15,8.08,23.15,(8.08 to 23.15)
Male.Pancreas.I.50-54.1.5.negative,rmst,47,14.75 (7.81 to 21.89),14.75,7.81 to 21.89,7.81,21.89,(7.81 to 21.89)
Female.Pancreas.II.50-54.1.5.negative,rmst,47,4.92 (3.54 to 8.2),4.92,3.54 to 8.2,3.54,8.2,(3.54 to 8.2)
Male.Pancreas.II.50-54.1.5.negative,rmst,47,5.05 (3.54 to 8.39),5.05,3.54 to 8.39,3.54,8.39,(3.54 to 8.39)
Female.Pancreas.III.50-54.1.5.negative,rmst,47,3.06 (2.27 to 6.53),3.06,2.27 to 6.53,2.27,6.53,(2.27 to 6.53)
Male.Pancreas.III.50-54.1.5.negative,rmst,47,3.12 (2.21 to 6.51),3.12,2.21 to 6.51,2.21,6.51,(2.21 to 6.51)
Female.Pancreas.IV.50-54.1.5.negative,rmst,47,2.47 (1.56 to 5.25),2.47,1.56 to 5.25,1.56,5.25,(1.56 to 5.25)
Male.Pancreas.IV.50-54.1.5.negative,rmst,47,2.42 (1.53 to 5),2.42,1.53 to 5,1.53,5,(1.53 to 5)
Female.Pancreas.I.55-59.1.5.negative,rmst,42,11.42 (5.91 to 18.68),11.42,5.91 to 18.68,5.91,18.68,(5.91 to 18.68)
Male.Pancreas.I.55-59.1.5.negative,rmst,42,11.25 (6.01 to 17.67),11.25,6.01 to 17.67,6.01,17.67,(6.01 to 17.67)
