characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male.Prostate.I.50-54.1.negative,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.II.50-54.1.negative,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.III.50-54.1.negative,rmst,47,28.8 (28.33 to 28.8),28.8,28.33 to 28.8,28.33,28.8,(28.33 to 28.8)
Male.Prostate.IV.50-54.1.negative,rmst,47,9.78 (7.01 to 14.14),9.78,7.01 to 14.14,7.01,14.14,(7.01 to 14.14)
Male.Prostate.I.55-59.1.negative,rmst,42,24.46 (24.45 to 24.46),24.46,24.45 to 24.46,24.45,24.46,(24.45 to 24.46)
Male.Prostate.II.55-59.1.negative,rmst,42,24.46 (24.45 to 24.46),24.46,24.45 to 24.46,24.45,24.46,(24.45 to 24.46)
Male.Prostate.III.55-59.1.negative,rmst,42,24.46 (24.42 to 24.46),24.46,24.42 to 24.46,24.42,24.46,(24.42 to 24.46)
Male.Prostate.IV.55-59.1.negative,rmst,42,7.26 (6.21 to 8.89),7.26,6.21 to 8.89,6.21,8.89,(6.21 to 8.89)
Male.Prostate.II.60-64.1.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.III.60-64.1.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.IV.60-64.1.negative,rmst,37,8.33 (7.36 to 9.54),8.33,7.36 to 9.54,7.36,9.54,(7.36 to 9.54)
Male.Prostate.III.65-69.1.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.Prostate.IV.65-69.1.negative,rmst,32,7.93 (7.32 to 8.6),7.93,7.32 to 8.6,7.32,8.6,(7.32 to 8.6)
Male.Prostate.III.70-74.1.negative,rmst,27,12.8 (12.8 to 12.8),12.8,12.8 to 12.8,12.8,12.8,(12.8 to 12.8)
Male.Prostate.IV.70-74.1.negative,rmst,27,7 (6.49 to 7.56),7,6.49 to 7.56,6.49,7.56,(6.49 to 7.56)
Male.Prostate.II.75-79.1.negative,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.Prostate.IV.75-79.1.negative,rmst,22,6.04 (5.67 to 6.47),6.04,5.67 to 6.47,5.67,6.47,(5.67 to 6.47)
Male.Prostate.I.50-54.1.5.negative,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.II.50-54.1.5.negative,rmst,47,28.8 (28.79 to 28.8),28.8,28.79 to 28.8,28.79,28.8,(28.79 to 28.8)
Male.Prostate.III.50-54.1.5.negative,rmst,47,28.8 (21.05 to 28.8),28.8,21.05 to 28.8,21.05,28.8,(21.05 to 28.8)
Male.Prostate.IV.50-54.1.5.negative,rmst,47,13.36 (9.05 to 18.58),13.36,9.05 to 18.58,9.05,18.58,(9.05 to 18.58)
Male.Prostate.I.55-59.1.5.negative,rmst,42,24.46 (24.45 to 24.46),24.46,24.45 to 24.46,24.45,24.46,(24.45 to 24.46)
Male.Prostate.II.55-59.1.5.negative,rmst,42,24.46 (24.45 to 24.46),24.46,24.45 to 24.46,24.45,24.46,(24.45 to 24.46)
Male.Prostate.III.55-59.1.5.negative,rmst,42,24.46 (24.41 to 24.46),24.46,24.41 to 24.46,24.41,24.46,(24.41 to 24.46)
Male.Prostate.IV.55-59.1.5.negative,rmst,42,9.45 (7.74 to 11.87),9.45,7.74 to 11.87,7.74,11.87,(7.74 to 11.87)
Male.Prostate.II.60-64.1.5.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.III.60-64.1.5.negative,rmst,37,20.32 (20.31 to 20.32),20.32,20.31 to 20.32,20.31,20.32,(20.31 to 20.32)
Male.Prostate.IV.60-64.1.5.negative,rmst,37,10.6 (9.27 to 12.06),10.6,9.27 to 12.06,9.27,12.06,(9.27 to 12.06)
Male.Prostate.III.65-69.1.5.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.Prostate.IV.65-69.1.5.negative,rmst,32,9.97 (9.1 to 10.93),9.97,9.1 to 10.93,9.1,10.93,(9.1 to 10.93)
Male.Prostate.III.70-74.1.5.negative,rmst,27,12.8 (12.8 to 12.8),12.8,12.8 to 12.8,12.8,12.8,(12.8 to 12.8)
Male.Prostate.IV.70-74.1.5.negative,rmst,27,8.76 (8.03 to 9.44),8.76,8.03 to 9.44,8.03,9.44,(8.03 to 9.44)
Male.Prostate.II.75-79.1.5.negative,rmst,22,9.59 (9.58 to 9.59),9.59,9.58 to 9.59,9.58,9.59,(9.58 to 9.59)
Male.Prostate.IV.75-79.1.5.negative,rmst,22,7.64 (7.02 to 8.12),7.64,7.02 to 8.12,7.02,8.12,(7.02 to 8.12)
Male.Prostate.I.50-54.3.negative,rmst,47,28.8 (28.79 to 28.8),28.8,28.79 to 28.8,28.79,28.8,(28.79 to 28.8)
Male.Prostate.II.50-54.3.negative,rmst,47,28.8 (28.77 to 28.8),28.8,28.77 to 28.8,28.77,28.8,(28.77 to 28.8)
Male.Prostate.III.50-54.3.negative,rmst,47,28.8 (28.58 to 28.8),28.8,28.58 to 28.8,28.58,28.8,(28.58 to 28.8)
Male.Prostate.IV.50-54.3.negative,rmst,47,19.29 (13.41 to 24.13),19.29,13.41 to 24.13,13.41,24.13,(13.41 to 24.13)
Male.Prostate.I.55-59.3.negative,rmst,42,24.46 (24.45 to 24.46),24.46,24.45 to 24.46,24.45,24.46,(24.45 to 24.46)
Male.Prostate.II.55-59.3.negative,rmst,42,24.46 (24.44 to 24.46),24.46,24.44 to 24.46,24.44,24.46,(24.44 to 24.46)
Male.Prostate.III.55-59.3.negative,rmst,42,24.46 (24.42 to 24.46),24.46,24.42 to 24.46,24.42,24.46,(24.42 to 24.46)
Male.Prostate.IV.55-59.3.negative,rmst,42,14.5 (11.28 to 18.92),14.5,11.28 to 18.92,11.28,18.92,(11.28 to 18.92)
