characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Sarcoma.I.50-54.1.negative,rmst,47,26.45 (17.82 to 30.06),26.45,17.82 to 30.06,17.82,30.06,(17.82 to 30.06)
Male.Sarcoma.I.50-54.1.negative,rmst,47,25.22 (17.39 to 27.91),25.22,17.39 to 27.91,17.39,27.91,(17.39 to 27.91)
Female.Sarcoma.II.50-54.1.negative,rmst,47,13.9 (8.77 to 21.58),13.9,8.77 to 21.58,8.77,21.58,(8.77 to 21.58)
Male.Sarcoma.II.50-54.1.negative,rmst,47,13.84 (8.72 to 20.64),13.84,8.72 to 20.64,8.72,20.64,(8.72 to 20.64)
Female.Sarcoma.III.50-54.1.negative,rmst,47,6.98 (4.33 to 14.33),6.98,4.33 to 14.33,4.33,14.33,(4.33 to 14.33)
Male.Sarcoma.III.50-54.1.negative,rmst,47,7.1 (4.28 to 13.52),7.1,4.28 to 13.52,4.28,13.52,(4.28 to 13.52)
Female.Sarcoma.IV.50-54.1.negative,rmst,47,2.99 (1.81 to 6.36),2.99,1.81 to 6.36,1.81,6.36,(1.81 to 6.36)
Male.Sarcoma.IV.50-54.1.negative,rmst,47,2.76 (1.73 to 6.35),2.76,1.73 to 6.35,1.73,6.35,(1.73 to 6.35)
Female.Sarcoma.I.55-59.1.negative,rmst,42,22.74 (16.64 to 25.93),22.74,16.64 to 25.93,16.64,25.93,(16.64 to 25.93)
Male.Sarcoma.I.55-59.1.negative,rmst,42,21.61 (16.76 to 23.7),21.61,16.76 to 23.7,16.76,23.7,(16.76 to 23.7)
Female.Sarcoma.II.55-59.1.negative,rmst,42,14.36 (9.7 to 20.34),14.36,9.7 to 20.34,9.7,20.34,(9.7 to 20.34)
Male.Sarcoma.II.55-59.1.negative,rmst,42,13.57 (9.41 to 19.16),13.57,9.41 to 19.16,9.41,19.16,(9.41 to 19.16)
Female.Sarcoma.III.55-59.1.negative,rmst,42,9.82 (5.69 to 16.23),9.82,5.69 to 16.23,5.69,16.23,(5.69 to 16.23)
Male.Sarcoma.III.55-59.1.negative,rmst,42,9.27 (5.61 to 15.22),9.27,5.61 to 15.22,5.61,15.22,(5.61 to 15.22)
