characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Stomach.I.50-54.1.negative,rmst,47,17.32 (8.34 to 26.46),17.32,8.34 to 26.46,8.34,26.46,(8.34 to 26.46)
Male.Stomach.I.50-54.1.negative,rmst,47,16.86 (8.17 to 24.59),16.86,8.17 to 24.59,8.17,24.59,(8.17 to 24.59)
Female.Stomach.II.50-54.1.negative,rmst,47,12.31 (6.13 to 17.93),12.31,6.13 to 17.93,6.13,17.93,(6.13 to 17.93)
Male.Stomach.II.50-54.1.negative,rmst,47,11.71 (6.44 to 17.49),11.71,6.44 to 17.49,6.44,17.49,(6.44 to 17.49)
Female.Stomach.III.50-54.1.negative,rmst,47,6.25 (4.03 to 10.82),6.25,4.03 to 10.82,4.03,10.82,(4.03 to 10.82)
Male.Stomach.III.50-54.1.negative,rmst,47,6.13 (3.86 to 10.92),6.13,3.86 to 10.92,3.86,10.92,(3.86 to 10.92)
Female.Stomach.IV.50-54.1.negative,rmst,47,1.18 (0.96 to 1.9),1.18,0.96 to 1.9,0.96,1.9,(0.96 to 1.9)
Male.Stomach.IV.50-54.1.negative,rmst,47,1.17 (0.96 to 1.84),1.17,0.96 to 1.84,0.96,1.84,(0.96 to 1.84)
Female.Stomach.I.55-59.1.negative,rmst,42,12 (7.74 to 18.71),12,7.74 to 18.71,7.74,18.71,(7.74 to 18.71)
Male.Stomach.I.55-59.1.negative,rmst,42,12.11 (7.8 to 17.89),12.11,7.8 to 17.89,7.8,17.89,(7.8 to 17.89)
Female.Stomach.II.55-59.1.negative,rmst,42,8.4 (5.52 to 13),8.4,5.52 to 13,5.52,13,(5.52 to 13)
Male.Stomach.II.55-59.1.negative,rmst,42,8.35 (5.44 to 12.96),8.35,5.44 to 12.96,5.44,12.96,(5.44 to 12.96)
Female.Stomach.III.55-59.1.negative,rmst,42,5.35 (3.41 to 10.17),5.35,3.41 to 10.17,3.41,10.17,(3.41 to 10.17)
Male.Stomach.III.55-59.1.negative,rmst,42,5.38 (3.62 to 9.12),5.38,3.62 to 9.12,3.62,9.12,(3.62 to 9.12)
Female.Stomach.IV.55-59.1.negative,rmst,42,1.85 (1.19 to 2.87),1.85,1.19 to 2.87,1.19,2.87,(1.19 to 2.87)
Male.Stomach.IV.55-59.1.negative,rmst,42,1.83 (1.2 to 2.76),1.83,1.2 to 2.76,1.2,2.76,(1.2 to 2.76)
Female.Stomach.I.60-64.1.negative,rmst,37,10.43 (6.8 to 14.61),10.43,6.8 to 14.61,6.8,14.61,(6.8 to 14.61)
Male.Stomach.I.60-64.1.negative,rmst,37,10.33 (6.96 to 14.44),10.33,6.96 to 14.44,6.96,14.44,(6.96 to 14.44)
Female.Stomach.II.60-64.1.negative,rmst,37,4.63 (3.55 to 6.66),4.63,3.55 to 6.66,3.55,6.66,(3.55 to 6.66)
Male.Stomach.II.60-64.1.negative,rmst,37,4.68 (3.64 to 6.57),4.68,3.64 to 6.57,3.64,6.57,(3.64 to 6.57)
Female.Stomach.III.60-64.1.negative,rmst,37,4.85 (3.39 to 7.38),4.85,3.39 to 7.38,3.39,7.38,(3.39 to 7.38)
Male.Stomach.III.60-64.1.negative,rmst,37,4.75 (3.41 to 7.13),4.75,3.41 to 7.13,3.41,7.13,(3.41 to 7.13)
Female.Stomach.IV.60-64.1.negative,rmst,37,1.2 (0.94 to 1.94),1.2,0.94 to 1.94,0.94,1.94,(0.94 to 1.94)
Male.Stomach.IV.60-64.1.negative,rmst,37,1.2 (0.96 to 1.87),1.2,0.96 to 1.87,0.96,1.87,(0.96 to 1.87)
Female.Stomach.I.65-69.1.negative,rmst,32,14.5 (10.69 to 16.22),14.5,10.69 to 16.22,10.69,16.22,(10.69 to 16.22)
Male.Stomach.I.65-69.1.negative,rmst,32,13.66 (10.97 to 15.21),13.66,10.97 to 15.21,10.97,15.21,(10.97 to 15.21)
Female.Stomach.II.65-69.1.negative,rmst,32,8.69 (6.4 to 10.29),8.69,6.4 to 10.29,6.4,10.29,(6.4 to 10.29)
Male.Stomach.II.65-69.1.negative,rmst,32,8.17 (6.15 to 9.56),8.17,6.15 to 9.56,6.15,9.56,(6.15 to 9.56)
Female.Stomach.III.65-69.1.negative,rmst,32,4.81 (3.75 to 6.31),4.81,3.75 to 6.31,3.75,6.31,(3.75 to 6.31)
Male.Stomach.III.65-69.1.negative,rmst,32,4.74 (3.67 to 6.12),4.74,3.67 to 6.12,3.67,6.12,(3.67 to 6.12)
Female.Stomach.IV.65-69.1.negative,rmst,32,1.12 (0.92 to 1.56),1.12,0.92 to 1.56,0.92,1.56,(0.92 to 1.56)
