characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Thyroid.I.50-54.1.negative,rmst,47,31.64 (31.44 to 31.64),31.64,31.44 to 31.64,31.44,31.64,(31.44 to 31.64)
Male.Thyroid.I.50-54.1.negative,rmst,47,28.8 (28.62 to 28.8),28.8,28.62 to 28.8,28.62,28.8,(28.62 to 28.8)
Female.Thyroid.II.50-54.1.negative,rmst,47,31.64 (31.01 to 31.64),31.64,31.01 to 31.64,31.01,31.64,(31.01 to 31.64)
Male.Thyroid.II.50-54.1.negative,rmst,47,28.8 (28.43 to 28.8),28.8,28.43 to 28.8,28.43,28.8,(28.43 to 28.8)
Female.Thyroid.IV.50-54.1.negative,rmst,47,22.36 (14.27 to 27.65),22.36,14.27 to 27.65,14.27,27.65,(14.27 to 27.65)
Male.Thyroid.IV.50-54.1.negative,rmst,47,21.74 (14.25 to 25.49),21.74,14.25 to 25.49,14.25,25.49,(14.25 to 25.49)
Female.Thyroid.I.55-59.1.negative,rmst,42,27.11 (26.21 to 27.11),27.11,26.21 to 27.11,26.21,27.11,(26.21 to 27.11)
Male.Thyroid.I.55-59.1.negative,rmst,42,24.46 (24 to 24.46),24.46,24 to 24.46,24,24.46,(24 to 24.46)
Female.Thyroid.III.55-59.1.negative,rmst,42,27.11 (19.24 to 27.11),27.11,19.24 to 27.11,19.24,27.11,(19.24 to 27.11)
Male.Thyroid.III.55-59.1.negative,rmst,42,24.46 (22.75 to 24.46),24.46,22.75 to 24.46,22.75,24.46,(22.75 to 24.46)
Female.Thyroid.IV.55-59.1.negative,rmst,42,17.21 (11.3 to 21.09),17.21,11.3 to 21.09,11.3,21.09,(11.3 to 21.09)
Male.Thyroid.IV.55-59.1.negative,rmst,42,16.04 (10.9 to 19.28),16.04,10.9 to 19.28,10.9,19.28,(10.9 to 19.28)
Female.Thyroid.II.60-64.1.negative,rmst,37,22.74 (22.38 to 22.74),22.74,22.38 to 22.74,22.38,22.74,(22.38 to 22.74)
