characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Urothelial Tract.I.50-54.1.negative,rmst,47,30.89 (6.05 to 31.64),30.89,6.05 to 31.64,6.05,31.64,(6.05 to 31.64)
Male.Urothelial Tract.I.50-54.1.negative,rmst,47,28.8 (6.93 to 28.8),28.8,6.93 to 28.8,6.93,28.8,(6.93 to 28.8)
Female.Urothelial Tract.II.50-54.1.negative,rmst,47,27.03 (8.49 to 31.64),27.03,8.49 to 31.64,8.49,31.64,(8.49 to 31.64)
Male.Urothelial Tract.II.50-54.1.negative,rmst,47,28.54 (10.77 to 28.8),28.54,10.77 to 28.8,10.77,28.8,(10.77 to 28.8)
Female.Urothelial Tract.III.50-54.1.negative,rmst,47,13.76 (5.68 to 26.2),13.76,5.68 to 26.2,5.68,26.2,(5.68 to 26.2)
Male.Urothelial Tract.III.50-54.1.negative,rmst,47,13.46 (5.91 to 23.97),13.46,5.91 to 23.97,5.91,23.97,(5.91 to 23.97)
Female.Urothelial Tract.IV.50-54.1.negative,rmst,47,2.09 (1.42 to 4.38),2.09,1.42 to 4.38,1.42,4.38,(1.42 to 4.38)
Male.Urothelial Tract.IV.50-54.1.negative,rmst,47,2.08 (1.43 to 4.29),2.08,1.43 to 4.29,1.43,4.29,(1.43 to 4.29)
Female.Urothelial Tract.I.55-59.1.negative,rmst,42,23.01 (12.89 to 27.11),23.01,12.89 to 27.11,12.89,27.11,(12.89 to 27.11)
Male.Urothelial Tract.I.55-59.1.negative,rmst,42,24.31 (14.63 to 24.46),24.31,14.63 to 24.46,14.63,24.46,(14.63 to 24.46)
Female.Urothelial Tract.III.55-59.1.negative,rmst,42,14 (7.82 to 22.16),14,7.82 to 22.16,7.82,22.16,(7.82 to 22.16)
Male.Urothelial Tract.III.55-59.1.negative,rmst,42,13.78 (7.75 to 20.9),13.78,7.75 to 20.9,7.75,20.9,(7.75 to 20.9)
Female.Urothelial Tract.IV.55-59.1.negative,rmst,42,4.84 (2.47 to 9.7),4.84,2.47 to 9.7,2.47,9.7,(2.47 to 9.7)
Male.Urothelial Tract.IV.55-59.1.negative,rmst,42,4.72 (2.31 to 9.58),4.72,2.31 to 9.58,2.31,9.58,(2.31 to 9.58)
Female.Urothelial Tract.I.60-64.1.negative,rmst,37,17.23 (12.36 to 21.2),17.23,12.36 to 21.2,12.36,21.2,(12.36 to 21.2)
Male.Urothelial Tract.I.60-64.1.negative,rmst,37,16.48 (12.08 to 19.64),16.48,12.08 to 19.64,12.08,19.64,(12.08 to 19.64)
Female.Urothelial Tract.II.60-64.1.negative,rmst,37,13.51 (5.78 to 22.25),13.51,5.78 to 22.25,5.78,22.25,(5.78 to 22.25)
Male.Urothelial Tract.II.60-64.1.negative,rmst,37,15.91 (7.66 to 20.32),15.91,7.66 to 20.32,7.66,20.32,(7.66 to 20.32)
Female.Urothelial Tract.III.60-64.1.negative,rmst,37,9.37 (5.95 to 15.26),9.37,5.95 to 15.26,5.95,15.26,(5.95 to 15.26)
Male.Urothelial Tract.III.60-64.1.negative,rmst,37,9.28 (5.92 to 14.54),9.28,5.92 to 14.54,5.92,14.54,(5.92 to 14.54)
Female.Urothelial Tract.IV.60-64.1.negative,rmst,37,1.63 (1.18 to 3.18),1.63,1.18 to 3.18,1.18,3.18,(1.18 to 3.18)
Male.Urothelial Tract.IV.60-64.1.negative,rmst,37,1.66 (1.21 to 3.27),1.66,1.21 to 3.27,1.21,3.27,(1.21 to 3.27)
Female.Urothelial Tract.I.65-69.1.negative,rmst,32,15.35 (8.34 to 17.91),15.35,8.34 to 17.91,8.34,17.91,(8.34 to 17.91)
Male.Urothelial Tract.I.65-69.1.negative,rmst,32,15.44 (8.8 to 16.43),15.44,8.8 to 16.43,8.8,16.43,(8.8 to 16.43)
Female.Urothelial Tract.II.65-69.1.negative,rmst,32,11.83 (7.18 to 17.87),11.83,7.18 to 17.87,7.18,17.87,(7.18 to 17.87)
Male.Urothelial Tract.II.65-69.1.negative,rmst,32,14.45 (7.58 to 16.43),14.45,7.58 to 16.43,7.58,16.43,(7.58 to 16.43)
Female.Urothelial Tract.III.65-69.1.negative,rmst,32,7.01 (4.66 to 10.58),7.01,4.66 to 10.58,4.66,10.58,(4.66 to 10.58)
Male.Urothelial Tract.III.65-69.1.negative,rmst,32,6.88 (4.92 to 10.02),6.88,4.92 to 10.02,4.92,10.02,(4.92 to 10.02)
Female.Urothelial Tract.IV.65-69.1.negative,rmst,32,2.65 (1.76 to 4.25),2.65,1.76 to 4.25,1.76,4.25,(1.76 to 4.25)
Male.Urothelial Tract.IV.65-69.1.negative,rmst,32,2.67 (1.8 to 4.23),2.67,1.8 to 4.23,1.8,4.23,(1.8 to 4.23)
Female.Urothelial Tract.I.70-74.1.negative,rmst,27,14.43 (12.37 to 14.6),14.43,12.37 to 14.6,12.37,14.6,(12.37 to 14.6)
Male.Urothelial Tract.I.70-74.1.negative,rmst,27,12.8 (11.99 to 12.8),12.8,11.99 to 12.8,11.99,12.8,(11.99 to 12.8)
Female.Urothelial Tract.II.70-74.1.negative,rmst,27,10.29 (6.93 to 13.31),10.29,6.93 to 13.31,6.93,13.31,(6.93 to 13.31)
Male.Urothelial Tract.II.70-74.1.negative,rmst,27,11.79 (7.6 to 12.8),11.79,7.6 to 12.8,7.6,12.8,(7.6 to 12.8)
Female.Urothelial Tract.III.70-74.1.negative,rmst,27,7.49 (5.44 to 9.4),7.49,5.44 to 9.4,5.44,9.4,(5.44 to 9.4)
Male.Urothelial Tract.III.70-74.1.negative,rmst,27,7.16 (5.26 to 8.83),7.16,5.26 to 8.83,5.26,8.83,(5.26 to 8.83)
Female.Urothelial Tract.IV.70-74.1.negative,rmst,27,2.22 (1.48 to 3.37),2.22,1.48 to 3.37,1.48,3.37,(1.48 to 3.37)
Male.Urothelial Tract.IV.70-74.1.negative,rmst,27,2.15 (1.46 to 3.06),2.15,1.46 to 3.06,1.46,3.06,(1.46 to 3.06)
Female.Urothelial Tract.I.75-79.1.negative,rmst,22,11 (8.7 to 11),11,8.7 to 11,8.7,11,(8.7 to 11)
Male.Urothelial Tract.I.75-79.1.negative,rmst,22,9.59 (8.55 to 9.59),9.59,8.55 to 9.59,8.55,9.59,(8.55 to 9.59)
Female.Urothelial Tract.II.75-79.1.negative,rmst,22,9.04 (6.62 to 11),9.04,6.62 to 11,6.62,11,(6.62 to 11)
Male.Urothelial Tract.II.75-79.1.negative,rmst,22,9.56 (7.29 to 9.59),9.56,7.29 to 9.59,7.29,9.59,(7.29 to 9.59)
Female.Urothelial Tract.III.75-79.1.negative,rmst,22,6.79 (5.01 to 8.18),6.79,5.01 to 8.18,5.01,8.18,(5.01 to 8.18)
Male.Urothelial Tract.III.75-79.1.negative,rmst,22,6.51 (5.19 to 7.73),6.51,5.19 to 7.73,5.19,7.73,(5.19 to 7.73)
Female.Urothelial Tract.IV.75-79.1.negative,rmst,22,1.31 (1.08 to 1.91),1.31,1.08 to 1.91,1.08,1.91,(1.08 to 1.91)
Male.Urothelial Tract.IV.75-79.1.negative,rmst,22,1.32 (1.07 to 1.82),1.32,1.07 to 1.82,1.07,1.82,(1.07 to 1.82)
Female.Urothelial Tract.I.50-54.1.5.negative,rmst,47,31.53 (6.73 to 31.64),31.53,6.73 to 31.64,6.73,31.64,(6.73 to 31.64)
Male.Urothelial Tract.I.50-54.1.5.negative,rmst,47,28.8 (6.71 to 28.8),28.8,6.71 to 28.8,6.71,28.8,(6.71 to 28.8)
Female.Urothelial Tract.II.50-54.1.5.negative,rmst,47,27.61 (9.27 to 31.64),27.61,9.27 to 31.64,9.27,31.64,(9.27 to 31.64)
Male.Urothelial Tract.II.50-54.1.5.negative,rmst,47,28.06 (9.2 to 28.8),28.06,9.2 to 28.8,9.2,28.8,(9.2 to 28.8)
Female.Urothelial Tract.III.50-54.1.5.negative,rmst,47,14.2 (5.4 to 25.84),14.2,5.4 to 25.84,5.4,25.84,(5.4 to 25.84)
Male.Urothelial Tract.III.50-54.1.5.negative,rmst,47,13.77 (5.55 to 23.77),13.77,5.55 to 23.77,5.55,23.77,(5.55 to 23.77)
Female.Urothelial Tract.IV.50-54.1.5.negative,rmst,47,3.13 (1.96 to 8.5),3.13,1.96 to 8.5,1.96,8.5,(1.96 to 8.5)
Male.Urothelial Tract.IV.50-54.1.5.negative,rmst,47,3.08 (1.91 to 8.06),3.08,1.91 to 8.06,1.91,8.06,(1.91 to 8.06)
Female.Urothelial Tract.I.55-59.1.5.negative,rmst,42,24.38 (13.24 to 27.11),24.38,13.24 to 27.11,13.24,27.11,(13.24 to 27.11)
Male.Urothelial Tract.I.55-59.1.5.negative,rmst,42,24.17 (13.95 to 24.46),24.17,13.95 to 24.46,13.95,24.46,(13.95 to 24.46)
Female.Urothelial Tract.III.55-59.1.5.negative,rmst,42,13.88 (7.57 to 22.28),13.88,7.57 to 22.28,7.57,22.28,(7.57 to 22.28)
Male.Urothelial Tract.III.55-59.1.5.negative,rmst,42,13.92 (7.86 to 20.53),13.92,7.86 to 20.53,7.86,20.53,(7.86 to 20.53)
Female.Urothelial Tract.IV.55-59.1.5.negative,rmst,42,9.43 (4.26 to 15.44),9.43,4.26 to 15.44,4.26,15.44,(4.26 to 15.44)
Male.Urothelial Tract.IV.55-59.1.5.negative,rmst,42,9.37 (4.17 to 14.44),9.37,4.17 to 14.44,4.17,14.44,(4.17 to 14.44)
Female.Urothelial Tract.I.60-64.1.5.negative,rmst,37,17.09 (11.88 to 21.44),17.09,11.88 to 21.44,11.88,21.44,(11.88 to 21.44)
Male.Urothelial Tract.I.60-64.1.5.negative,rmst,37,16.53 (12.36 to 19.42),16.53,12.36 to 19.42,12.36,19.42,(12.36 to 19.42)
Female.Urothelial Tract.II.60-64.1.5.negative,rmst,37,13.35 (5.83 to 21.9),13.35,5.83 to 21.9,5.83,21.9,(5.83 to 21.9)
Male.Urothelial Tract.II.60-64.1.5.negative,rmst,37,16.42 (5.85 to 20.32),16.42,5.85 to 20.32,5.85,20.32,(5.85 to 20.32)
Female.Urothelial Tract.III.60-64.1.5.negative,rmst,37,9.59 (5.82 to 15.63),9.59,5.82 to 15.63,5.82,15.63,(5.82 to 15.63)
Male.Urothelial Tract.III.60-64.1.5.negative,rmst,37,9.37 (6.15 to 13.99),9.37,6.15 to 13.99,6.15,13.99,(6.15 to 13.99)
Female.Urothelial Tract.IV.60-64.1.5.negative,rmst,37,2.48 (1.71 to 4.95),2.48,1.71 to 4.95,1.71,4.95,(1.71 to 4.95)
Male.Urothelial Tract.IV.60-64.1.5.negative,rmst,37,2.47 (1.69 to 4.63),2.47,1.69 to 4.63,1.69,4.63,(1.69 to 4.63)
Female.Urothelial Tract.I.65-69.1.5.negative,rmst,32,15.2 (8.24 to 18.2),15.2,8.24 to 18.2,8.24,18.2,(8.24 to 18.2)
Male.Urothelial Tract.I.65-69.1.5.negative,rmst,32,15.37 (8.94 to 16.43),15.37,8.94 to 16.43,8.94,16.43,(8.94 to 16.43)
Female.Urothelial Tract.II.65-69.1.5.negative,rmst,32,12.19 (6.94 to 17.65),12.19,6.94 to 17.65,6.94,17.65,(6.94 to 17.65)
Male.Urothelial Tract.II.65-69.1.5.negative,rmst,32,13.92 (7.54 to 16.43),13.92,7.54 to 16.43,7.54,16.43,(7.54 to 16.43)
Female.Urothelial Tract.III.65-69.1.5.negative,rmst,32,7.03 (4.75 to 10.59),7.03,4.75 to 10.59,4.75,10.59,(4.75 to 10.59)
Male.Urothelial Tract.III.65-69.1.5.negative,rmst,32,6.96 (4.82 to 10.04),6.96,4.82 to 10.04,4.82,10.04,(4.82 to 10.04)
Female.Urothelial Tract.IV.65-69.1.5.negative,rmst,32,4.95 (3.07 to 7.44),4.95,3.07 to 7.44,3.07,7.44,(3.07 to 7.44)
Male.Urothelial Tract.IV.65-69.1.5.negative,rmst,32,4.8 (3.07 to 6.95),4.8,3.07 to 6.95,3.07,6.95,(3.07 to 6.95)
Female.Urothelial Tract.I.70-74.1.5.negative,rmst,27,14.56 (11.27 to 14.6),14.56,11.27 to 14.6,11.27,14.6,(11.27 to 14.6)
Male.Urothelial Tract.I.70-74.1.5.negative,rmst,27,12.8 (11.74 to 12.8),12.8,11.74 to 12.8,11.74,12.8,(11.74 to 12.8)
Female.Urothelial Tract.II.70-74.1.5.negative,rmst,27,10.27 (6.85 to 13.54),10.27,6.85 to 13.54,6.85,13.54,(6.85 to 13.54)
Male.Urothelial Tract.II.70-74.1.5.negative,rmst,27,11.61 (7.51 to 12.8),11.61,7.51 to 12.8,7.51,12.8,(7.51 to 12.8)
Female.Urothelial Tract.III.70-74.1.5.negative,rmst,27,7.51 (5.21 to 9.53),7.51,5.21 to 9.53,5.21,9.53,(5.21 to 9.53)
Male.Urothelial Tract.III.70-74.1.5.negative,rmst,27,7.14 (5.29 to 8.58),7.14,5.29 to 8.58,5.29,8.58,(5.29 to 8.58)
Female.Urothelial Tract.IV.70-74.1.5.negative,rmst,27,3.49 (2.28 to 5.07),3.49,2.28 to 5.07,2.28,5.07,(2.28 to 5.07)
Male.Urothelial Tract.IV.70-74.1.5.negative,rmst,27,3.42 (2.25 to 4.96),3.42,2.25 to 4.96,2.25,4.96,(2.25 to 4.96)
