characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Female.Uterus.I.50-54.1.negative,rmst,47,31.58 (30.42 to 31.64),31.58,30.42 to 31.64,30.42,31.64,(30.42 to 31.64)
Female.Uterus.II.50-54.1.negative,rmst,47,27.31 (19.41 to 30.78),27.31,19.41 to 30.78,19.41,30.78,(19.41 to 30.78)
Female.Uterus.III.50-54.1.negative,rmst,47,14.73 (10.31 to 22.16),14.73,10.31 to 22.16,10.31,22.16,(10.31 to 22.16)
Female.Uterus.IV.50-54.1.negative,rmst,47,3.02 (2.08 to 6.49),3.02,2.08 to 6.49,2.08,6.49,(2.08 to 6.49)
Female.Uterus.I.55-59.1.negative,rmst,42,26.8 (25.67 to 26.98),26.8,25.67 to 26.98,25.67,26.98,(25.67 to 26.98)
Female.Uterus.II.55-59.1.negative,rmst,42,20.44 (15.86 to 24.38),20.44,15.86 to 24.38,15.86,24.38,(15.86 to 24.38)
Female.Uterus.III.55-59.1.negative,rmst,42,11.54 (8.61 to 16.2),11.54,8.61 to 16.2,8.61,16.2,(8.61 to 16.2)
Female.Uterus.IV.55-59.1.negative,rmst,42,3.55 (2.5 to 6.6),3.55,2.5 to 6.6,2.5,6.6,(2.5 to 6.6)
Female.Uterus.I.60-64.1.negative,rmst,37,22.74 (22.49 to 22.74),22.74,22.49 to 22.74,22.49,22.74,(22.49 to 22.74)
Female.Uterus.II.60-64.1.negative,rmst,37,18.55 (13.32 to 21.23),18.55,13.32 to 21.23,13.32,21.23,(13.32 to 21.23)
Female.Uterus.III.60-64.1.negative,rmst,37,8.69 (6.49 to 11.94),8.69,6.49 to 11.94,6.49,11.94,(6.49 to 11.94)
Female.Uterus.IV.60-64.1.negative,rmst,37,3.13 (2.34 to 4.67),3.13,2.34 to 4.67,2.34,4.67,(2.34 to 4.67)
Female.Uterus.I.65-69.1.negative,rmst,32,18.32 (18.03 to 18.45),18.32,18.03 to 18.45,18.03,18.45,(18.03 to 18.45)
Female.Uterus.II.65-69.1.negative,rmst,32,13.69 (11.01 to 16.17),13.69,11.01 to 16.17,11.01,16.17,(11.01 to 16.17)
Female.Uterus.III.65-69.1.negative,rmst,32,7.29 (5.8 to 9.42),7.29,5.8 to 9.42,5.8,9.42,(5.8 to 9.42)
Female.Uterus.IV.65-69.1.negative,rmst,32,3.31 (2.49 to 4.82),3.31,2.49 to 4.82,2.49,4.82,(2.49 to 4.82)
Female.Uterus.I.70-74.1.negative,rmst,27,14.6 (14.51 to 14.6),14.6,14.51 to 14.6,14.51,14.6,(14.51 to 14.6)
Female.Uterus.II.70-74.1.negative,rmst,27,12.45 (8.97 to 13.79),12.45,8.97 to 13.79,8.97,13.79,(8.97 to 13.79)
Female.Uterus.III.70-74.1.negative,rmst,27,6.33 (4.95 to 7.82),6.33,4.95 to 7.82,4.95,7.82,(4.95 to 7.82)
Female.Uterus.IV.70-74.1.negative,rmst,27,2.24 (1.73 to 3.27),2.24,1.73 to 3.27,1.73,3.27,(1.73 to 3.27)
Female.Uterus.I.75-79.1.negative,rmst,22,11 (10.98 to 11),11,10.98 to 11,10.98,11,(10.98 to 11)
Female.Uterus.II.75-79.1.negative,rmst,22,8.71 (6.69 to 10.39),8.71,6.69 to 10.39,6.69,10.39,(6.69 to 10.39)
Female.Uterus.III.75-79.1.negative,rmst,22,5.03 (4.28 to 6.07),5.03,4.28 to 6.07,4.28,6.07,(4.28 to 6.07)
Female.Uterus.IV.75-79.1.negative,rmst,22,2.32 (1.78 to 3.04),2.32,1.78 to 3.04,1.78,3.04,(1.78 to 3.04)
Female.Uterus.I.50-54.1.5.negative,rmst,47,31.64 (30.24 to 31.64),31.64,30.24 to 31.64,30.24,31.64,(30.24 to 31.64)
Female.Uterus.II.50-54.1.5.negative,rmst,47,29.14 (21.52 to 31.64),29.14,21.52 to 31.64,21.52,31.64,(21.52 to 31.64)
Female.Uterus.III.50-54.1.5.negative,rmst,47,17.87 (12.57 to 24.25),17.87,12.57 to 24.25,12.57,24.25,(12.57 to 24.25)
Female.Uterus.IV.50-54.1.5.negative,rmst,47,4.56 (3.02 to 8.87),4.56,3.02 to 8.87,3.02,8.87,(3.02 to 8.87)
Female.Uterus.I.55-59.1.5.negative,rmst,42,26.86 (25.82 to 27.01),26.86,25.82 to 27.01,25.82,27.01,(25.82 to 27.01)
Female.Uterus.II.55-59.1.5.negative,rmst,42,21.94 (17.61 to 25.55),21.94,17.61 to 25.55,17.61,25.55,(17.61 to 25.55)
Female.Uterus.III.55-59.1.5.negative,rmst,42,14.37 (10.97 to 19.51),14.37,10.97 to 19.51,10.97,19.51,(10.97 to 19.51)
Female.Uterus.IV.55-59.1.5.negative,rmst,42,5.44 (3.53 to 10.58),5.44,3.53 to 10.58,3.53,10.58,(3.53 to 10.58)
