"","Gender","Cancer type","Stage","50-54","55-59","60-64","65-69","70-74","75-79"
"1","Female","Anus","I",1,1,1,1,1,1
"2","Female","Anus","II",1,1,1,1,1,1
"3","Female","Anus","III",1,1,1,1,1,1
"4","Female","Anus","IV",1,1,1,1,1,1
"5","Female","Bladder","I",1,1,1,1,1,1
"6","Female","Bladder","II",1,1,1,1,1,1
"7","Female","Bladder","III",1,1,1,1,1,1
"8","Female","Bladder","IV",1,1,1,1,1,1
"9","Female","Breast","I",1,1,1,1,0,1
"10","Female","Breast","II",1,1,1,1,1,1
"11","Female","Breast","III",1,1,1,1,1,1
"12","Female","Breast","IV",1,1,1,1,1,1
"13","Female","Cervix","I",1,1,1,1,1,1
"14","Female","Cervix","II",1,1,1,1,1,1
"15","Female","Cervix","III",1,1,1,1,1,1
"16","Female","Cervix","IV",1,1,1,1,1,1
"17","Female","Colon/Rectum","I",1,1,1,1,1,1
"18","Female","Colon/Rectum","II",1,1,1,1,1,1
"19","Female","Colon/Rectum","III",1,1,1,1,1,1
"20","Female","Colon/Rectum","IV",1,1,1,1,1,1
"21","Female","Esophagus","I",1,1,1,1,1,1
"22","Female","Esophagus","II",1,1,1,1,1,1
"23","Female","Esophagus","III",1,1,1,1,1,1
"24","Female","Esophagus","IV",1,1,1,1,1,1
"25","Female","Gallbladder","I",1,1,1,1,1,1
"26","Female","Gallbladder","II",1,1,1,1,1,1
"27","Female","Gallbladder","III",1,1,1,1,1,1
"28","Female","Gallbladder","IV",1,1,1,1,1,0
"29","Female","Head and Neck","I",1,1,1,1,1,1
"30","Female","Head and Neck","II",1,1,1,1,1,1
"31","Female","Head and Neck","III",1,1,1,1,1,1
"32","Female","Head and Neck","IV",1,1,1,1,1,1
"33","Female","Kidney","I",1,1,1,1,1,1
"34","Female","Kidney","II",1,1,1,1,1,1
"35","Female","Kidney","III",1,1,1,1,1,1
"36","Female","Kidney","IV",1,1,1,1,1,1
"37","Female","Liver/Bile-duct","I",1,1,1,1,1,1
"38","Female","Liver/Bile-duct","II",1,1,1,1,1,1
"39","Female","Liver/Bile-duct","III",1,1,1,1,1,1
"40","Female","Liver/Bile-duct","IV",1,1,1,1,1,1
