"","Cancer type","Stage","50-54","55-59","60-64","65-69","70-74","75-79"
"1","Anus","I",30.205,25.785,21.53,17.5,13.7,10.295
"2","Anus","II",20.875,22.185,19.99,15.355,12.11,10.29
"3","Anus","III",17.09,14.965,15.53,12.71,7.165,7.335
"4","Anus","IV",3.25,2.31,2.73,4.2,2.15,1.785
"5","Bladder","I",23.37,20.665,18.08,15.975,12.61,10.14
"6","Bladder","II",9.115,10.995,10.335,9.34,8.1,5.905
"7","Bladder","III",7.385,12.165,6.96,8.85,7.295,5.155
"8","Bladder","IV",5.78,2.365,2.73,3.145,2.055,1.8
"9","Breast","I",31.64,27.11,22.74,18.57,NA,11
"10","Breast","II",25.98,24.24,20.92,18.57,14.6,11
"11","Breast","III",13.71,19.48,14.72,13.34,10.22,8.12
"12","Breast","IV",5.84,5.02,5.34,4.21,3.44,2.88
"13","Cervix","I",30.68,27.11,21.29,17.13,14.6,9.78
"14","Cervix","II",14.05,15.3,14.58,14.23,5.63,8.63
"15","Cervix","III",5.9,7.41,5.95,6.01,3.79,2.69
"16","Cervix","IV",3.6,2.43,2.74,2.45,2.01,1.48
"17","Colon/Rectum","I",29.655,25.785,21.53,17.455,13.7,10.26
"18","Colon/Rectum","II",21.83,20.94,19.76,15.91,13.305,9.895
"19","Colon/Rectum","III",17.315,14.495,13.395,11.375,10.585,8.09
"20","Colon/Rectum","IV",3.04,2.435,2.62,2.275,2.76,1.51
"21","Esophagus","I",17.745,10.9,9.855,8.905,8.235,6.88
"22","Esophagus","II",8.405,7.34,7.62,5.81,5.285,4.815
"23","Esophagus","III",4.035,3.89,4.025,4.63,3.06,2.85
"24","Esophagus","IV",1.22,1.165,1.29,1.195,1,0.78
"25","Gallbladder","I",12.195,9.31,13.93,7.905,6.435,3.515
"26","Gallbladder","II",5.79,5.63,5.865,5.895,5.745,5.215
"27","Gallbladder","III",3.085,3.29,4.515,3.21,2.26,2.225
"28","Gallbladder","IV",1.01,1.215,0.97,0.875,0.895,NA
"29","Head and Neck","I",18.795,19.675,19.025,17.46,13.7,10.295
"30","Head and Neck","II",24.615,14.87,13.955,13.69,9.165,9.02
"31","Head and Neck","III",15,13.505,12.485,12.115,9.345,7.14
"32","Head and Neck","IV",14.245,11.495,10.395,6.945,5.33,3.75
"33","Kidney","I",29.28,25.59,21.2,17.355,13.7,10.26
"34","Kidney","II",25.48,24.965,20.36,15.81,12.905,9.43
"35","Kidney","III",17.275,15.605,15.7,12.97,11.555,9.45
"36","Kidney","IV",3.87,2.75,2.565,2.41,2.115,1.68
"37","Liver/Bile-duct","I",8.335,6.89,6.14,6.88,6.9,3.675
"38","Liver/Bile-duct","II",4.12,6.08,4.95,4.22,4.51,4.235
"39","Liver/Bile-duct","III",1.795,2.5,2.68,1.97,1.43,1.64
"40","Liver/Bile-duct","IV",1.015,1.01,0.965,0.855,0.805,0.775
"41","Lung","I",16.355,11.77,11.37,10.195,8.145,6.405
"42","Lung","II",7.455,9.305,7.37,5.4,4.655,3.825
"43","Lung","III",3.8,2.945,3.03,2.5,2.105,1.875
"44","Lung","IV",1.52,1.08,1.065,0.89,0.81,0.71
"45","Lymphoma","I",28.31,22.71,19.975,16.335,12.17,9.495
"46","Lymphoma","II",26.05,23.13,18.875,15.515,11.935,8.29
"47","Lymphoma","III",24.68,19.27,14.29,12.305,10.645,6.715
"48","Lymphoma","IV",21.53,17.32,14.145,11.85,9.505,7.075
"49","Melanoma","I",30.22,25.785,21.53,17.5,13.7,10.295
"50","Melanoma","II",17.745,14.24,17.175,13.145,12.73,10.06
"51","Melanoma","III",17.425,13.57,13.095,12.02,9.68,8.54
"52","Melanoma","IV",8.425,3.99,4.59,3.835,4.065,3.74
"53","Ovary","I",25.09,26.21,22.72,18.57,14.6,11
"54","Ovary","II",12.98,14.91,16.92,10.03,11.81,7.47
"55","Ovary","III",6.51,5.04,4.31,4.41,3.44,2.91
"56","Ovary","IV",3.94,3.31,3.56,2.71,2.29,2.09
