Age,Expected remaining QALYs: General population,Absolute criteria met: General population,Expected remaining QALYs: Stage I,Proportional QALY shortfall: Stage I,Absolute criteria met: Stage I,Proportional criteria met: Stage I,Prevalent population: Stage I,Expected remaining QALYs: Stage II,Proportional QALY shortfall: Stage II,Absolute criteria met: Stage II,Proportional criteria met: Stage II,Prevalent population: Stage II,Expected remaining QALYs: Stage III,Proportional QALY shortfall: Stage III,Absolute criteria met: Stage III,Proportional criteria met: Stage III,Prevalent population: Stage III,Expected remaining QALYs: Stage IV,Proportional QALY shortfall: Stage IV,Absolute criteria met: Stage IV,Proportional criteria met: Stage IV,Prevalent population: Stage IV
50,15.926122,Not met,5.413975515,0.660056885,Not met,Not met,83.160969,3.364399402,0.788749615,1.2 criteria met,Not met,67.108587,1.931495705,0.87872153,1.2 criteria met,1.2 criteria met,74.421465,0.774994806,0.951338135,1.2 criteria met,1.7 criteria met,83.02675
51,15.62654651,Not met,5.411536981,0.653695909,Not met,Not met,83.007364,3.363833737,0.784735947,1.2 criteria met,Not met,67.052446,1.931313852,0.876408146,1.2 criteria met,1.2 criteria met,74.393574,0.774996793,0.950405114,1.2 criteria met,1.7 criteria met,83.02175
52,15.32213115,Not met,5.408828499,0.646992416,Not met,Not met,82.843185,3.363192112,0.780501023,Not met,Not met,66.994927,1.931124783,0.873965001,1.2 criteria met,1.2 criteria met,74.365733,0.774998874,0.949419642,1.2 criteria met,1.2 criteria met,83.01674
53,15.01275443,Not met,5.405842735,0.639916662,Not met,Not met,82.665124,3.362447647,0.776027267,Not met,Not met,66.934889,1.930895455,0.871382999,1.2 criteria met,1.2 criteria met,74.340291,0.775000551,0.948377191,1.2 criteria met,1.2 criteria met,83.01287
54,14.69749507,Not met,5.402647165,0.632410343,Not met,Not met,82.457876,3.361648436,0.771277458,Not met,Not met,66.859255,1.930649322,0.868640927,1.2 criteria met,1.2 criteria met,74.303095,0.775003406,0.947269694,1.2 criteria met,1.2 criteria met,83.00619
55,14.37684605,Not met,4.889940111,0.659873932,Not met,Not met,160.10683,3.096382858,0.784627112,Not met,Not met,137.367777,1.641250658,0.885840702,1.2 criteria met,1.2 criteria met,153.893361,0.516063947,0.964104509,1.2 criteria met,1.7 criteria met,168.21613
56,14.05178018,Not met,4.886354769,0.652260802,Not met,Not met,159.672956,3.095462116,0.779710323,Not met,Not met,137.201537,1.640938847,0.883221996,1.2 criteria met,1.2 criteria met,153.82143,0.51606555,0.963274009,1.2 criteria met,1.7 criteria met,168.20495
57,13.72330151,Not met,4.882531444,0.644215975,Not met,Not met,159.176044,3.094524371,0.774505838,Not met,Not met,136.994775,1.640574592,0.880453359,1.2 criteria met,1.2 criteria met,153.723879,0.516067788,0.962394779,1.2 criteria met,1.7 criteria met,168.18899
58,13.39065414,Not met,4.878403222,0.635685966,Not met,Not met,158.628011,3.093607026,0.768972674,Not met,Not met,136.754467,1.640189594,0.877512362,Not met,1.2 criteria met,153.599999,0.516070669,0.961460384,1.2 criteria met,1.7 criteria met,168.16724
59,13.05430127,Not met,4.873886093,0.626645196,Not met,Not met,158.051404,3.092656633,0.763092902,Not met,Not met,136.503298,1.639820759,0.87438464,Not met,1.2 criteria met,153.463553,0.51607408,0.960467123,1.2 criteria met,1.7 criteria met,168.1415
60,12.71338456,Not met,4.540120247,0.642886579,Not met,Not met,269.275575,2.827760918,0.777576073,Not met,Not met,248.86187,1.57593471,0.876041293,Not met,1.2 criteria met,281.887471,0.474412141,0.962684041,1.2 criteria met,1.7 criteria met,308.13969
61,12.36937077,Not met,4.535535371,0.633325296,Not met,Not met,268.280128,2.826654626,0.771479514,Not met,Not met,248.411406,1.575545104,0.872625283,Not met,1.2 criteria met,281.656678,0.474414858,0.961645999,Not met,1.7 criteria met,308.09952
62,12.02149293,Not met,4.530487734,0.623134351,Not met,Not met,267.191795,2.825476403,0.7649646,Not met,Not met,247.913141,1.575129095,0.86897392,Not met,1.2 criteria met,281.394072,0.474418055,0.960535845,Not met,1.7 criteria met,308.05261
63,11.67332121,Not met,4.524770053,0.612383659,Not met,Not met,266.021377,2.824192068,0.758064392,Not met,Not met,247.385232,1.574686652,0.865103802,Not met,1.2 criteria met,281.117065,0.474421363,0.959358493,Not met,1.7 criteria met,308.00312
64,11.32155918,Not met,4.518237732,0.600917359,Not met,Not met,264.750684,2.822762295,0.750673715,Not met,Not met,246.823022,1.574214329,0.860954282,Not met,1.2 criteria met,280.823762,0.474424862,0.958095448,Not met,1.7 criteria met,307.95024
65,10.96591253,Not met,4.222736436,0.614921565,Not met,Not met,390.869647,2.495797416,0.772404038,Not met,Not met,374.529681,1.449243815,0.86784102,Not met,1.2 criteria met,429.003266,0.398743404,0.963637919,Not met,1.7 criteria met,471.20318
66,10.60845296,Not met,4.215341333,0.602643161,Not met,Not met,388.711879,2.493885458,0.764915255,Not met,Not met,373.491191,1.448652456,0.863443571,Not met,1.2 criteria met,428.441796,0.398747092,0.962412324,Not met,1.7 criteria met,471.10237
