"","MCED+SoC","SoC"
"LYs_total",18.6796716415633,18.3746980391966
"LYs_total_no_diag",18.2767377700032,18.2767377700032
"LYs_total_diag",19.6348779886043,18.6069254032776
"LYs_pre_diag",12.8549137352322,13.9308359251147
"LYs_post_diag",6.77996425337209,4.67608947816295
"QALYs_total",14.7215074706085,14.4787376901099
"QALYs_total_no_diag",14.5265485164165,14.5265485164165
"QALYs_total_diag",15.2229375282114,14.3918196110662
"QALYs_pre_diag",10.3308521171469,11.1866319494438
"QALYs_post_diag",4.89208541106453,3.20518766162247
"disutility_FP",-0.00952734949310261,-0.00783937218113869
"disutility_misdiag",-0.000243745104589101,0
"disutility_OD",-0.00187506958560619,0
"diagnosed_total",29668.0612238288,29668.0612238288
"diagnosed_1",20902.4598729944,9154.00912128918
"diagnosed_2",4453.44352339301,5946.18294076853
"diagnosed_3",2570.70760987104,6117.71790495179
"diagnosed_4",1741.45021757032,8450.15125681927
"overdiagnosed_total",1004.31300364707,0
"overdiagnosed_1",834.96258239449,0
"overdiagnosed_2",120.563529326653,0
"overdiagnosed_3",48.7868919259266,0
"overdiagnosed_4",0,0
"total_FPs",61253.4724637002,50966.8874552207
"total_misdiagnosed",1942.62331396338,0
"deaths_total",10253.4309557235,14793.0471146753
"deaths_1",5324.86909676528,2322.2789877508
"deaths_2",1871.3646971051,2223.13595796405
"deaths_3",1520.8777311264,3288.39059562776
"deaths_4",1536.31943072669,6959.24157333272
"costs_total",57816.9742527224,56732.9099244683
"costs_total_screen",14104.7696767655,229.621054068069
"costs_screen_pre_diag",14104.7696767655,229.621054068069
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",41221.6064336022,54502.3683832403
"costs_cancer_tx_1",24591.2844574968,7946.29487835615
"costs_cancer_tx_2",7736.4031179444,8748.12829734915
"costs_cancer_tx_3",5413.68858590267,12767.332960364
"costs_cancer_tx_4",3480.23027225836,25040.612247171
"costs_total_workup",2490.59814235476,2000.92048715997
"costs_misdiagnosis",58.8385130634787,0
"costs_FPs",2431.75962929128,2000.92048715997
"costs_societal",0,0
"costs_diag_cancer_tx_total",135584.494803502,183707.212857796
"costs_diag_cancer_tx_1",80247.3542842491,26784.0045846132
"costs_diag_cancer_tx_2",25592.7822592575,29486.6868156617
"costs_diag_cancer_tx_3",18013.7964076317,43033.9308795464
"costs_diag_cancer_tx_4",11730.5618523637,84402.5905779744
"diagnosed_total_TS",14340.3891204866,0
"diagnosed_1_TS",11748.4507517052,0
"diagnosed_2_TS",1856.01277793433,0
"diagnosed_3_TS",735.925590847005,0
"diagnosed_4_TS",0,0
"LYs_post_diag_TS",8.15279409243535,0
"QALYs_post_diag_TS",5.96271775454835,0
"costs_cancer_tx_total_TS",156069.805024882,0
"costs_cancer_tx_1_TS",110607.454148772,0
"costs_cancer_tx_2_TS",29177.9218854578,0
"costs_cancer_tx_3_TS",16284.4289906522,0
"costs_cancer_tx_4_TS",0,0
"total_costs_5_yr",12538.2951125224,6660.54409292442
"total_costs_10_yr",21982.561131007,14597.4558088386
"total_costs_15_yr",31413.4034756824,23861.9547802913
"total_costs_20_yr",40195.4632240728,33546.741661548
"total_costs_25_yr",47694.4567695563,42522.0707096515
"total_costs_30_yr",53211.313087539,49783.78121589
