"","MCED+SoC","SoC"
"LYs_total",18.5002833583523,18.3746980391966
"LYs_total_no_diag",18.2767377700032,18.2767377700032
"LYs_total_diag",19.0302268054429,18.6069254032776
"LYs_pre_diag",13.5743591340208,13.9308359251147
"LYs_post_diag",5.45586767142204,4.67608947816295
"QALYs_total",14.574280809475,14.4787376901099
"QALYs_total_no_diag",14.5265485164165,14.5265485164165
"QALYs_total_diag",14.722459219368,14.3918196110662
"QALYs_pre_diag",10.9029734184324,11.1866319494438
"QALYs_post_diag",3.81948580093559,3.20518766162247
"disutility_FP",-0.00964840527441214,-0.00783937218113869
"disutility_misdiag",-9.98377996124077e-05,0
"disutility_OD",-0.000642371163120275,0
"diagnosed_total",29668.0612238288,29668.0612238288
"diagnosed_1",11879.8869284669,9154.00912128918
"diagnosed_2",7788.1213209682,5946.18294076853
"diagnosed_3",4878.90226214253,6117.71790495179
"diagnosed_4",5121.15071225114,8450.15125681927
"overdiagnosed_total",393.886732277179,0
"overdiagnosed_1",193.686882306669,0
"overdiagnosed_2",165.860011004426,0
"overdiagnosed_3",34.3398389660853,0
"overdiagnosed_4",0,0
"total_FPs",62137.6827907145,50966.8874552207
"total_misdiagnosed",813.919984777123,0
"deaths_total",12990.9660216076,14793.0471146753
"deaths_1",3165.5142841661,2322.2789877508
"deaths_2",3157.92972487414,2223.13595796405
"deaths_3",2568.41980052124,3288.39059562776
"deaths_4",4099.10221204611,6959.24157333272
"costs_total",67261.6289454368,56732.9099244683
"costs_total_screen",14291.2246059773,229.621054068069
"costs_screen_pre_diag",14291.2246059773,229.621054068069
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",50488.4392797992,54502.3683832403
"costs_cancer_tx_1",12597.7089479632,7946.29487835615
"costs_cancer_tx_2",13908.087669433,8748.12829734915
"costs_cancer_tx_3",9751.09754022859,12767.332960364
"costs_cancer_tx_4",14231.5451221744,25040.612247171
"costs_total_workup",2481.96505966031,2000.92048715997
"costs_misdiagnosis",19.3071661567224,0
"costs_FPs",2462.65789350358,2000.92048715997
"costs_societal",0,0
"costs_diag_cancer_tx_total",168515.874480397,183707.212857796
"costs_diag_cancer_tx_1",41748.4843669071,26784.0045846132
"costs_diag_cancer_tx_2",46104.1621492516,29486.6868156617
"costs_diag_cancer_tx_3",32693.9824688707,43033.9308795464
"costs_diag_cancer_tx_4",47969.2454953677,84402.5905779744
"diagnosed_total_TS",5661.97970797098,0
"diagnosed_1_TS",2725.87780717771,0
"diagnosed_2_TS",2423.88091413277,0
"diagnosed_3_TS",512.220986660487,0
"diagnosed_4_TS",0,0
"LYs_post_diag_TS",6.91640698191421,0
"QALYs_post_diag_TS",4.96213823406127,0
"costs_cancer_tx_total_TS",215016.319527154,0
"costs_cancer_tx_1_TS",78411.9910812859,0
"costs_cancer_tx_2_TS",106459.582397275,0
"costs_cancer_tx_3_TS",30144.7460485939,0
"costs_cancer_tx_4_TS",0,0
"total_costs_5_yr",11612.7071602876,6660.54409292442
"total_costs_10_yr",22247.4703988526,14597.4558088386
"total_costs_15_yr",33351.4568466001,23861.9547802913
"total_costs_20_yr",44159.168203634,33546.741661548
"total_costs_25_yr",53752.5052998244,42522.0707096515
"total_costs_30_yr",61187.9733803845,49783.78121589
