NCRAS_Draw	Stage	Months	OS	CSS	Age
Uterus	I	0.9959999620914459	0	0.999	80-84 years
Uterus	I	2.003999948501587	0	0.999	80-84 years
Uterus	I	3	0	0.999	80-84 years
Uterus	I	3.996000051498413	0	0.9993941497802734	80-84 years
Uterus	I	5.003999948501587	0	0.9991930389404297	80-84 years
Uterus	I	6	0	0.9969697570800782	80-84 years
Uterus	I	9	0	0.9974812316894531	80-84 years
Uterus	I	12	0	0.9922224426269531	80-84 years
Uterus	I	15	0	0.9841475677490235	80-84 years
Uterus	I	18	0	0.9784820556640625	80-84 years
Uterus	I	21	0	0.9719615936279297	80-84 years
Uterus	I	24	0	0.9644625854492187	80-84 years
Uterus	I	27	0	0.9546907806396484	80-84 years
Uterus	I	30	0	0.9429706573486328	80-84 years
Uterus	I	33	0	0.9416859436035157	80-84 years
Uterus	I	36	0	0.922468032836914	80-84 years
Uterus	I	39	0	0.9264715576171875	80-84 years
Uterus	I	42	0	0.9173651123046875	80-84 years
Uterus	I	45	0	0.9121528625488281	80-84 years
Uterus	I	48	0	0.9130521392822266	80-84 years
Uterus	I	51	0	0.9083213806152344	80-84 years
Uterus	I	54	0	0.9059567260742187	80-84 years
Uterus	I	57	0	0.9170010375976563	80-84 years
Uterus	I	60	0	0.8944289398193359	80-84 years
Uterus	II	0.9959999620914459	0	0.9962108612060547	80-84 years
Uterus	II	2.003999948501587	0	0.9880882263183594	80-84 years
Uterus	II	3	0	0.9837987518310547	80-84 years
Uterus	II	3.996000051498413	0	0.9836199951171875	80-84 years
Uterus	II	5.003999948501587	0	0.9788899230957031	80-84 years
Uterus	II	6	0	0.9695294952392578	80-84 years
Uterus	II	9	0	0.935137939453125	80-84 years
Uterus	II	12	0	0.9016318511962891	80-84 years
Uterus	II	15	0	0.8766036987304687	80-84 years
Uterus	II	18	0	0.865918960571289	80-84 years
Uterus	II	21	0	0.86563720703125	80-84 years
Uterus	II	24	0	0.8304846954345703	80-84 years
Uterus	II	27	0	0.8154782104492188	80-84 years
Uterus	II	30	0	0.7715474700927735	80-84 years
Uterus	II	33	0	0.7298770904541015	80-84 years
Uterus	II	36	0	0.6826314544677734	80-84 years
Uterus	II	39	0	0.6498163604736328	80-84 years
Uterus	II	42	0	0.6352437210083007	80-84 years
Uterus	II	45	0	0.6472490692138672	80-84 years
Uterus	II	48	0	0.6595707702636718	80-84 years
Uterus	II	51	0	0.6170519638061523	80-84 years
Uterus	II	54	0	0.6306080627441406	80-84 years
Uterus	II	57	0	0.6448628997802734	80-84 years
Uterus	II	60	0	0.6595577239990235	80-84 years
Uterus	III	0.9959999620914459	0	0.9922383117675782	80-84 years
Uterus	III	2.003999948501587	0	0.979373779296875	80-84 years
Uterus	III	3	0	0.9661745452880859	80-84 years
Uterus	III	3.996000051498413	0	0.9374336242675781	80-84 years
Uterus	III	5.003999948501587	0	0.9234206390380859	80-84 years
Uterus	III	6	0	0.9008912658691406	80-84 years
Uterus	III	9	0	0.8373262786865234	80-84 years
Uterus	III	12	0	0.7451709747314453	80-84 years
Uterus	III	15	0	0.6773420715332031	80-84 years
Uterus	III	18	0	0.6222337341308594	80-84 years
Uterus	III	21	0	0.5687856674194336	80-84 years
Uterus	III	24	0	0.5133066940307617	80-84 years
Uterus	III	27	0	0.4797557830810547	80-84 years
Uterus	III	30	0	0.44240657806396483	80-84 years
Uterus	III	33	0	0.42249324798583987	80-84 years
Uterus	III	36	0	0.40703449249267576	80-84 years
Uterus	III	39	0	0.3771371078491211	80-84 years
Uterus	III	42	0	0.3546199035644531	80-84 years
Uterus	III	45	0	0.35283435821533204	80-84 years
Uterus	III	48	0	0.3289071655273437	80-84 years
Uterus	III	51	0	0.32375408172607423	80-84 years
Uterus	III	54	0	0.3026057434082031	80-84 years
Uterus	III	57	0	0.29329729080200195	80-84 years
Uterus	III	60	0	0.2992535018920898	80-84 years
Uterus	IV	0.9959999620914459	0	0.9098127746582031	80-84 years
Uterus	IV	2.003999948501587	0	0.7992718505859375	80-84 years
Uterus	IV	3	0	0.7291910552978516	80-84 years
Uterus	IV	3.996000051498413	0	0.65716552734375	80-84 years
Uterus	IV	5.003999948501587	0	0.5913731384277344	80-84 years
Uterus	IV	6	0	0.54365966796875	80-84 years
Uterus	IV	9	0	0.38567317962646486	80-84 years
Uterus	IV	12	0	0.29273855209350585	80-84 years
Uterus	IV	15	0	0.2243406867980957	80-84 years
Uterus	IV	18	0	0.18469932556152344	80-84 years
Uterus	IV	21	0	0.15214104652404786	80-84 years
Uterus	IV	24	0	0.12263439178466796	80-84 years
Uterus	IV	27	0	0.09625641822814941	80-84 years
Uterus	IV	30	0	0.08481888771057129	80-84 years
Uterus	IV	33	0	0.07195124626159669	80-84 years
Uterus	IV	36	0	0.05212192058563232	80-84 years
Uterus	IV	39	0	0.053202552795410155	80-84 years
Uterus	IV	42	0	0.04680483341217041	80-84 years
Uterus	IV	45	0	0.04782852172851562	80-84 years
