Age	NCRAS_Draw	Stage	Months	CSS
0	Uterus	I	60	0.9849800872802734
1	Uterus	I	60	0.9849800872802734
2	Uterus	I	60	0.9849800872802734
3	Uterus	I	60	0.9849800872802734
4	Uterus	I	60	0.9849800872802734
5	Uterus	I	60	0.9849800872802734
6	Uterus	I	60	0.9849800872802734
7	Uterus	I	60	0.9849800872802734
8	Uterus	I	60	0.9849800872802734
9	Uterus	I	60	0.9849800872802734
10	Uterus	I	60	0.9849800872802734
11	Uterus	I	60	0.9849800872802734
12	Uterus	I	60	0.9849800872802734
13	Uterus	I	60	0.9849800872802734
14	Uterus	I	60	0.9849800872802734
15	Uterus	I	60	0.9849800872802734
16	Uterus	I	60	0.9849800872802734
17	Uterus	I	60	0.9849800872802734
18	Uterus	I	60	0.9849800872802734
19	Uterus	I	60	0.9849800872802734
20	Uterus	I	60	0.9849800872802734
21	Uterus	I	60	0.9849800872802734
22	Uterus	I	60	0.9849800872802734
23	Uterus	I	60	0.9849800872802734
24	Uterus	I	60	0.9849800872802734
25	Uterus	I	60	0.9849800872802734
26	Uterus	I	60	0.9849800872802734
27	Uterus	I	60	0.9849800872802734
28	Uterus	I	60	0.9849800872802734
29	Uterus	I	60	0.9849800872802734
30	Uterus	I	60	0.9849800872802734
31	Uterus	I	60	0.9849800872802734
32	Uterus	I	60	0.9849800872802734
33	Uterus	I	60	0.9849800872802734
34	Uterus	I	60	0.9849800872802734
35	Uterus	I	60	0.9849800872802734
36	Uterus	I	60	0.9814684193929036
37	Uterus	I	60	0.97795675150553385
38	Uterus	I	60	0.9744450836181641
39	Uterus	I	60	0.9709334157307943
40	Uterus	I	60	0.9674217478434245
41	Uterus	I	60	0.9639100799560547
42	Uterus	I	60	0.9603984120686849
43	Uterus	I	60	0.9620588455200195
44	Uterus	I	60	0.9688913803100585
45	Uterus	I	60	0.9757239151000976
46	Uterus	I	60	0.9825564498901367
47	Uterus	I	60	0.9893889846801757
48	Uterus	I	60	0.9910099029541015
49	Uterus	I	60	0.987419204711914
50	Uterus	I	60	0.9838285064697265
51	Uterus	I	60	0.980237808227539
52	Uterus	I	60	0.9766471099853515
53	Uterus	I	60	0.9734632873535156
54	Uterus	I	60	0.9706863403320313
55	Uterus	I	60	0.9679093933105469
56	Uterus	I	60	0.9651324462890626
57	Uterus	I	60	0.9623554992675782
58	Uterus	I	60	0.9609482040405274
59	Uterus	I	60	0.9609105606079102
60	Uterus	I	60	0.960872917175293
61	Uterus	I	60	0.9608352737426757
62	Uterus	I	60	0.9607976303100586
63	Uterus	I	60	0.957845359802246
64	Uterus	I	60	0.9519784622192383
65	Uterus	I	60	0.9461115646362305
66	Uterus	I	60	0.9402446670532226
67	Uterus	I	60	0.9343777694702149
68	Uterus	I	60	0.9298774337768555
69	Uterus	I	60	0.9267436599731446
70	Uterus	I	60	0.9236098861694337
71	Uterus	I	60	0.9204761123657228
72	Uterus	I	60	0.9173423385620119
73	Uterus	I	60	0.9155872497558595
74	Uterus	I	60	0.9152108459472658
75	Uterus	I	60	0.914834442138672
76	Uterus	I	60	0.9144580383300782
77	Uterus	I	60	0.9140816345214845
78	Uterus	I	60	0.9119469833374024
79	Uterus	I	60	0.9080540847778321
80	Uterus	I	60	0.9041611862182617
81	Uterus	I	60	0.9002682876586914
82	Uterus	I	60	0.8963753890991211
83	Uterus	I	60	0.8944289398193359
84	Uterus	I	60	0.8944289398193359
85	Uterus	I	60	0.8944289398193359
86	Uterus	I	60	0.8944289398193359
87	Uterus	I	60	0.8944289398193359
88	Uterus	I	60	0.8944289398193359
89	Uterus	I	60	0.8944289398193359
90	Uterus	I	60	0.8944289398193359
91	Uterus	I	60	0.8944289398193359
92	Uterus	I	60	0.8944289398193359
93	Uterus	I	60	0.8944289398193359
94	Uterus	I	60	0.8944289398193359
95	Uterus	I	60	0.8944289398193359
96	Uterus	I	60	0.8944289398193359
97	Uterus	I	60	0.8944289398193359
98	Uterus	I	60	0.8944289398193359
99	Uterus	I	60	0.8944289398193359
100	Uterus	I	60	0.8944289398193359
0	Uterus	II	60	0.999
1	Uterus	II	60	0.999
2	Uterus	II	60	0.999
3	Uterus	II	60	0.999
4	Uterus	II	60	0.999
5	Uterus	II	60	0.999
6	Uterus	II	60	0.999
7	Uterus	II	60	0.999
8	Uterus	II	60	0.999
9	Uterus	II	60	0.999
10	Uterus	II	60	0.999
11	Uterus	II	60	0.999
12	Uterus	II	60	0.999
13	Uterus	II	60	0.999
14	Uterus	II	60	0.999
15	Uterus	II	60	0.999
16	Uterus	II	60	0.999
17	Uterus	II	60	0.999
18	Uterus	II	60	0.999
19	Uterus	II	60	0.999
20	Uterus	II	60	0.999
21	Uterus	II	60	0.999
22	Uterus	II	60	0.999
23	Uterus	II	60	0.999
24	Uterus	II	60	0.999
25	Uterus	II	60	0.999
26	Uterus	II	60	0.999
27	Uterus	II	60	0.999
28	Uterus	II	60	0.999
29	Uterus	II	60	0.999
30	Uterus	II	60	0.999
31	Uterus	II	60	0.999
32	Uterus	II	60	0.999
33	Uterus	II	60	0.999
34	Uterus	II	60	0.999
