"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.999933893038648
3	0.166999995708466	0.999933893038648
4	0.25	0.998867976150286
5	0.333000004291534	0.998867976150286
6	0.416999995708466	0.997121174607344
7	0.5	0.986217930578821
8	0.75	0.980972953313261
9	1	0.960477618072143
10	1.25	0.958701651200349
11	1.5	0.945590914040497
12	1.75	0.942589572048005
13	2	0.920740903144038
14	2.25	0.917045018705924
15	2.5	0.917045018705924
16	2.75	0.917045018705924
17	3	0.917045018705924
18	3.25	0.897826807714425
19	3.5	0.888359257385982
20	3.75	0.87502727351045
21	4	0.857606012997664
22	4.25	0.857606012997664
23	4.5	0.857606012997664
24	4.75	0.857606012997664
25	5	0.857606012997664
