"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.943003127041067
3	0.166999995708466	0.90000251257201
4	0.25	0.794001375233093
5	0.333000004291534	0.749013664104977
6	0.416999995708466	0.656001495838322
7	0.5	0.64100021120554
8	0.75	0.576970287668287
9	1	0.417996551911577
10	1.25	0.329004767823844
11	1.5	0.329004767823844
12	1.75	0.329004767823844
13	2	0.230000388701534
14	2.25	0.230000388701534
15	2.5	0.206002611280961
16	2.75	0.206002611280961
17	3	0.206002611280961
18	3.25	0.206002611280961
19	3.5	0.206002611280961
20	3.75	0.181011967272684
21	4	0.181011967272684
22	4.25	0.148001656058354
23	4.5	0.148001656058354
24	4.75	0.148001656058354
25	5	0.148001656058354
