"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.902002431727773
3	0.166999995708466	0.820012394163006
4	0.25	0.736003988924065
5	0.333000004291534	0.671009039638988
6	0.416999995708466	0.607014833304562
7	0.5	0.570947403015267
8	0.75	0.462980805902682
9	1	0.379011367810603
10	1.25	0.31700883140699
11	1.5	0.266986090532361
12	1.75	0.229000419573683
13	2	0.217001426201005
14	2.25	0.18800399766406
15	2.5	0.172006776748646
16	2.75	0.155011130068715
17	3	0.152006033795988
18	3.25	0.1490025635597
19	3.5	0.145992919397654
20	3.75	0.141997281393267
21	4	0.13201253970279
22	4.25	0.124002196333165
23	4.5	0.120004058267142
24	4.75	0.120004058267142
25	5	0.120004058267142
