"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.91314595729174
3	0.166999995708466	0.852565878165278
4	0.25	0.812946054046519
5	0.333000004291534	0.768182814705925
6	0.416999995708466	0.743198521635215
7	0.5	0.72134295927131
8	0.75	0.676708340470675
9	1	0.623931865103793
10	1.25	0.587756573010433
11	1.5	0.549566024367331
12	1.75	0.506315934460465
13	2	0.476582050155789
14	2.25	0.432529903952619
15	2.5	0.398830277669184
16	2.75	0.379507323542512
17	3	0.357151190986406
18	3.25	0.329777553071671
19	3.5	0.303519002830707
20	3.75	0.28137412509475
21	4	0.263308950810005
22	4.25	0.239283720439929
23	4.5	0.235293379090349
24	4.75	0.222347017431184
25	5	0.204482512829143
