"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.877218680720466
3	0.166999995708466	0.777078725154802
4	0.25	0.694483828071817
5	0.333000004291534	0.645594873532911
6	0.416999995708466	0.606942873556441
7	0.5	0.579463609870446
8	0.75	0.497237861083531
9	1	0.4283971954467
10	1.25	0.376885810878397
11	1.5	0.32350863613966
12	1.75	0.286357590088692
13	2	0.252281613898918
14	2.25	0.22232000577245
15	2.5	0.199417603534772
16	2.75	0.180538660320858
17	3	0.166678881058703
18	3.25	0.153831877889677
19	3.5	0.143977288599931
20	3.75	0.138052476996682
21	4	0.130180319108035
22	4.25	0.123321628837454
23	4.5	0.12234158687773
24	4.75	0.120382295599092
25	5	0.117445370612083
