"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.882002170135612
3	0.166999995708466	0.756020472339445
4	0.25	0.658001374236596
5	0.333000004291534	0.581994063866288
6	0.416999995708466	0.513010205190729
7	0.5	0.452992683524403
8	0.75	0.321007373842617
9	1	0.216001503402554
10	1.25	0.15900083791219
11	1.5	0.116005998992908
12	1.75	0.0900070801241236
13	2	0.0660099810529834
14	2.25	0.0580089864155877
15	2.5	0.0529913445276722
16	2.75	0.0490024660313675
17	3	0.0470050006936898
18	3.25	0.0420012604437425
19	3.5	0.0420012604437425
20	3.75	0.0400023380497955
21	4	0.0350031910333292
22	4.25	0.0330035587570091
23	4.5	0.0300057202872339
24	4.75	0.0300057202872339
25	5	0.0300057202872339
