"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.79100121766229
3	0.166999995708466	0.665031996012991
4	0.25	0.532998434427295
5	0.333000004291534	0.439995800094732
6	0.416999995708466	0.385007182520466
7	0.5	0.348014839840462
8	0.75	0.244000100404404
9	1	0.178994300779915
10	1.25	0.128000607273229
11	1.5	0.0870011143244045
12	1.75	0.069001108933459
13	2	0.0609975628333589
14	2.25	0.0470050006936898
15	2.5	0.0410017270555168
16	2.75	0.0370027140790205
17	3	0.0340033946438538
18	3.25	0.0340033946438538
19	3.5	0.0340033946438538
20	3.75	0.0310066057785784
21	4	0.0310066057785784
22	4.25	0.0270002901495696
23	4.5	0.0270002901495696
24	4.75	0.0270002901495696
25	5	0.0270002901495696
