"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.974496210795171
3	0.166999995708466	0.929619631617603
4	0.25	0.884768560893516
5	0.333000004291534	0.84401228458886
6	0.416999995708466	0.813471390598335
7	0.5	0.779850882286529
8	0.75	0.689357698684275
9	1	0.623379368256803
10	1.25	0.569604824075844
11	1.5	0.540207362899693
12	1.75	0.512884027573168
13	2	0.475456010275631
14	2.25	0.454197576552291
15	2.5	0.4390541188753
16	2.75	0.424919197881874
17	3	0.414827521279081
18	3.25	0.396657484847779
19	3.5	0.390644803901513
20	3.75	0.382562948748812
21	4	0.373476871640913
22	4.25	0.363410955533644
23	4.5	0.351332162999843
24	4.75	0.34631382964204
25	5	0.342290710627196
