"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.847827257790167
3	0.166999995708466	0.693751941537697
4	0.25	0.568706737080912
5	0.333000004291534	0.506761920126102
6	0.416999995708466	0.460921273167612
7	0.5	0.417038522192842
8	0.75	0.322456650702681
9	1	0.267501326858542
10	1.25	0.218828656418213
11	1.5	0.188344336288174
12	1.75	0.166234683039714
13	2	0.140490075680949
14	2.25	0.123427241238133
15	2.5	0.106947259865429
16	2.75	0.0881196280387679
17	3	0.0843352242365882
18	3.25	0.0776284347165085
19	3.5	0.0718181875446567
20	3.75	0.0613137638276802
21	4	0.0559251961423633
22	4.25	0.0532984915073544
23	4.5	0.0500570564298799
24	4.75	0.0462639918652483
25	5	0.040765130289521
