"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.800001745786745
3	0.166999995708466	0.611018340869068
4	0.25	0.507023115560102
5	0.333000004291534	0.430995955511853
6	0.416999995708466	0.363995035729739
7	0.5	0.337002602179428
8	0.75	0.238000192748822
9	1	0.172006776748646
10	1.25	0.138996684346142
11	1.5	0.123002651187836
12	1.75	0.0950072764959179
13	2	0.0810044494705466
14	2.25	0.0649939434196528
15	2.5	0.0570017523334064
16	2.75	0.0519988601766183
17	3	0.0420012604437425
18	3.25	0.0420012604437425
19	3.5	0.0389932137671804
20	3.75	0.0389932137671804
21	4	0.0389932137671804
22	4.25	0.0340033946438538
23	4.5	0.0210007972911413
24	4.75	0.0210007972911413
25	5	0.0210007972911413
