"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.763705451074842
3	0.166999995708466	0.591408838068077
4	0.25	0.487837596017097
5	0.333000004291534	0.42200876707691
6	0.416999995708466	0.372500292803553
7	0.5	0.33120988266615
8	0.75	0.233944303038228
9	1	0.169310256398478
10	1.25	0.126929155792959
11	1.5	0.100554505055358
12	1.75	0.081167988457662
13	2	0.0658011922533509
14	2.25	0.0543707060003778
15	2.5	0.0468179507891457
16	2.75	0.0383886816089853
17	3	0.0346855213058559
18	3.25	0.0310033580411756
19	3.5	0.0273406161631606
20	3.75	0.0246120350379627
21	4	0.0228039286357024
22	4.25	0.0210186971434207
23	4.5	0.0201249860749375
24	4.75	0.0192352691146102
25	5	0.0174680045883713
