"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.925737847372817
3	0.166999995708466	0.882885930335657
4	0.25	0.856807557359265
5	0.333000004291534	0.836710413933587
6	0.416999995708466	0.818999140472204
7	0.5	0.804892816680259
8	0.75	0.765072009908042
9	1	0.73124381822583
10	1.25	0.708041208049235
11	1.5	0.689530286295386
12	1.75	0.673416211167607
13	2	0.657308950789557
14	2.25	0.646980446950243
15	2.5	0.638961416027273
16	2.75	0.628669696232095
17	3	0.620679509275282
18	3.25	0.60814583608754
19	3.5	0.600165360715693
20	3.75	0.588857870121436
21	4	0.58431931444383
22	4.25	0.570735167661869
23	4.5	0.56170431788937
24	4.75	0.55387887012131
25	5	0.55050343185895
