"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.938002520711966
3	0.166999995708466	0.862000763696799
4	0.25	0.822013176322691
5	0.333000004291534	0.764030304599379
6	0.416999995708466	0.6999914319763
7	0.5	0.661000618810548
8	0.75	0.578979233752389
9	1	0.539998360996823
10	1.25	0.481013707505
11	1.5	0.447995852113213
12	1.75	0.405997497625559
13	2	0.368020092889171
14	2.25	0.33300362927912
15	2.5	0.303014562214471
16	2.75	0.296017630987782
17	3	0.296017630987782
18	3.25	0.296017630987782
19	3.5	0.296017630987782
20	3.75	0.289020669499653
21	4	0.271984460216937
22	4.25	0.271984460216937
23	4.5	0.271984460216937
24	4.75	0.271984460216937
25	5	0.271984460216937
