"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.699365785359646
3	0.166999995708466	0.48128056056899
4	0.25	0.353089289812385
5	0.333000004291534	0.284792027713515
6	0.416999995708466	0.231740702412372
7	0.5	0.197853868428804
8	0.75	0.118722874180645
9	1	0.0738703960582454
10	1.25	0.0517733745307793
11	1.5	0.0385118752797155
12	1.75	0.0301125596123315
13	2	0.0236468502028278
14	2.25	0.017308769788048
15	2.5	0.0155140246118676
16	2.75	0.0155140246118676
17	3	0.0137478185494318
18	3.25	0.0119915596270704
19	3.5	0.00940065134005569
20	3.75	0.00940065134005569
21	4	0.00854809712708451
22	4.25	0.00854809712708451
23	4.5	0.00770569525458709
24	4.75	0.00770569525458709
25	5	0.00605221993864055
