"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.999867790447427
3	0.166999995708466	0.999867790447427
4	0.25	0.999867790447427
5	0.333000004291534	0.999867790447427
6	0.416999995708466	0.999867790447427
7	0.5	0.999867790447427
8	0.75	0.999867790447427
9	1	0.999867790447427
10	1.25	0.999867790447427
11	1.5	0.999867790447427
12	1.75	0.999867790447427
13	2	0.999867790447427
14	2.25	0.999867790447427
15	2.5	0.999867790447427
16	2.75	0.999867790447427
17	3	0.999867790447427
18	3.25	0.999867790447427
19	3.5	0.999867790447427
20	3.75	0.999867790447427
21	4	0.999867790447427
22	4.25	0.999867790447427
23	4.5	0.999867790447427
24	4.75	0.999867790447427
25	5	0.999867790447427
