"k"	"tk"	"sk"
1	0	1
2	0.0829999968409538	0.991270466156443
3	0.166999995708466	0.983628030287587
4	0.25	0.976022482088119
5	0.333000004291534	0.969505320406547
6	0.416999995708466	0.96290630317275
7	0.5	0.955323211080545
8	0.75	0.931385042614164
9	1	0.89771032335287
10	1.25	0.863005311742398
11	1.5	0.828382786528886
12	1.75	0.795950828912306
13	2	0.761490423695179
14	2.25	0.734601855884681
15	2.5	0.703449302185469
16	2.75	0.675638695660179
17	3	0.650997041156886
18	3.25	0.62437890033195
19	3.5	0.598834877190087
20	3.75	0.581837912015615
21	4	0.56171525887114
22	4.25	0.54266710517355
23	4.5	0.527894860672467
24	4.75	0.506795984402532
25	5	0.494196076777247
